Physical Time: Physical Time (s),InletDoor Monitor: Surface Average of RH,InletRHa Monitor: Surface Average of RH,InletRHb Monitor: Surface Average of RH,InletRHc Monitor: Surface Average of RH,InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s),InletVela Monitor: Surface Average of Velocity: Magnitude (m/s),InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s),InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s),a Monitor: Sum of RH,b Monitor: Sum of RH,c Monitor: Sum of RH,鐐?2RH Monitor: Sum of RH,鐐?3RH Monitor: Sum of RH,鐐?4RH Monitor: Sum of RH,鐐?5RH Monitor: Sum of RH,鐐?6RH Monitor: Sum of RH,鐐?9RH Monitor: Sum of RH,鐐?0RH Monitor: Sum of RH,鐐?1RH Monitor: Sum of RH,鐐?2RH Monitor: Sum of RH,鐐?3RH Monitor: Sum of RH,鐐?6RH Monitor: Sum of RH,鐐?7RH Monitor: Sum of RH,鐐?8RH Monitor: Sum of RH,鐐?9RH Monitor: Sum of RH,鐐?0RH Monitor: Sum of RH
180,50.47542455,50.47542455,50.47542455,50.47542455,0,0,0,0,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455
360,45.09452995,40.30644262,40.30643783,40.30643493,0,3,2,1,40.38558745,40.4342793,41.28777135,40.7243757,41.79251168,42.88807097,44.16764974,45.07768433,41.1337144,42.43983634,43.89051366,45.48576096,46.63097486,40.97779044,41.38588724,42.4224382,44.33548522,43.11235595
540,40.83853486,40.30581292,40.30641694,40.30665788,0,3,1,1,40.58206771,41.47912086,41.06659635,40.35973941,40.40953387,40.43662337,40.54057793,40.62575128,41.5498602,41.55531565,41.60276089,41.75549935,41.04026176,40.98111693,40.9917357,41.35935042,41.78071409,41.41910123
720,40.91106947,40.30655199,40.30642958,40.30645504,0,1,0,0,40.63058439,41.09860945,41.07752115,40.47863394,40.54444773,40.77279254,40.87103584,41.03640915,40.80792802,40.9337119,40.95657837,41.01745079,40.98381645,41.11332965,41.0809282,41.19070134,41.34799859,41.34131595
900,40.63101677,40.30675674,40.30643764,40.30649389,0,1,0,0,40.69441546,40.83009091,40.65981506,40.51287311,40.59358504,40.60187791,40.60084669,40.60104061,40.70204872,40.69839259,40.71072744,40.67573671,40.66079631,40.80262034,40.86879965,40.95323736,41.01772985,40.98744936
1080,40.53159459,40.30645088,40.30644696,40.30645516,0,1,0,0,40.50795808,40.65587085,40.58281192,40.4875814,40.52396514,40.53678914,40.54615464,40.54776213,40.50584886,40.54526487,40.57782078,40.58605365,40.5748213,40.57961486,40.70591864,40.73006038,40.83246087,40.83838498
1260,40.40658025,40.30645127,40.30644068,40.30643938,0,1,0,0,40.36792254,40.56997255,40.45833801,40.37259889,40.39638376,40.40867634,40.41739193,40.42982114,40.51107452,40.51385555,40.49112981,40.47423496,40.46550502,40.56047716,40.62236659,40.62767114,40.53171149,40.49585749
1440,40.39086084,40.30646316,40.30644105,40.30644069,0,1,0,0,40.42314182,40.52806457,40.38296727,40.33335752,40.33468041,40.34972076,40.36841937,40.37535005,40.51518709,40.51230463,40.50966752,40.50227652,40.48773123,40.48810357,40.48255734,40.45831295,40.44428206,40.43302577
1620,40.37659768,40.3064609,40.306435,40.30643516,0,1,0,0,40.44766007,40.45956568,40.40351894,40.33973925,40.33971712,40.34049718,40.35455129,40.37492297,40.46428268,40.45669292,40.45181479,40.41209135,40.4097088,40.4093901,40.40154828,40.40346879,40.40377331,40.40145729
1800,40.37560278,40.30646999,40.30643754,40.30643594,0,1,0,0,40.39923229,40.39636891,40.37394936,40.32623905,40.33456343,40.33902874,40.34755251,40.3519574,40.43102322,40.41959594,40.41159648,40.3895218,40.38765149,40.37859855,40.37713824,40.38222969,40.37917797,40.37766093
1980,40.37338064,40.30646437,40.30643782,40.30643554,0,1,0,0,40.37292758,40.37059337,40.34627636,40.3180387,40.32209027,40.32348359,40.32569647,40.32844101,40.39150868,40.39005243,40.37190806,40.36359523,40.35761201,40.36351309,40.36387064,40.36082044,40.36158569,40.36116482
2160,40.35793552,40.30646052,40.30643769,40.30643673,0,1,0,0,40.35805122,40.35446001,40.34396856,40.31450392,40.31639043,40.31669976,40.31837908,40.32288682,40.36898678,40.36380479,40.35584576,40.35138476,40.34746897,40.35107038,40.3515017,40.3498647,40.34747579,40.34764254
2340,40.3471309,40.30646322,40.30643776,40.30643656,0,1,0,0,40.34657376,40.34347254,40.32993361,40.31366018,40.31490273,40.31540892,40.31748827,40.32034823,40.35107841,40.3426094,40.34216094,40.34649384,40.34064126,40.33951348,40.33985491,40.33689095,40.33553488,40.33551938
2520,40.32804206,40.30646883,40.30643767,40.30643533,0,1,0,0,40.34103204,40.33713527,40.32130411,40.31346206,40.31450746,40.31498516,40.31682504,40.31806372,40.3347005,40.33078252,40.33182126,40.33716119,40.32866107,40.33287532,40.33213155,40.32968501,40.32860616,40.32783603
2700,40.32064634,40.30646535,40.3064375,40.30643697,0,1,0,0,40.33367006,40.33478508,40.316903,40.31120043,40.31150072,40.31217014,40.31427527,40.31508967,40.32457627,40.32400698,40.32386415,40.32562821,40.32044837,40.32608924,40.32469186,40.32343536,40.32211538,40.3213746
2880,40.31575707,40.30646965,40.30643753,40.30643624,0,1,0,0,40.3266582,40.32993459,40.31276618,40.30945339,40.31007926,40.31069149,40.31126029,40.31167616,40.31951977,40.31955082,40.31903931,40.3173787,40.31470432,40.31987785,40.3187731,40.31791548,40.31740708,40.3165447
3060,55.60152088,40.30648428,40.30643721,40.30643983,1,1,0,0,54.47496661,52.73430382,53.77048689,45.76905332,48.08685902,53.23938072,55.27009104,55.02884058,51.76795394,43.8472254,44.61942806,47.81665978,52.60708611,48.10890648,48.52621347,48.70484682,51.12248941,51.68010666
3240,43.87579589,40.30647672,40.30645916,40.30646472,0,3,2,1,42.69263091,40.81574234,43.97851659,40.54009536,40.50088738,41.31672673,43.1852852,44.73038921,44.11725754,43.86567912,43.50551828,43.18450538,42.38073543,40.74301675,41.30726976,41.73465834,43.6336555,43.06535077
