"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
300,53.0498181425981,50.4754330945671,50.4754246432906,50.4754288846167,2,0,0,0,52.8889569556417,52.7199620755882,52.8373567196305,53.0065167209039,53.0193186155677,53.0357303353857,53.0271034050493,53.0090724428486,52.973250109421,52.5750872936118,50.8771390854451,52.4697499091336,52.8786197420834,52.9050780117081,52.8903684733042,52.8652350941949,52.823935209625,52.8399738352988
600,45.4224261127685,40.3066258764178,40.3064553559661,40.3065946885076,0,1,1,1,40.3876617437489,40.8041280156339,42.7703199324336,43.7688163911956,44.4390704003571,44.9904229352567,46.0456355223181,45.8226720197327,43.717459691786,47.7001793059771,46.8351085753956,46.7782711893734,45.0876860704084,43.1735827337656,44.0397209646062,44.504472003043,45.2848398372028,43.7898231246079
900,45.1311436885246,40.306502224282,40.3065658846969,40.3065810883914,0,1,1,1,40.618819975156,40.3498640713202,40.630048590077,41.0687914403936,41.3455357849968,41.2189137254947,41.8166413856476,41.8707432191003,43.0281178559827,43.2562119686581,43.2198205406576,42.872351403027,41.3708305477337,41.5095130598155,41.5939150532219,41.6958107708525,41.9536847845256,41.5680485635597
1200,40.6726617831789,40.3063767608181,40.3064294285594,40.3064599224109,0,1,1,1,40.8240104542799,40.4636238948504,40.6777884918719,40.4435897702422,40.7843008700729,40.909160311243,40.8790249542408,40.8884272793818,41.1944416645534,41.5880631220782,41.5608145271059,40.8186999913476,40.7320976046054,40.7991117832904,40.7320548221654,40.8261092326124,40.8322059279715,40.6063241554452
1500,44.1422127271269,40.306360223135,40.3064453664111,40.3061594864564,0,0,0,0,40.8262433568826,40.7776244134643,40.8114977545156,40.7774955941787,40.8552648110119,40.9409319207525,40.7672132024262,40.8112358238681,40.8005403986179,40.847981024012,40.9165409756661,40.8052267827813,40.8522963512182,40.8288039379142,40.815689128875,40.8097669619077,40.8145410493357,40.8087145686256
1800,41.1771818022778,40.3066863316704,40.3064408203363,40.3062983874594,0,0,0,0,40.7929358382619,40.8110457333966,40.8020069217913,40.7908416912074,40.7807918562698,40.8272069134996,40.7840026758484,40.8182350333529,40.8100483586797,40.8166186948217,40.8130152029073,40.7841780658717,40.8294334347992,40.8122893327683,40.8217886590517,40.8142055908438,40.8213420800886,40.830862664713
2100,41.4070912852618,40.3075331323685,40.3064448280616,40.3063408976869,0,0,0,0,40.812244088726,40.7918758659196,40.7973560955712,40.8209104905912,40.8284818839033,40.8265942475345,40.8140575939813,40.8110029552657,40.7999973554182,40.7981822475379,40.8005080851223,40.795927744876,40.801294242599,40.790356241281,40.7940757102611,40.793535008208,40.7932629621012,40.7977402892435
2400,40.8855172357319,40.3050703956732,40.3063957272893,40.3065831412616,0,0,0,0,40.7870658252944,40.7978305341293,40.7891950304103,40.7935848307434,40.7931846484932,40.7901583270013,40.7861499991273,40.7913457730721,40.8035911242094,40.809798749672,40.8127583710758,40.7904072054291,40.795548972238,40.7945075552782,40.8024988239319,40.8046336056289,40.8006117112511,40.8090636389231
2700,40.8620278817152,40.3073964256464,40.3064469158977,40.3065953211985,0,0,0,0,40.7897320819173,40.7893970611337,40.7873338450193,40.8038585980847,40.7888769980229,40.7821012093107,40.7850552132605,40.7873875313062,40.7947949163727,40.801732274083,40.7937647318186,40.8000025432169,40.7943069350269,40.7884027448608,40.7885696925386,40.7874611971099,40.7874999968923,40.7855093976889
3000,40.8262883156985,40.3059863586408,40.3064951628794,40.3062257500258,0,0,0,0,40.790511238738,40.7854977118143,40.788150394807,40.7823997950701,40.7784525041499,40.7847282904187,40.7910090807747,40.790493836204,40.7874133897989,40.7910377410681,40.7917975554848,40.7936022306333,40.7885606307964,40.7793945105123,40.7787008005096,40.7763717695755,40.7758892179219,40.7740134980984
