,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,sum,mean
baseline,10.475424554968004,5.578120758734278,2.0230367525021724,3.0394042726221544,1.5042974890834666,1.1607580752307263,0.6401622297846478,0.7441463691449139,0.7403586175773805,0.741766070314793,0.7431608817432074,0.7397461322367922,0.7396542846944816,0.7402457450071386,0.7414421257209877,0.7417285125563737,13.281905029757896,8.123204682017768,3.041784570078726,2.470072715057305,1.2445205531827128,0.9894622091954588,1.191746237920807,0.8779497226623457,0.5098908509152461,0.5888502469304664,0.6033355317874532,0.6079262710998937,0.6056263356974388,0.605617679468186,0.6050064908962,0.6046832422628275,0.6043950954144796,0.6032895481612338,0.6021496242413737,0.6011182932796671,0.6003953064622536,0.5999273525045865,0.5993257976449807,0.598706124737088,0.5979587894364732,0.5971794740693539,0.5965331006116813,0.5961412004319385,0.5960431914264589,0.5962310916424793,0.5965909506097072,0.596978704076227,0.5973219077822667,0.5975376167340675,0.5976345481402537,78.42049295825882,1.5376567246717416
power1,10.475424554968004,7.891843006586568,4.481261854761406,2.553625920971867,2.1573039018924733,1.8202371996001123,1.4326707100282983,0.9745495667993135,0.747685051573138,0.6971063888524668,0.6322503335742866,0.5222647189458598,0.47116316149076026,0.4230497286686993,0.3783869909647739,0.35241846371441504,10.270486357317877,7.096966949850432,4.981091947476187,3.820663468013002,2.988398805845833,2.1720833252591194,1.6616423704644268,1.33209888698138,1.102865874311334,0.9149173574068404,0.7368545248654532,0.6038657246807333,0.5147761448999328,0.45617339753237995,0.4156599086845797,0.38526961943842697,0.3653429908252737,0.35146898043388625,0.34137733490407435,0.3332218522705858,0.3264921411926537,0.3211616056055187,0.3167880608807536,0.3137088849547197,0.31152191938722545,0.30988895166205876,0.3086847945153134,0.3078050368746986,0.3071710672547141,0.3067126986829455,0.3063734948429352,0.3061203583098196,0.3059354225670603,0.3057991539414464,0.30569277138202156,81.51632373690809,1.5983592889589822
power2,10.475424554968004,6.489130099973621,2.793072998803305,1.3141141579482456,1.1185645540636917,0.7781144682696787,0.5490912347220525,0.4214240905677125,0.367802062439686,0.34695857727676677,0.3261757215736727,0.3149463938646804,0.30911014565413286,0.3058161894968606,0.304384046773634,0.30379858006797916,8.690917830785294,4.377236012312653,2.5534896775767533,1.317911141174314,0.8419684033877729,0.6227706249958677,0.49570833609113124,0.4160796404034921,0.3582602917066074,0.3308754318162665,0.31919911334580653,0.3124442232732671,0.308306485779354,0.3057738371980681,0.30446264466520506,0.30361520916617335,0.3030699618314055,0.3026960399473135,0.30253320178952614,0.3024996507772466,0.30247227768304064,0.3024429524937479,0.3024114499027528,0.3023856038495121,0.30234620351067937,0.30232314062674087,0.3023139367422473,0.3023296813656998,0.302352016235947,0.3023646309494462,0.3023688594365794,0.30236006239536833,0.30234155340245317,0.30232609152763196,0.3023225768292548,54.123206671438346,1.061239346498791
power3,10.475424554968004,5.578120758734278,2.0230367525021724,0.9011236592003532,0.6788521125684194,0.5158030238554464,0.3885628912198664,0.33573862945346683,0.313493209621708,0.3068708309037736,0.3010363070857603,0.29950662015186585,0.29900851856414806,0.29860377460290644,0.29805968031945584,0.2981421233264925,7.156679439020932,2.9606665380155,1.467862535388846,0.7428360259380795,0.47849667699500553,0.3924008715226591,0.3457575238540405,0.3186817240501668,0.30742239853993947,0.30228995366504613,0.2996319485238947,0.2983962700965132,0.2978001179262132,0.2975595047361997,0.29737828113293335,0.29720636106113385,0.2971955791244535,0.29723614054411435,0.29718162031690126,0.2971401092327734,0.29712850891131287,0.2971712296366879,0.2972470356081601,0.2972607286404667,0.2972385466334401,0.29725091085639266,0.2972443465674412,0.2972267928422525,0.2972218022661134,0.2972241397292057,0.29722206748248114,0.29723173776932676,0.2972442138466131,0.29725656510057374,0.2972864176742002,45.21965811032813,0.8866599629476104
our approach,10.475424554968004,5.601645570018006,2.612154712490455,1.2800585245875467,0.8999298327473734,1.0637530651914806,0.9347384565885932,0.8609516803181937,0.8126522673494136,0.7615962336249671,0.6945688467333795,0.6289700279012398,0.6116980192844798,0.5961943662019393,0.5652079061514191,0.5259967939233926,12.340356080598553,5.18064996819788,3.2168920603319746,1.9697226016056661,1.0815871683121852,1.2781820044293142,1.1454563515873517,1.0426581759117264,0.9584339020773859,0.8785808155323598,0.8121245043076409,0.7502661421092668,0.6846495561387727,0.6349710067227207,0.5933125186270449,0.5571015113192999,0.5317265230580086,0.5115990367012269,0.49490085599466627,0.48196914809330593,0.4674980778337987,0.451068201331266,0.39617399355912064,0.4290706323819999,0.45508946740831296,0.40334496061304653,0.38867297656119365,0.3916563121123545,0.39396698157902676,0.38313263298427763,0.37213236696481905,0.3643439643661869,0.3580370604823069,0.35241035029579326,0.3472480942444951,70.02452686245422,1.3730299384794946
baseline,0.005,0.08,0.08,0.005,0.08,0.029999999999999995,0.08,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.08,0.08,0.029999999999999995,0.08,0.029999999999999995,0.005,0.055,0.08,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.9800000000000001,0.019215686274509806
power1,0.005,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,0.029999999999999995,1.5049999999999997,0.02950980392156862
power2,0.005,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,2.7550000000000003,0.05401960784313726
power3,0.005,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,4.005000000000001,0.0785294117647059
our approach,0.005,0.06333333333333334,0.06333333333333334,0.06333333333333334,0.06333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.08,0.06333333333333334,0.06333333333333334,0.06333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,1.0883333333333336,0.021339869281045757
