,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,sum,mean
baseline,10.475424554968004,4.332063766965968,5.160848834526787,2.576393679140826,2.2137619028268007,1.0942128119184464,1.1056010795346998,0.7393578780512722,0.7396691889723854,0.7505525386069526,0.7522701903543065,0.7457844693691735,0.7378563496386855,0.7338214918464516,0.7324325635592065,0.7309943964439266,0.7299271798096745,0.7286141391106398,0.7275021941671133,0.7264869988460797,0.7254000638399537,0.7244169599654678,0.723561208050819,0.722776744384647,0.7219775713196939,0.7211635168303606,0.7204374632915403,0.7198218344684714,0.71929119758292,0.7188058578271476,0.7183257492227781,4.529775232843542,2.0411289880548336,1.3585057187590417,0.7870463499519061,0.7282228302837325,0.7217363765984539,0.7143014060625854,0.7110563688838004,0.708597166490847,0.7075089213484673,0.7058244109325983,0.704607482895886,0.7033888191589062,0.7012950626089662,0.6969839942640945,0.6958226761001005,0.694414830765705,0.6943550253317459,0.695007818841735,0.6951309091270053,64.46426476474515,1.2640051914655912
baselinepoints,12.746411885572076,5.065184051001749,1.9592620069111557,0.9062950677570735,0.8301495020794083,0.8103240169815398,0.8043951371949466,0.7985228890716523,0.7912882653062392,0.784257656734439,0.7734815009809064,0.7628000641610588,0.7501024759675005,0.7362443051471795,0.7232586965636661,0.7122770728461153,0.7030825379743537,0.6954959981139605,0.6893650428876981,0.684771017745821,0.6819991444136936,0.6793762597458847,0.677600612566206,0.6757208854420739,0.6745110385530135,0.6737504783616866,0.6726208610375939,0.671845563814873,0.6713689230442076,0.6711205510573929,0.6709289259652607,4.855325541147198,2.2234883075525462,1.0361841313265003,0.5282181721910381,0.551605596033599,0.5486610349755205,0.5470792386496134,0.5461031374971209,0.5448270420025475,0.5429220090307818,0.5418120545770013,0.5409247156832199,0.5399897252245931,0.5391749661708886,0.5387593133490137,0.5379991958583077,0.5373350037889598,0.5372700901110942,0.5363063507426123,0.5355447027222066,57.45734276363479,1.126614563992839
power1,10.475424554968004,4.332063766965968,1.276802584518972,0.5834072666684202,0.4238543590022331,0.3481112539672225,0.3215178461824735,0.30969702415134087,0.30693793967760047,0.3060143594243731,0.3057471463152993,0.3055430967782655,0.30560273440357927,0.3055211340194333,0.3055706162743197,0.3055932020482255,0.3055729684753596,0.30554533002589845,0.3055477353624454,0.30553300226973995,0.30549714479212564,0.30547776953204153,0.3054668734988198,0.30545647368799916,0.30545421737675343,0.3054617386406458,0.30545865587418036,0.3054471234660336,0.3054283084168006,0.3054158382404798,0.3054126664704725,3.5933048839127992,1.4349845431479864,0.6547586145172459,0.4209505112581463,0.34880157706155474,0.31991539839336175,0.3105106713161135,0.3072583562082874,0.3060364029753463,0.30567051372196613,0.3055410253545598,0.3055123836623674,0.3054852217152662,0.3054636940576065,0.30543363762110637,0.3053727832185454,0.30536104212824616,0.33660375457558683,0.37492493307944696,0.28340325103803254,36.2348779304591,0.7104878025580216
power2,10.475424554968004,2.8468353795756713,0.7263460238570261,0.37915432692631207,0.322209647687653,0.30699511986838623,0.3042095373852059,0.3022183327092937,0.30329780324464034,0.3022496536290859,0.3031872921215727,0.3022646283622658,0.3028391100283206,0.30205110562598636,0.3032920279932592,0.30190405031325535,0.3033486791994202,0.3023037799133808,0.30321922518956085,0.3023973952074873,0.3035061361118868,0.3023313703772085,0.3031315681923796,0.3022102423279468,0.3033089125759811,0.3019612818765732,0.3030402565475664,0.3019937431235344,0.30294913288992736,0.3020003598148662,0.30297949750888054,3.0153217098210603,0.8972751609876458,0.4191986804012188,0.3290760268153662,0.3078689669860992,0.30371142911109766,0.3025146922950398,0.3026848585557289,0.3023663947017117,0.3027721839425657,0.30242778255489355,0.3027291431837796,0.3024181101486794,0.3026802370138872,0.30238373678651886,0.30267895561160574,0.3023421069253336,0.3026587773102392,0.3023443059596654,0.30261740007484783,32.13323083433952,0.6300633496929318
power3,10.475424554968004,2.1469497646756737,0.5300060663867526,0.3281966037445334,0.30384002094751994,0.2984342844144,0.2987804255804742,0.2969128934606611,0.29853074645592653,0.29659649375459196,0.29851342242805906,0.2968803987895271,0.29759955457459264,0.2964346437345005,0.2994412913304932,0.2975417310901605,0.2989445519611678,0.2971401099450664,0.2986861964493945,0.29784516092948793,0.29866805289286685,0.2974534766990402,0.2996145496321399,0.297581203563441,0.30008267595853844,0.2979999513626126,0.29947964415230593,0.296814312140026,0.29876117359180704,0.2974546065589664,0.29937441649393387,2.364963531833733,0.627820874079273,0.3434151052442184,0.3049160089056007,0.2981140026568866,0.2984689634531392,0.2972260648677671,0.29801940606740657,0.29717145512733983,0.29801019490048236,0.2972999146788401,0.2981093252700868,0.2970482447036536,0.29821167059337955,0.29685700408770593,0.298241613238693,0.29686591426189274,0.29810032626436633,0.29697345475511366,0.2979369070456471,29.93975296070189,0.5870539796216058
dqn,10.475424554968004,2.1469497646756737,0.6191984584671791,0.7751297014748469,0.7726940080111793,0.769482230400033,0.7664920623518204,0.7624276893970058,0.7586274315005668,0.7561784076306258,0.7527253783751149,0.7505363586419639,0.7492080638692603,0.7477744670721198,0.7467026673213473,0.745743015965868,0.7448982363170259,0.7442138327033807,0.7436859679737329,0.7430755544736201,0.7424648507494728,0.7416573254568471,0.7408659949086797,0.7399580594018053,0.7386538764174327,0.7374611172387058,0.7355562272761408,0.7332814114186064,0.7297085184738398,0.7262640848721811,0.7220631060680276,4.88445480418572,1.1736766976604538,1.2128086463206662,0.6282138168703464,0.5878186299957946,0.5813826375958802,0.5761392403209332,0.5732278544433328,0.5704679245946196,0.5688974958592861,0.5675290474295911,0.5668744432653862,0.5662451303639263,0.5657859889955731,0.5654258980830988,0.5651145073652937,0.5648644495814342,0.5646527056875338,0.564467167536434,0.5643107213043379,51.17146023133175,1.0033619653202304
pid,10.475424554968004,2.1469497646756737,0.8918729179316879,0.7001348152138799,0.7104439960970325,0.7044404812914882,0.6997063981987058,0.6966285466467544,0.6916090452768273,0.6890259878250007,0.6858329775542534,0.6837885219697465,0.6819730870401159,0.6803689530266671,0.6787866543451737,0.6777371580826279,0.6767847099610927,0.6760834636484678,0.6755086914995199,0.6751538036518928,0.6747909865531138,0.6744876916274933,0.6742087068424065,0.673954607879233,0.6737460224968662,0.6735537182241269,0.673370816720275,0.6732228952708738,0.6731005154144327,0.6729982286122465,0.6729148634825,4.710786387676789,1.6416848823497658,0.8748815895332399,0.8585795443505532,0.8554173536419398,0.8511796376712454,0.8488439875924143,0.8461978381050206,0.8435860852824746,0.840645082949285,0.8376811220660443,0.8369231961006197,0.8360331166700481,0.8352827294708675,0.8345916383153541,0.8341023637677926,0.8337341582822408,0.8332771279492387,0.8329523522118468,0.832707059823106,54.12769083583806,1.0613272712909423
pid_m,10.475424554968004,2.1469497646756737,0.631321021469707,0.8503100888557138,0.8486182648694263,0.8446402564358275,0.8416519101311072,0.8369472904814004,0.8319697969937191,0.8280150888449939,0.8242875967470141,0.8212442358841595,0.8190048447666674,0.81671689664494,0.8155080546045137,0.8142222520643457,0.8133378234951668,0.8127573766967994,0.8120884469007607,0.8113197210883797,0.8107590929856661,0.8096366781873059,0.8087606914464919,0.8078418878404198,0.8069214348510926,0.806070800950792,0.8051998169621389,0.80428741040074,0.8034564306244003,0.8025755902496139,0.8023880759433671,4.832201319400821,1.65491219569986,0.82138495496388,0.8730987412750324,0.856414317681013,0.8521234629374216,0.8470049291007996,0.8408951360464736,0.8374628713235192,0.8341873786001941,0.8313855710587741,0.8291945145590205,0.8272438836221335,0.8256564378124788,0.8245272266267728,0.8236512857892142,0.8230245397512808,0.8225085434830206,0.8220842861926395,0.8217546070289534,57.664949400013654,1.130685282353209
our approach,10.475424554968004,2.1379528308405065,0.9514232657020135,0.7024382369646683,0.4269713117832069,0.45206736644249995,0.45415545191772017,0.36807982326572763,0.370532674797928,0.369358751330518,0.3686008839041738,0.36788120107068684,0.36703829984714625,0.3666373145972258,0.36628596419612053,0.366101985699999,0.36598170432787264,0.3658215011702874,0.36570314510753976,0.3656273980509075,0.36557111845159984,0.3655524870934343,0.3655181045909411,0.3654655841768403,0.36542173406002737,0.3653903328864525,0.3653746287570333,0.36536120300534614,0.3653505437463143,0.36533899413206633,0.3653255220511331,4.61231262862158,1.308860177296433,0.8444526330803797,0.48671986950212587,0.376965410997281,0.379693795477795,0.3785609250139406,0.37794074682131984,0.37710550327651476,0.37676636474473263,0.37605924838882554,0.3755423050191406,0.37517885701446735,0.37490284966814047,0.3746452094846987,0.3746092378620342,0.37437977753243956,0.3742549365837325,0.3741406966218998,0.37404293588884013,37.66088802783226,0.738448784859456
baseline,0.025,0.15,0.025,0.15,0.025,0.15,0.025,0.10833333333333334,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.15,0.06666666666666667,0.10833333333333334,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.983333333333333,0.03888888888888888
