"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
60,49.9690826629994,50.4754245549685,50.475424554968,50.4754245549681,0,0,0,0,49.9694298877267,49.969430359088,49.9694300683487,49.9690827464707,49.9690826630008,49.9690826629994,49.9690826629993,49.9690826629993,49.9690826629991,49.9690826629992,49.9690826629992,49.9690826630006,49.9690827495436,49.9690827494303,49.9690826629999,49.9690826629981,49.9690826629983,49.9690826629985
120,48.9769047698999,40.3064506075727,40.3064380602342,40.3064453627665,0,3,2,3,40.5042146650272,40.6057531902601,40.5052699370825,41.7476416337509,45.1229694504796,47.4839681774053,48.9915172022848,49.5190700659388,42.6718824357338,47.1872618470295,49.5569218917965,49.9546522258983,45.8726958914303,42.1847629713455,43.194789265952,45.9355742820019,43.0829886201629,41.9790966074803
180,48.0059483336543,40.3063081060759,40.3064836251851,40.3061048776354,0,0,3,2,43.6858575165613,44.6137414581613,43.6907205978585,43.8351375550881,45.5703858911484,47.2882577405561,48.6891354104517,46.5175598691881,44.9475867375269,45.3440094346798,44.3929164015324,41.9103363472374,40.8263903283171,40.7333884618263,40.8202786098993,40.9462874192035,43.316208432401,43.3327861878424
240,46.2876125169504,40.3066362331755,40.3064905576736,40.3066034990842,0,0,3,2,43.8260711542747,43.4433676491953,42.2763820413343,43.4068340544691,43.597977728274,44.576295382922,47.7173744935217,48.413047519035,41.8698466429868,41.6150391971009,41.3963167487775,41.2503802009173,41.3237497439571,40.8076249527706,40.8836973347692,40.8879510565505,42.2750928416259,42.4415648674762
300,44.3417836724187,40.306411536325,40.3065585212287,40.3065802961848,0,0,3,2,43.3657109139525,41.6185128820312,41.5648451473721,43.3253506827866,43.2963322263271,43.4095339085508,44.4472304993546,45.4155005937481,41.7537787420381,41.5922509167106,41.6704632483596,41.6388077875224,41.4786367665835,40.6553148496438,40.7674007812172,40.7918400925092,40.8130050676382,41.1115197497558
360,44.0779687541984,40.3063035706191,40.3065496013331,40.3063632268939,0,0,3,2,42.5301338742789,40.9959620833517,41.1345746343196,43.1788449253713,43.3539374654349,43.4080159059315,43.3566687769458,42.9631653300055,41.2081283085056,41.1531629517555,41.064270113117,40.8100049452984,40.5733699923307,40.8040049043093,40.906574443841,41.0456874415519,41.0975569769713,40.9669471838542
420,42.6739282408849,40.3065763527771,40.3065834933054,40.3065773795358,0,0,3,2,42.1955711443311,41.0026557683328,41.0513653071864,42.436621399222,42.3286727950877,42.1084543183595,41.7982608439803,41.6404712324409,40.7269527944628,40.6652278050381,40.6283229674074,40.5605364166067,40.5184762780923,40.8658018764248,40.941303539015,41.1564249519807,41.4705938230208,41.4286602746505
480,41.5598315433624,40.3062814960985,40.3064554970351,40.3063371724037,0,0,3,2,41.6679296348879,40.8866504351114,40.9407445930125,41.6210180021272,41.4962869344996,41.3460015195977,41.186197382114,41.0957178717327,40.5696867673574,40.5419280133853,40.5244811828389,40.506836925441,40.4549795260487,40.6238656614289,40.637582027212,40.7276463164408,41.0297461934644,41.0079417243352
540,40.972177332078,40.3064077994135,40.3064813757349,40.3063640973211,0,0,3,2,41.3421836821527,40.6514702914208,40.680095805502,41.1952426249625,41.0110506532618,40.9206186175769,40.8437468860847,40.8111944954573,40.4892496660909,40.4782120402262,40.4707698308171,40.4615283257933,40.4272075187583,40.5025074957658,40.562489016227,40.6558686598024,40.8043713211686,40.7779224224557
600,40.6985872894427,40.3064131919188,40.3064920181243,40.3063597824171,0,0,3,2,41.1167429924312,40.5289443664262,40.5236270457681,40.9269497273019,40.7608580263209,40.6964709864605,40.6223101024104,40.591405490234,40.5518614143392,40.5312305246978,40.5105573440182,40.4712654214051,40.4137079771759,40.4248352472946,40.4669399754545,40.5343674269088,40.6288515263137,40.6182150653712
660,40.6547938999254,40.3065295794825,40.306404957554,40.3064978702163,0,3,2,3,40.3557832107647,40.4067024293307,40.4195944060043,40.3719226705368,40.4909399901471,40.5331456686524,40.5793770587303,40.6120443637208,40.4887213395245,40.510841180273,40.4973729672563,40.4677033991659,40.4228259814119,40.3769454692433,40.3891635507617,40.4354047248195,40.4989249136879,40.5010277142353
