"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
180,49.9690826629998,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,49.972395051433,49.9723936928706,49.9723914947539,49.9690887351643,49.9690826649753,49.9690826630001,49.9690826629999,49.9690826634489,49.9690826668678,49.9690826630015,49.9690826629998,49.9690826650849,49.9690890043123,49.9690889903573,49.9690826650661,49.9690826629998,49.9690826630008,49.9690826663902
360,49.9690826625509,40.3064375041304,40.3064375041328,40.3064375041315,0,0,0,0,49.8730404021915,49.873599194366,49.8736572537563,49.9685641920218,49.9690819509702,49.9690826619246,49.9690826620331,49.9690824298722,49.9690811606035,49.969082659654,49.9690826628683,49.9690819294199,49.968551471259,49.9685508918221,49.9690819304139,49.9690826618989,49.9690826606569,49.9690814117245
540,46.219612774811,40.306443546732,40.3064375229952,40.3064375183319,0,2,0,0,40.418868339714,43.4486254020546,48.864258763634,40.921756007124,42.4220397413444,43.8584342800256,45.4041864264742,46.405566548209,41.489657503998,43.4347100370877,45.398956452991,47.2053724962565,48.2216222080067,42.4514110557233,43.0652541269008,44.3628874540073,48.4421596336819,48.2122121993789
720,41.2145799833681,40.306027248106,40.3064376857756,40.3064326079098,0,2,0,0,40.9912780501093,43.800123996498,41.79708509287,40.4271757766295,40.4800605353161,40.6368575035415,40.7459955060694,40.9056979641691,43.4681887266284,43.504064200722,43.9836792199934,44.2731465063018,43.6549496283785,43.417092884192,43.5742426151545,43.8284989943859,43.3883445246436,42.6006850901166
900,40.7433304613028,40.3065771926734,40.3064381582537,40.3064295066719,0,2,0,0,40.866648852036,42.7717679241269,40.7729829289076,40.4212248772692,40.4821363121909,40.5446289447334,40.557762545277,40.5608510764264,42.4867330794203,42.6919284098816,42.1778914065096,41.8966520183975,41.0548699680803,42.7865701361753,42.8888558830883,42.2287645241834,41.311926355324,41.1702225203687
1080,41.0206753016331,40.3066521168957,40.3064396668633,40.3064392953138,0,2,0,0,41.4065762352717,41.3476678544709,40.9339912727601,40.5310843767537,40.6069015238863,40.6493682879354,40.6618305115214,40.6750632370769,41.0846223153843,40.9950543018918,40.9212485694371,40.8695921152574,40.8966920590945,41.3224315489896,41.2007566711485,41.0451991098805,41.0166385109559,41.0119113407599
1260,40.6134932821808,40.3065507890182,40.3064434110895,40.30645479602,0,2,0,0,40.6374799548856,41.0009416550423,40.5657866025464,40.4007395940257,40.4125084389226,40.4202464973442,40.4466948838695,40.4699137023001,40.8911071011916,40.7389903617352,40.6613617837456,40.6392494297507,40.5460678086676,41.0910655299904,41.0909440609346,40.6662342644577,40.6450720161064,40.6316696263586
1440,40.4984289546116,40.3064589132161,40.3064390494289,40.3064356638488,0,2,0,0,40.5577883346394,40.5517256525996,40.525738061513,40.3568027127289,40.3836133196667,40.3913785416176,40.4128482588153,40.4461068537938,40.5987648035261,40.5833327640364,40.5577761075104,40.5362126587013,40.5311491003768,40.5629789253917,40.5511483546384,40.5415871894585,40.541657434692,40.5420923307627
1620,40.3789257151875,40.3065972544966,40.3064384472464,40.3064532733089,0,2,0,0,40.4124892024748,40.4431053191094,40.3833523574163,40.3244652792549,40.3259580617228,40.3306657728776,40.3327118301574,40.3356445663321,40.5015594030772,40.4636478090873,40.4430311478607,40.4093026145732,40.4075685212844,40.4786173475757,40.4784894934213,40.4325523242245,40.4152673901304,40.4006619569731
1800,40.336418172348,40.3065336796169,40.3064391158042,40.3064481628381,0,2,0,0,40.3799665209097,40.3949553032031,40.3629007699041,40.3173067307242,40.3195724857755,40.3258212515488,40.3314408861713,40.3391808883823,40.3750832565732,40.3683180654259,40.3616586422503,40.36008701405,40.3642716073114,40.3788460135215,40.3702907393843,40.3681233900626,40.3667635283829,40.3644588244373
1980,40.3268305251737,40.3065575813942,40.3064375233054,40.3064387822767,0,2,0,0,40.3311429502535,40.3388964119757,40.3155857013979,40.3096558012073,40.3094392129064,40.3097750446654,40.3101263454642,40.3100811114557,40.3599428460887,40.3506431048645,40.3453795532347,40.3425262576341,40.3302983475117,40.3425460456054,40.3444989168,40.3392333647961,40.3331866195237,40.3315815001163
2160,40.3179521647536,40.3065610153378,40.3064382305246,40.3064448468969,0,2,0,0,40.3285327434683,40.3290988936135,40.3162820905383,40.3070981169822,40.3080240563482,40.3083643328847,40.3100906666774,40.3121666344718,40.3250845960381,40.3229558390922,40.3220753794468,40.3193677319246,40.3179409305011,40.3271823906016,40.3208412339631,40.3187543279545,40.3179469109527,40.3179117894059
2340,40.3121297065286,40.3065814380421,40.3064376850008,40.3064374159186,0,2,0,0,40.3135233442578,40.3207848190542,40.3093415531837,40.3058173154926,40.3057629643986,40.3054721044062,40.3051097453959,40.3053156766516,40.3156086538949,40.3138402381902,40.3109070441804,40.3095010559017,40.3085546269568,40.321068148783,40.32068809896,40.3182657414664,40.309995114867,40.3113238665526
2520,40.3092787173722,40.3065460084543,40.3064374569107,40.3064367029593,0,2,0,0,40.3115239237538,40.3111858861888,40.307380411643,40.3062036203322,40.3065503230333,40.3068791270846,40.3072936988424,40.3076076939219,40.3078825423448,40.3074630199219,40.3072358625488,40.3069230769155,40.3070081515448,40.3088940517952,40.30822734412,40.3076138290506,40.307799288326,40.3077239537327
2700,40.3048113645025,40.3065683741909,40.3064380464494,40.3064294421354,0,2,0,0,40.306131503125,40.3071784581788,40.3037136278179,40.3044773093349,40.3041653914907,40.3039219445787,40.3038835491801,40.3038862313307,40.305291779936,40.3048877891416,40.3045521712267,40.3040043221033,40.3040708158095,40.3068931529997,40.307065247341,40.304840800132,40.3043175394499,40.3041293282875
2880,40.3036212913399,40.3065399792939,40.3064375875802,40.3064354076253,0,2,0,0,40.3045003965302,40.3045253990603,40.302690462231,40.3046924378934,40.3047072521405,40.3047939466672,40.3047801153282,40.3047745492795,40.3040125868039,40.3036098905182,40.3033037847118,40.3029646647929,40.3031806544598,40.303893739298,40.3033890193962,40.303182693491,40.3032645371279,40.3032792648854
3060,40.3021223047396,40.3065866950726,40.3064376166929,40.3064357991256,0,2,0,0,40.3027900800342,40.3036415450079,40.3020991908403,40.304374460364,40.30414890437,40.3039679053665,40.3036530548907,40.3034235445901,40.3031299165084,40.3030139824554,40.3028175944587,40.3027372446533,40.3025266151264,40.3036006558028,40.3034612838878,40.3020897148774,40.3019858653083,40.3019266434989
3240,40.302105026147,40.3065541856371,40.3064378202168,40.306434479142,0,2,0,0,40.3022574566818,40.3023434715578,40.3022335419847,40.3042657222831,40.3042498901002,40.3042362425002,40.3042552336248,40.3041196910101,40.3024480149575,40.3022988158888,40.3023715023341,40.3022415490682,40.3020098827274,40.3020327775602,40.301780492863,40.3017635138078,40.3017865905881,40.301848302907
3420,40.3015696639984,40.3065917571533,40.306437515099,40.306436963719,0,2,0,0,40.3016096869449,40.3022581877828,40.3017291592298,40.3042234741724,40.304119253926,40.3039530065088,40.3036662379878,40.3033684348519,40.3017939929113,40.3017263900375,40.3018343665911,40.3015853631533,40.3012957403814,40.3020514155944,40.3016915627391,40.3014067747435,40.3013635334727,40.3014488000925
3600,40.3015646041353,40.30655803877,40.3064372011701,40.3064383789449,0,2,0,0,40.3017346615805,40.3015327941547,40.3013551555729,40.3040704853317,40.3040560494645,40.3041907577284,40.3044977013893,40.3043812270315,40.301543161903,40.3015753098606,40.3016192691956,40.3013088191061,40.3014092414908,40.3013742702327,40.3013250694236,40.3013817804143,40.3014693850545,40.3015828081608
3780,40.3012434822675,40.3065861436874,40.3064375853242,40.3064341689674,0,2,0,0,40.3014269148127,40.3012993016566,40.3013618621644,40.304162764111,40.3039090053271,40.3037395913267,40.303594795935,40.3036065718988,40.3013524216094,40.3013949974172,40.3014390920848,40.3012673334329,40.3012498250801,40.3012383846302,40.3012285954234,40.3011836846126,40.3011378910847,40.3011919557402
