,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.7167111111111111,-0.5307111111111112,-0.44011111111111106,-0.3651111111111112,-0.27751111111111115,-0.2241111111111111,-0.2208
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
5,-1,-1,-0.7155111111111111,-0.5289111111111112,-0.4269111111111111,-0.3477111111111112,-0.26671111111111107,-0.21571111111111102,-0.16051111111111108,-0.12811111111111095,-0.09871111111111121,-0.08131111111111106,-0.07559999999999979,-0.07859999999999984,-0.07979999999999986,-0.07951111111111103,-0.06811111111111115,-0.06091111111111118,-0.05431111111111108,-0.05251111111111106
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
6,-0.717311111111111,-0.5337111111111111,-0.4233111111111112,-0.33931111111111106,-0.2607111111111111,-0.2706,-0.27900000000000014,-0.28020000000000017,-0.27900000000000014,-0.27900000000000014,-0.27900000000000014,-0.27900000000000014,-0.27900000000000014,-0.27900000000000014,-0.27900000000000014,-0.27900000000000014,-0.24991111111111114,-0.16951111111111108,-0.14911111111111103,-0.12751111111111105
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
7,-0.717311111111111,-0.5337111111111111,-0.4233111111111112,-0.33931111111111106,-0.2607111111111111,-0.20011111111111118,-0.14851111111111112,-0.11311111111111115,-0.11579999999999986,-0.11879999999999986,-0.12179999999999983,-0.1211999999999998,-0.1199999999999998,-0.1193999999999998,-0.1199999999999998,-0.1193999999999998,-0.11191111111111096,-0.09091111111111118,-0.08011111111111112,-0.07171111111111125
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
