"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点01RH Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点07RH Monitor: Sum of RH","点08RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH"
30,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.4741429763337,40.3064424930146,40.3064379649804,40.3064385567051,0,1,1,1,41.4530390107393,41.4441585638974,41.4634733560919,40.3238950452511,46.5080495709924,50.2298198261066,50.4683911772491,50.4753685116382,50.4754165319859,50.475416940189,48.431759559341,48.4680050895393,50.4201485794443,50.4753024383622,50.4754038254658,49.4536706925696,40.3817770522843,40.3239158708613,45.7200179642646,47.9494923974372,50.0284101127166,48.6417257769693,46.7904910354,48.0802406275666
90,50.2699556074336,40.3064487959309,40.3064477024032,40.3064459136634,0,1,1,1,44.5318556902403,48.2145153458377,48.3317440470314,40.3752068796741,41.1360662826024,44.4539786474904,48.8456656671505,50.329287434302,50.4556038140607,50.4754529039317,48.3247512553013,45.8021437699417,50.4495876483402,50.2780778833179,47.4522774741143,41.9324979310793,44.5158056116106,40.4104760524094,41.8763500012225,43.2505207480929,46.8223059094411,46.4060061116675,45.9329640075163,49.1644032015239
120,47.9176440713677,40.3064327762037,40.3064394217014,40.3064387275586,0,1,1,1,43.7985384633551,48.548727733176,49.2376793193866,40.3341682456825,40.915579283805,41.1795184620685,42.660964847557,46.0483239071149,48.0180448661752,50.3991674022171,47.6334124007863,47.6963483705226,47.2703369171554,45.4810945614377,43.0983478815679,42.8216976655902,43.8132640242155,40.3494455472929,42.0544984011821,42.1081653840288,42.7233780478466,46.4779587579123,46.5924258161391,48.4038437033482
150,44.5099284114645,40.3064562761689,40.3064509350055,40.3064621483631,0,1,1,1,45.3005970611603,47.0842615554647,48.5166828617295,40.3367344378763,41.3078049073184,41.4548849506116,41.5495855812893,42.0721457138723,43.0521845281096,48.6897946874136,46.958894184737,44.3083862793915,43.500898167559,42.9897856570062,42.7893101117154,42.7661418567898,42.3427327606016,40.3443057847566,42.1549598460062,42.2536512985925,42.5059148805864,46.7694286008643,46.9750277595314,47.7386916970355
180,43.5943201652663,40.3064604116453,40.306449558748,40.3064503943361,0,1,1,1,45.3002103774182,44.4369540486147,43.7283540660813,40.3436304589103,41.6211406536105,41.8167359309057,41.8129789133206,41.8233006887331,41.918962503801,43.1253704249975,44.5058786956018,43.3204919887281,43.3953338914778,43.7097510127442,43.8820529950739,43.0060833500868,41.2565940643674,40.3359232140378,42.2099806786323,43.3060260386946,43.9037371472381,45.8682895341512,46.7836087421357,46.9790738725066
210,43.6328891013402,40.3064479542668,40.3064482994879,40.3064380180017,0,1,1,1,43.9793175478871,43.1733880922774,43.3847911823988,40.3279688145247,41.1083986237162,41.6124193225939,41.8168749815433,41.8328688521016,41.8595453575294,41.9630520086972,42.3695283215811,43.8855697209248,44.0502367190941,44.14316754977,43.7907927451885,42.4091641574112,41.0934268452609,40.3195170975965,41.8815890912733,42.8714054799025,44.1967864032788,44.4131843619692,46.6720423740342,47.0996515711164
240,43.8312901048293,40.3064688222834,40.3064600053036,40.3064474220091,0,1,1,1,43.6766603611071,42.7511034183717,43.169130692965,40.3291439671005,40.9492483713446,41.1196196575478,41.3983905404385,41.5297657016251,41.6715600739721,41.7650874477195,42.3954418655595,43.8618009596353,43.7204357495149,43.3018976915904,41.9199152924013,41.0851587223864,40.9748111494388,40.3211847049856,41.2349739530683,41.481954685669,43.1540918536473,44.2776928559885,46.3792282913977,46.5387857983291
270,43.7093954451297,40.3064616328077,40.3064549124461,40.3064491138109,0,1,1,1,43.0203829486275,42.4624329369448,42.645338395138,40.3236162585167,41.1685242002345,41.2822117229794,41.3652231220928,41.5045916786772,41.6770163550568,41.7392097050646,42.1510686091607,43.1951897968766,42.4850600241768,41.4906588732605,40.9282789257736,40.8322334679965,40.80158208736,40.3186133396449,40.9663497185946,41.0324306605447,42.1818199928279,43.6991889448744,44.9159442880741,46.0096003658941
300,43.2139113835821,40.3064586588626,40.3064534559197,40.3064500470987,0,1,1,1,42.4583941981692,42.2486137900977,42.2207829642244,40.3205449871843,40.9121478010494,41.1967339103611,41.4999501024183,41.7333779494866,41.8119264218471,41.6191467174882,41.809722793023,41.8209575963402,41.3219466137599,41.0670957552365,40.8813815777961,40.807558900697,40.670430942749,40.3156231152314,41.1161940778901,41.0801749069589,41.7138218112843,42.8081202122201,42.9986192959419,45.298942439859
330,42.5354027512156,40.3064667070553,40.30645657517,40.3064533895287,0,1,1,1,41.9663916380107,41.9682357839675,41.9699037115928,40.3184398633978,40.6781476588658,40.8998884258517,41.2360484118089,41.6091224828574,41.6160522831201,41.3345489083325,41.4404733732466,41.2573888677778,41.073818699894,40.9627290484677,40.8279057754485,40.804322143232,40.5741111644671,40.3147584227004,41.5322523132709,41.4509669742194,41.7363939766638,42.333236343286,42.1877588336732,43.8368266404997
360,41.9726577170895,40.3064680353253,40.3064517374132,40.3064539610553,0,1,1,1,41.5577891106133,41.7904512544904,41.6355094786217,40.314501788104,40.5313520210496,40.6751563596811,40.9159479083743,41.1722072544343,41.2624782709877,41.0883257686267,41.2683750626825,41.2400170883276,41.1324206442485,40.9741765926649,40.898989841295,40.8958643381399,40.5163134596277,40.3139589496301,41.3732681907335,41.4454516385471,41.7643730787121,42.2970994117072,41.9375450466826,42.3420434403994
390,41.5796442664044,40.3064646796955,40.3064487114249,40.306454901681,0,1,1,1,41.2988593051663,41.6626803117596,41.4664064522196,40.3134602776028,40.5184589282573,40.6425503916277,40.7748781790809,40.923028015892,41.0577471972253,41.0626119122216,41.1550073792531,41.3018347988502,41.1713584654898,40.9734813246246,40.8268716214708,40.7931070845952,40.4943483160394,40.3144174222262,41.0789188729125,41.2455694844849,41.5794123823038,42.147897167327,41.9244855749065,41.6766389135599
420,41.299127936345,40.3064500467287,40.3064439964941,40.3064389463836,0,1,1,1,41.1012758901081,41.3421825543623,41.2823192656418,40.3117227908929,40.5078789100008,40.6848594854247,40.8675809153999,40.890583583158,40.9530913270603,41.0081840141391,41.0361256005863,41.207391664153,41.0406363254631,40.8452735070627,40.6655149194261,40.619648719192,40.5032457022717,40.3120802326383,40.8073776192646,40.9474890143335,41.3791241818932,41.921386922681,41.8249069160385,41.4442974023536
450,41.2167786345596,40.3064268700749,40.3064255637307,40.3064175930269,0,0,0,0,41.1763730949281,41.4811144091269,41.2063972824637,41.1100060882971,40.9589337156554,41.1199649511485,41.3611312503037,41.2497772981843,41.1973772777718,41.2087689015104,41.4062876984147,41.6523416000447,41.5114087712681,41.3747522074345,41.2050730240539,41.0469206814867,41.1680981174953,41.2441110184724,41.214229901724,41.3035479222322,41.4784017923194,41.7727768040442,41.7495984217666,41.4976939803125
480,41.1694295610882,40.3064452251792,40.3064385391821,40.306435068268,0,1,1,1,40.5182018894631,40.822189831752,40.3547562902769,40.3075006658699,40.7898882835951,40.9428998221757,41.2202578618789,41.4221998910975,41.3465742884772,41.3153283445834,41.2325831462154,41.6535151840643,41.5780244788289,41.4547398780102,41.1477634603074,41.0446537371522,40.3092642250578,40.3068669386145,41.069537808413,41.0104240281477,41.3166306115461,41.4555094111906,41.3874550934001,41.523121759123
510,41.0006715351337,40.3064829440889,40.30648347477,40.306479986266,0,1,1,1,40.9437206646253,41.2325919257824,41.1027217283591,40.3140908388986,40.4413222197302,40.6293478026036,40.8337846083391,41.216801029153,41.2934172862305,41.310214918033,41.132747831776,41.4161461016277,41.2762443846191,41.0296947483109,40.7964200743365,40.6697857008126,40.6019317889551,40.3158454918269,40.8671020918642,40.799849547399,41.0105192421238,41.3020999814395,41.0828083607489,41.4399549058633
540,40.9180226963803,40.3064300247463,40.3064408116306,40.3064326514502,0,0,0,0,40.9314241995693,41.2339817472215,41.104963081344,40.8367680129769,40.5737837187128,40.7280994314217,40.9278689419768,41.2102806211494,41.2529370263911,41.2737276009746,41.1656429968877,41.3993445814393,41.3438898055155,41.1078024133988,40.8921797859699,40.7274276576969,41.1060800960372,41.1384456804742,40.794860823393,40.9497783709042,41.1708298171513,41.2937847673351,41.1826181350524,41.3662180731318
570,40.8956663807219,40.3064573744748,40.3064443185735,40.3064480309745,0,1,1,1,40.4057263846764,40.5507685460976,40.5080974966428,40.3072161204661,40.4832027602342,40.7082084099864,40.9271530605662,41.1432836231112,41.2155621880518,41.2333723936512,40.9535209628535,41.3292869274483,41.3441170152548,41.1142963312555,40.9491072553849,40.7029531142755,40.3098892948081,40.306984551601,40.513498652926,40.732464424118,41.1364584169357,41.0836685513897,40.8329014632043,41.1188028397013
600,40.9056382611469,40.3064416887129,40.3064541509049,40.3064525939318,0,0,0,0,40.481802005069,40.6069756856128,40.6263481351083,40.462269575306,40.6029656310312,40.75537538967,40.9615857640547,41.1137463727136,41.1932333821167,41.2020862912751,41.0069549927639,41.2881983101182,41.3050096915586,41.1097408139793,40.9689053259087,40.8585179663098,40.6020973946729,40.4952650882284,40.8137457857762,40.9323228823569,41.1169534921011,41.1010447086043,40.9601364760309,41.07982431702
630,40.9151507080231,40.3064323304397,40.3064256703303,40.306431224653,0,0,0,0,40.6112086543005,40.9229399180262,40.7840802120371,40.5546752052493,40.6077430676332,40.7357590379139,40.9605082536389,41.0841138443692,41.1748529818777,41.1823229784741,41.0825624196831,41.2472268822168,41.2533853280334,41.0788713028668,40.9389488943602,40.8427484240004,40.8054456072753,40.8727448399287,40.8832921730847,40.9771904097131,41.0925051210144,41.0806317943666,41.0189226409375,41.0771220447494
