"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点01RH Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点07RH Monitor: Sum of RH","点08RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH"
30,49.96908266302,40.3064375041142,40.3064375041327,40.3064375041276,0,0,0,0,49.9680706843734,49.9680670837303,49.9680690832296,45.7134462425443,49.9690825972494,49.9690826630171,49.9690826630197,49.9690826630223,49.9690826630243,49.9690826630244,49.9690826630125,49.9690826630266,49.9690826630279,49.9690826630287,49.969082663029,49.9690825959438,48.9476952825979,45.7133410169149,49.9690825960244,49.969082663067,49.9690826630792,49.9690826630662,49.969082663052,49.9690826630327
60,49.8111253920651,40.3064613760396,40.3064385452692,40.3064511370699,0,3,2,3,40.6615082309431,40.8323859750392,40.6659252135891,40.2996381349742,43.0454773579777,47.5895786238898,49.3566578336518,49.8772606661234,49.9498384666674,49.9690466047179,44.7559273489302,44.4924885512836,49.0629569708756,49.9460308463766,49.9687993277538,47.0132813537873,40.3160128263148,40.3065901836618,43.7513220535513,45.3089448782603,48.0221779612262,44.8901490525408,43.2721738498689,44.7492465884409
90,45.752494091716,40.3059515144735,40.3064863701645,40.3059317590619,0,3,2,3,42.2304164084463,45.8074037726477,47.566837978008,40.3088199585475,40.515332888114,40.9225494641713,42.186951334314,44.4550332212213,45.964713124068,49.4848084380078,45.6786060350988,44.2759706178003,48.2706106269259,46.4230356962236,42.6681067738814,41.1214011799346,40.4912239766023,40.3797737587683,41.4948265786094,42.1734611196741,44.3760264909269,44.5227718494678,44.549364163843,45.3137511122896
120,42.2101465867237,40.3063747436056,40.3064988307796,40.3064028729565,0,3,3,3,43.478152169007,44.2322962737386,45.4027301543343,40.3336561712636,40.6364034104694,40.7222298712127,40.8087316913547,41.0226567413772,41.3570069966626,43.8964824237653,44.7022709182944,42.5739159993274,42.1467707974874,41.6086497741209,41.2929250768432,41.2680801852974,42.0537633399032,40.3145579505151,41.0851140538153,41.143279447779,41.3860520460115,44.4160215245577,44.1151556336862,44.5900945333259
150,42.0723714984881,40.3067681509711,40.3064230025441,40.3064991662967,0,3,1,1,43.5632251113241,43.7654064780643,42.0905305488779,40.3362908551518,40.9108445257182,40.9340038846467,40.9562165663058,40.9928968477531,41.0485506447023,41.2078062481165,43.5122846606298,42.0065781902071,42.0515570914986,42.1778322074596,42.3253077803988,42.2323107531877,40.6201992429441,40.3289498021964,41.4093144444814,41.4723672598387,41.5976851999771,42.9215719953343,42.6591365552358,42.8589561883074
180,41.6768887399322,40.3064608068625,40.3064431902798,40.306327622361,0,3,1,1,42.7560954415139,42.5879568578299,41.2728771624283,40.3271148362753,40.8359990753933,41.0367877573831,41.050499634224,41.051755400336,41.0831149766888,41.1051246354156,42.7177849147675,42.1018181969128,42.0427402683605,41.8796778965677,41.9253580106194,41.7057393512461,40.4523588766165,40.3124819177353,41.2100133214352,41.6442007761326,41.7456893727054,41.6465977770495,41.308098962719,41.8917058039192
210,41.7235244791203,40.3066693224135,40.3064266589685,40.3063437510928,0,3,1,1,41.8859454364835,42.0204343148092,40.9721066902585,40.3189112276365,40.6776090951996,40.8287024793288,40.8695076806865,40.8899729074541,40.9406496033084,40.9797460463244,41.9922300635675,41.6945805077949,41.655835567394,41.565453867465,41.5889929877807,41.3656381486356,40.3672909333166,40.3201946495533,40.927502136874,41.3646494948289,41.5368919618166,41.1371495766889,40.994894207651,41.4895555264017
240,41.467319947969,40.3067737410175,40.306455575115,40.3063986410804,0,3,0,2,41.5421226734691,41.5597858123501,40.9564477918079,40.3201843967869,40.4920768311864,40.5510227358569,40.6132376075756,40.6600547753351,40.7352459267537,40.7799313470046,41.4823316113896,41.3194737301251,41.2476275013639,41.1606532490559,40.9973387811377,40.5227059130534,40.3755574497907,41.1378441250246,41.6492445194886,41.5266011915231,41.5817653225459,40.8679727262028,40.8224387234292,41.295749499412
270,41.2860010709864,40.3064978539728,40.3064344608838,40.3063031372698,0,1,0,0,41.38411835599,41.3683537969347,40.9746409246566,40.319598861903,40.7044832044794,40.7190493465943,40.8058360335691,40.8713223692197,40.9073234066996,40.9067511789942,41.5540044178815,41.1986136439221,41.1082134858648,41.0729163599779,40.9756420771571,40.8517661621381,40.9196473379081,41.0407331577373,41.5899837728317,41.2435781348545,41.3508987617077,40.9705197931391,40.9921402623896,41.0656007270919
300,41.0374318490287,40.3065245855288,40.3064333149505,40.3064187264188,0,1,0,0,41.1611902112975,41.1754087309222,41.0169874524523,40.3134615016575,40.4553364652965,40.573844354173,40.7498366989668,40.8131851865775,40.8350707252003,40.8480008333298,41.3820444406383,41.1326122342114,41.0768370206113,41.0558923020932,41.0637507827008,41.0076501442314,41.0031923673946,40.7400100414748,41.4789032504928,41.2464978418487,41.2833711235101,41.0214361595186,41.015370296887,41.0071222293477
