"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点1RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH","点2RH Monitor: Sum of RH","点3RH Monitor: Sum of RH","点4RH Monitor: Sum of RH","点5RH Monitor: Sum of RH","点6RH Monitor: Sum of RH","点7RH Monitor: Sum of RH","点8RH Monitor: Sum of RH","点9RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549692,50.475424554968,50.4754245549682,0,0,0,0,49.9691358058479,49.9691359957205,49.9691358897058,49.9690826629984,49.9690826629983,49.9690826629982,49.969082666521,50.0226872557687,50.1922818353654,49.9690826665147,49.9690826629964,49.9690826629956,49.9690826629962,50.1922761166002,49.9690826629969,49.9690826629976,49.9690826664523,49.9690826629989,49.9690826629988,49.9690826629986,49.9690826629985,49.9690826629985,49.9690826629992,49.9690826629985
60,49.7277061900147,40.3064525485398,40.3064389186224,40.3064407293744,0,3,3,3,40.6694911362251,40.6674076724952,40.6733663687306,48.426015510895,49.7746221757939,49.9607508280848,47.651530709018,40.3233988020792,40.3023825942354,42.7879636316269,44.2796208140387,47.4020336267803,45.0286585161069,40.3024085263125,43.3695051349338,44.6150375458167,42.9511520159015,47.2305422474604,49.1035283570025,49.7937972477443,49.9222123716988,49.9689673790087,44.8962880191194,44.3633403520531
90,45.7233465857341,40.3063419190478,40.3063759920149,40.3063236151303,0,3,3,3,42.2554654174369,46.3530401157198,47.5285039398046,47.9778129633688,46.3733016653963,42.7839723919422,41.0992453297945,40.4943626081797,40.3061673945153,40.9770890105672,41.474356156434,42.5095321639945,44.4817890630043,40.3093926192041,44.4567536938608,45.2019596350362,40.5196679245693,40.8978486674827,42.0665443677422,44.3727992663278,45.9721560522674,49.476952609334,45.516593304931,44.0606251699116
120,42.1541950540972,40.3065147635853,40.3066268774312,40.3065631429053,0,3,3,3,43.3663394954923,44.2857412294183,45.5120760707583,42.1049550744558,41.5505259492493,41.2270399215034,41.1957458481241,41.9467033773407,40.3167212620644,41.2984406175458,41.3009575938703,41.3506487985095,44.266259017392,40.3336099971915,44.0913509225856,44.7156778190377,40.6247582130326,40.6966466486704,40.7929632083649,40.9925670070454,41.3267938612225,43.9434591264956,44.5937704033347,42.51508297387
150,42.0079385535913,40.3066330527366,40.3065914660124,40.3066805847936,0,3,3,3,42.6887033783279,42.3336347615713,41.8969212476449,41.5907753841035,41.6221618599384,41.5783409025866,41.4392354673695,40.6334146213658,40.3187651078652,40.7940678852726,40.8992481996655,41.0078336353055,42.9809916622933,40.326972912745,43.3628443098982,43.0537602772898,40.8731603288774,40.9158593380023,40.9251250411751,40.9483332102856,40.9817655607049,41.120756444786,42.8585435460658,41.60365042069
180,41.4541921679299,40.3065761080341,40.3065120297733,40.3063648163806,0,3,3,3,41.0168479434534,40.9740095193483,41.2899616880254,41.0521887676431,40.9974880226878,40.818024336849,40.6562043856969,40.6703613029704,40.3150249646256,40.7833885771595,41.0548947100351,41.2900177851822,41.3684740204916,40.3142212761717,42.7640993611071,42.6327160035725,40.5398596651098,40.7242279274788,40.8001978001705,40.8135440021027,40.8303414504815,40.8448359958785,40.7544104754814,41.123729387051
210,41.1825834056547,40.3065371276364,40.3065475402831,40.3064346431059,0,3,3,3,40.9776093966769,40.9675429622121,40.9634799709248,40.5911651425984,40.5536698238938,40.4731890534194,40.4025276275528,40.4853062866391,40.3147279014161,40.5935822129226,40.6590059538005,40.9218326822669,41.1462019140616,40.3149880921526,41.5383169780526,42.4123391579505,40.4495966595204,40.5463730348139,40.7019072044556,40.740339837108,40.7562186326283,40.7618375109025,40.7882377325651,40.6822450668233
240,40.9361435639072,40.3066621165666,40.3066771908155,40.3067603811458,0,3,3,3,40.7528288051053,40.8829173254908,40.7281220217167,40.4694843297229,40.4485480221534,40.4045072390683,40.3849243326578,40.3649865097124,40.3131197288624,40.4778263070198,40.4935290260784,40.6542755290784,40.8996674595838,40.3133364023222,40.9274429388765,41.4651361207807,40.4500099572009,40.5368930577715,40.550808967543,40.5583916296538,40.5768071968309,40.5933346633319,40.7582004565885,40.4855310315279
270,40.6803933040755,40.30669558357,40.3065772989822,40.3067299807815,0,3,3,3,40.5805882629214,40.6862290925912,40.5495121429513,40.4065340482845,40.3838421016213,40.3556212383707,40.3486917398131,40.3335710130661,40.3128185124587,40.4243121895242,40.4329694814931,40.5151718337498,40.6800335009487,40.3120769397472,40.6433111261986,40.87320738225,40.3680506126195,40.4097917121565,40.4413279950752,40.4677347977466,40.4870791591591,40.4987667508443,40.4239103553283,40.4141624944926
300,40.5109964551729,40.3066838584778,40.3065792131544,40.3067302364691,0,3,3,3,40.484028361484,40.5593699632519,40.4429870063927,40.3773579099373,40.3685652334271,40.3631113581203,40.3652215315314,40.3131896337938,40.3113182219138,40.4255366864721,40.4184774699264,40.4560317306189,40.5345353835329,40.3113434714721,40.5075444082244,40.5776320088913,40.3414195160028,40.3631895596929,40.3953444230932,40.4177373325737,40.4255734063994,40.4280626585144,40.3877487476811,40.3817438117733
330,40.4348106130278,40.3067802239811,40.306646269621,40.3066976940188,0,3,3,3,40.4083364923715,40.4583225679633,40.3849637026486,40.36300968193,40.3602697788714,40.3595087137972,40.3553828369042,40.30157679467,40.3112919200528,40.3888650409286,40.3879720725716,40.4068236318902,40.4608146471518,40.3110731456142,40.4350806712536,40.439926117067,40.3185474164154,40.3256314673645,40.3460484405824,40.3604776192488,40.3662549775867,40.3729900219666,40.3701699479715,40.3664390884725
360,40.3797416785964,40.3066408829145,40.3065142384239,40.3065501990923,0,3,3,3,40.362878451231,40.3972150517175,40.3594166302418,40.3365911823977,40.3329499313978,40.3288685922541,40.3249778093783,40.3001396702517,40.3112341792686,40.3349749758163,40.340518215067,40.3597047066796,40.4015665386144,40.3108319507443,40.3838969102508,40.3776839264001,40.3101559695744,40.3125208046144,40.3200575834701,40.3259442033839,40.3315680852912,40.3381860198619,40.3480492111679,40.3440082521412
390,40.3457762509289,40.3064880821312,40.3064490935119,40.3064032896274,0,3,3,3,40.339785140922,40.336757139133,40.3378634745146,40.3213460663902,40.31773389135,40.3153473218653,40.3149849389796,40.2964781294671,40.3107433221898,40.3121434012388,40.3156510954163,40.3290504168495,40.3528270434116,40.3105391185681,40.3448257491348,40.3442381498161,40.3126320214287,40.3212956975826,40.323655216905,40.3228913087373,40.324253352859,40.3268754753178,40.3246426206934,40.3228145638028
420,40.3235953526605,40.3063960776399,40.306477491036,40.3063846333209,0,3,3,3,40.3316667538609,40.3160960352884,40.3184696270068,40.3109947612968,40.3100341691594,40.3106182691075,40.3110752393938,40.2924087953261,40.3109809827475,40.3081578365647,40.3083706443841,40.3138331214237,40.3276943857382,40.3104558790634,40.3225666086669,40.3236067784177,40.308978669564,40.3157805214265,40.3229995556753,40.3253720418862,40.3247934394053,40.3266002955176,40.3134636533149,40.3123764045763
450,40.3154922916642,40.3065258395203,40.3065548892616,40.3064494116356,0,3,3,3,40.3203505206138,40.3113255611769,40.3107446694291,40.3070413058468,40.3073811206644,40.3094520140648,40.3086394212889,40.2910000535236,40.3109820791087,40.3081484332398,40.3086781094251,40.3094361873717,40.3144900619735,40.3104833324447,40.313384742533,40.3133977658506,40.3063074306471,40.3086886556042,40.3151803409555,40.3187546886497,40.3169612656115,40.317409562417,40.3082863329743,40.3071947507848
480,40.3108966370043,40.3065827184378,40.3065856135233,40.3064440284322,0,3,3,3,40.310956017438,40.3077938201982,40.30697883913,40.3053959456155,40.3060992427242,40.3063035057022,40.3050888189367,40.2897167004112,40.3108008580843,40.3051160350654,40.3058498373387,40.3067266455076,40.3073773322002,40.3107612082762,40.3083120034774,40.3081081815753,40.3038923594332,40.3038495383223,40.3045255229637,40.3065770736375,40.3067602275605,40.3070034170262,40.3059013156138,40.3050682768497
510,40.3086491495532,40.3066469861599,40.3066058181482,40.3064963893353,0,3,3,3,40.3060006064506,40.303620518866,40.3032042258222,40.3048392741937,40.3043036457972,40.3033778994634,40.3024565484525,40.2886440645804,40.3109940896124,40.3017220203415,40.3023481055752,40.3027871499186,40.3028425570892,40.3106669239817,40.3041576624189,40.3041027856733,40.3027269008868,40.3031022424241,40.3038457570217,40.3049501207269,40.3044777833177,40.3039103092803,40.305672484808,40.304945576966
540,40.3049848725205,40.3066492824322,40.3065887365012,40.3064792899561,0,3,3,3,40.303047780026,40.2999658176601,40.3000647133423,40.3006424683562,40.3001949154009,40.3002193359226,40.3004789334964,40.2879972072076,40.3108568156018,40.3008932831912,40.3007747872062,40.3004666624153,40.2999274137762,40.3106514937321,40.3009814207026,40.3012447665147,40.302034876601,40.3015461079903,40.3020112565372,40.3022933387717,40.3016499374331,40.3021111474776,40.3018331594664,40.3014610214902
570,40.3012910182951,40.3066682240495,40.3066176769979,40.3064995701075,0,3,3,3,40.2996321017663,40.2984054941145,40.2983974054133,40.2988134794003,40.29900107143,40.299154713069,40.3000132993644,40.2878838090711,40.3109678134688,40.300598360675,40.2999464502479,40.2986344072232,40.2978540484129,40.310654400111,40.2987556290891,40.2991817802673,40.3014497895267,40.3005359080028,40.3004303943405,40.2999777054725,40.2995135670318,40.3006344460012,40.3012725994908,40.2986991968774
600,40.2985522278025,40.3066594984337,40.3066088873848,40.3065068383694,0,3,3,3,40.2976750257033,40.2976540923049,40.297279839988,40.2991550324834,40.2990778286815,40.298979351197,40.2996930246765,40.2876554807577,40.3108385544829,40.3005086487048,40.2997254851265,40.2975869555971,40.2965791440389,40.3107318100287,40.2973318102049,40.2976811787921,40.3010895586533,40.3000325792481,40.2993605496045,40.2988952414371,40.2986326938703,40.2997060435763,40.300171606552,40.2985137492172
630,40.297491370614,40.3066879874049,40.3066319391691,40.3065307973104,0,3,3,3,40.2967065571602,40.2970973000895,40.2964427771321,40.2985312444242,40.2985808303515,40.2991197519497,40.2998625835543,40.2876601186195,40.3109368802534,40.3004129243942,40.299678258315,40.2969173789654,40.2958893659969,40.3106338553181,40.2965019073394,40.2969514402117,40.3009658224894,40.2998102302399,40.2990161232412,40.2986321196626,40.2984179858644,40.2991016531889,40.2986581028278,40.298747235466
