"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点1RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH","点2RH Monitor: Sum of RH","点3RH Monitor: Sum of RH","点4RH Monitor: Sum of RH","点5RH Monitor: Sum of RH","点6RH Monitor: Sum of RH","点7RH Monitor: Sum of RH","点8RH Monitor: Sum of RH","点9RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549691,50.475424554968,50.4754245549682,0,0,0,0,49.9690826629984,49.9690826629983,49.9690826629982,49.969082666521,50.0226872560013,50.1922818352633,49.9690826665147,49.9690826629964,49.9690826629956,49.9690826629962,50.1922761168418,49.9690826629969,49.9690826629976,49.9690826664523,49.9690826629989,49.9690826629988,49.9690826629986,49.9690826629985,49.9690826629985,49.9690826629989,49.9690826629985
60,49.8117957247864,40.3064614040655,40.3064385293373,40.3064511656555,0,3,2,3,49.0790470791292,49.948076549955,49.9687618201911,47.0029443734986,40.3233398101695,40.3108404552085,43.7541984135234,45.3086531315549,48.0292528307962,44.8885177719866,40.3024187468948,43.270331710566,44.7426925201673,43.0522701459808,47.592329915623,49.3574524567659,49.8772149935257,49.9498190513552,49.969052788994,44.763612515337,44.4961209429002
90,45.6647558664339,40.3060008720757,40.3064882249811,40.3059660511395,0,3,2,3,46.9576092146912,45.3926827661493,42.361203327108,41.1130555792312,40.4897277270091,40.3845711399242,41.8358149609562,42.2427646309335,43.8176113489042,44.6470482635379,40.3183966355905,44.7762019885177,46.6762038915487,40.509177000946,40.9222315570299,42.2608070046837,44.5168068207038,45.9750808281897,49.4290621955641,45.3620050239686,44.3985779148685
120,41.9810527948938,40.3064552261667,40.3064340265303,40.3064355156569,0,3,1,3,41.9537323926884,41.5523979117905,41.3154869967674,41.2954440301337,41.7865609349832,40.3118598783822,41.8362883489708,41.8219789372234,42.3517200155199,44.3457831517348,40.3172707486861,44.2310608779725,45.3637642103617,40.5951956291339,40.7636835951191,40.8534947415415,41.047281507124,41.355011859707,44.5680943477292,44.5765309039174,42.4414921469875
150,41.789121577245,40.3068534560794,40.3064384561076,40.306804737327,0,3,1,3,41.6018197000111,41.6034687440932,41.608414427867,41.4972704377567,40.7490302296062,40.3128558166276,41.1840209139565,41.5481689575317,41.9764463640275,43.1520085757964,40.3233268715504,42.7582364725423,42.9400766478109,40.8712354919039,40.9450573277672,40.9532483641153,40.9652913792448,40.9824088671987,41.1347517535993,42.8984726910747,41.6388263779966
180,41.3173269964179,40.3064052129555,40.3064860595141,40.3062264600512,0,2,2,2,41.4367593464683,41.3800047776999,41.438213864291,41.1645943613595,40.7257280401092,40.3108952549048,40.8437041074534,40.939400904968,41.5931698893153,42.1965615975041,40.3159140515889,41.9586821869075,41.986125993658,40.6615349298755,40.8815450789284,40.9369313779453,41.001745181374,41.0487508514777,41.0531613547401,41.317598865809,41.5122624910808
210,40.9220460546172,40.3067641186627,40.3065231017988,40.3066380362082,0,2,2,2,41.1962897112835,41.1642329906218,40.9420828353945,40.5235762108612,40.4689664448017,40.3102642471533,40.7106964876937,40.8034685711162,41.1839798709684,42.0336843246962,40.3175192085004,41.6373008557373,42.0678343093569,40.5160194858342,40.698330556126,40.9940417675834,41.1540290667205,41.1589508208372,41.1181829837293,40.8618747218565,41.3778324386428
240,41.0884259185471,40.3065590221971,40.3065811606266,40.3064920425602,0,2,2,2,40.6914734964532,40.5731379857326,40.4518180817285,40.4044855757139,40.4445296100696,40.3118404507789,40.5551792411363,40.5941133937769,40.7581818649079,41.2843102550587,40.3107763857112,41.4120504734016,41.6640612266567,40.486134339175,40.4944547624866,40.5350727395812,40.6454022743052,40.7061832475476,40.7799530015947,40.7397493387752,40.8310056074457
270,41.0881175255783,40.3064906387196,40.306610200133,40.3065543878565,0,0,3,1,40.7951375977588,40.7960939764744,40.7070914950282,40.5328220132699,40.4450153914153,40.3200029716622,40.436081280685,40.4583431275686,40.498685968062,40.671219187784,40.7541484971619,40.8352939732241,41.5762476559313,40.8846608640511,40.8954638226064,40.8574541204361,40.9258826440905,40.8765770632159,40.9913092970152,40.8590712803172,40.7826822295376
300,41.0546391631153,40.3065357717895,40.3065219933595,40.3066355052246,0,0,3,1,40.8411913679898,40.805822162762,40.6817099337796,40.4702516112748,40.3047865296904,40.3085730856437,40.4221563912296,40.4320483202655,40.469163457245,40.5219619444508,40.7995959056374,40.5501573876687,40.9025204410854,40.8714884006022,40.9474665927842,40.9925143748918,40.9489526585068,40.9230515094151,40.9862095244658,40.8033851114869,40.8298584455157
