"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点1RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH","点2RH Monitor: Sum of RH","点3RH Monitor: Sum of RH","点4RH Monitor: Sum of RH","点5RH Monitor: Sum of RH","点6RH Monitor: Sum of RH","点7RH Monitor: Sum of RH","点8RH Monitor: Sum of RH","点9RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549691,50.475424554968,50.4754245549682,0,0,0,0,49.9690826629984,49.9690826629983,49.9690826629982,49.969082666521,50.0226872560013,50.1922818352633,49.9690826665147,49.9690826629964,49.9690826629956,49.9690826629962,50.1922761168418,49.9690826629969,49.9690826629976,49.9690826664523,49.9690826629989,49.9690826629988,49.9690826629986,49.9690826629985,49.9690826629985,49.9690826629989,49.9690826629985
60,49.7294825192405,40.3064525514338,40.3064389238205,40.3064407196201,0,3,3,3,48.4259384005491,49.7752454568363,49.9609549496398,47.6469521267886,40.3233341041222,40.3023677528626,42.7824993633029,44.2743386454223,47.4025164658563,45.0246069488634,40.3024226875598,43.3656847968076,44.6105583867818,42.9527175198667,47.2253406137776,49.0990042183936,49.7927167408988,49.9218375899166,49.9689570936618,44.8990959280682,44.3685223046088
90,45.516967299943,40.3064051530799,40.3065368598929,40.3063694525614,0,3,1,3,47.9374033468233,46.1666016805016,42.6776138235713,41.0918190733204,40.5027802296169,40.3179905222706,43.1949807230329,43.2912446496739,45.1673673983983,44.8098646151797,40.3171976510354,44.9356594793589,46.5243846848751,40.5068935102459,40.8883923539759,42.0938451153185,44.2529073607428,45.7416482242046,49.3279550712089,46.0618367489256,44.4824210399337
120,42.0004039660187,40.3062228554203,40.3063616422902,40.3061903732748,0,3,1,3,42.150994322443,41.5873228928288,41.2695933957307,41.2385672853618,41.6513385307461,40.3177599444737,42.068166733904,41.9916585655519,43.8421457932154,44.5272749557621,40.3180905572483,44.2700740263534,45.0831481905298,40.6005678956581,40.7778282114725,40.853120978784,41.0263912961326,41.3392557918656,44.4732008714529,44.9155602619743,42.6129459019677
150,41.9374469491001,40.3067968162053,40.3064912201031,40.3067741125917,0,2,1,2,41.7335481686131,41.7204455890355,41.7433946541178,41.6698586815088,40.8734334560677,40.3211651729582,41.3051867930233,41.4531004091135,41.9198902090864,43.3832077543603,40.3171771091563,42.9053201592823,43.1137288491486,40.9498548101104,41.0414050707985,41.0837728448918,41.1426214488125,41.1472110364534,41.4356009789574,43.2754929143972,41.8079723493444
180,41.3533104710128,40.3066371999952,40.3064191727987,40.3064984731667,0,3,1,3,41.3609382995694,41.2873554432339,41.2674466884372,40.9602672578758,40.6475426571781,40.3114741677518,41.2875201957322,41.4892381136085,41.9655659239799,41.8360367417576,40.3314061638124,41.4041922656927,42.0009897163925,40.6690907979372,40.8118689300291,40.8160740296644,40.8386679760307,40.8937026013072,40.9142449309002,41.5635016669162,41.5362341253131
210,41.1214449479254,40.3062841761258,40.3064244055361,40.3061370934373,0,2,0,2,41.1484204244524,41.1340753807211,41.0776379444224,40.7361436208727,40.5293852164038,40.9201125875394,41.7793011378992,41.420819053768,42.0002785622478,41.5652956236033,40.3070730732433,41.438575263526,41.7995759140364,40.5054871694016,40.7226791376829,40.8336535809496,40.8423164703933,40.8712871783149,40.8625237619175,40.7829017270697,41.3239690488933
240,41.2027061882387,40.306650432798,40.3064460367701,40.3065613987685,0,2,0,2,41.1624248372549,40.9871257266952,40.5300227166796,40.4176146684799,40.4158545272088,40.9086017387089,41.3312336754507,41.3928251301005,41.4740727782183,41.276842472174,40.3127315296513,41.1528583917203,41.183214825414,40.4153967679335,40.5035924434482,40.6498709513692,40.6898406085782,40.7019844501012,40.7247857656878,40.7578937452516,41.1002025829842
270,41.1773196964762,40.306400099294,40.3064419335581,40.3064299630669,0,0,0,1,41.0371213461247,40.7076527342249,40.4809652743827,40.4697065730532,40.4512969562275,40.9596967834637,41.2921392106477,41.2554069571419,41.211756722917,41.2669582922277,40.7454308451872,41.1607134071471,41.1519415724609,40.8313109412394,40.7834328138234,40.9043472473784,40.986998026228,40.9180240909608,41.0528458330465,40.8422328738106,41.0958319485295
300,40.9913055191029,40.3064800544761,40.3064323005488,40.3064532555386,0,1,0,1,40.8213073603955,40.7320221077932,40.555434479782,40.5154980901283,40.313043861506,40.736004001104,41.1528286941726,41.1451171674435,41.0898952313176,41.2404448162074,40.3098163522297,41.0717623843721,41.1075437880749,40.5476774421446,40.675548344316,40.7485806492607,40.9177585930937,40.9187947073443,41.0520162170204,40.8523875005206,40.9129753895651
