,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,sum,mean
baseline,9.992892054866234,5.831131257414799,6.512655993918475,4.6169259469845185,4.831929595937392,3.2941335570632284,3.4180503827034663,2.614983956336267,2.785330669967981,2.332471186956837,2.2849853163403173,1.9712483465239625,1.905571065480118,1.4588355909312345,1.4065494330195614,1.2781967429292846,1.1572566569580385,1.0589802706275435,0.9971440767863748,0.9983181346443424,0.9789285606018131,61.7265187969918,2.9393580379519904
power1,9.992892054866234,7.463471551662066,5.842187361294415,4.361350324666389,3.312323711170662,2.967719197654653,2.726371411606196,2.2506800081301437,1.8204271014286852,1.485220216351809,1.2805608033749951,1.1236087688028662,1.0175329820862227,0.9165834752849046,0.8203041689304102,0.7363253364041666,0.6477713470096812,0.5765980318648913,0.5300004068252617,0.4985772798926853,0.4722543483654577,50.84275988767279,2.421083804174895
power2,9.992892054866234,6.480269679176838,4.377553671747239,2.7756904041008146,2.030000946808224,1.5829404348369518,1.3311496943273713,1.003184281702119,0.7240032675143566,0.6070516165766034,0.5376260957617569,0.47025384919138535,0.4201949005791842,0.3844452334101239,0.3577147910225388,0.33895754824157975,0.3292497508355432,0.3224259712105039,0.3171975442320668,0.3129659517650665,0.31037028167263325,35.006137969579136,1.6669589509323397
power3,9.992892054866234,5.831131257414799,3.3966153360887574,1.9611751257574368,1.4207431483945718,1.0070595341879371,0.7539813574068561,0.5774648050650183,0.4539516659499099,0.4033659287425045,0.3670549539195711,0.3368775580012228,0.3221413762858953,0.31481724060266153,0.31006179309427245,0.30567781172961145,0.3036606620252158,0.3014414452043478,0.30018918421779467,0.29961649175860877,0.299286943460642,29.25920567417387,1.3932955082939937
our approach,8.568737388741324,4.799449126124419,2.936566290268872,1.993851916991349,1.332858806323439,0.9900513194741529,0.7623286078308666,0.733371925335843,0.6370812958498966,0.6192328967489379,0.6168253569821138,0.5230556928515142,0.4881304690420147,0.43284641829354276,0.4037456977513008,0.38560278305526535,0.3733313345480489,0.3603203926602192,0.3488407095151377,0.3399508546558428,0.3353819472767282,27.981561230320832,1.3324552966819443
baseline,0.0025,0.04,0.0025,0.04,0.0025,0.04,0.0025,0.04,0.0025,0.0275,0.015,0.0275,0.0025,0.04,0.0025,0.014999999999999998,0.015,0.014999999999999998,0.015,0.0025,0.0025,0.3525000000000001,0.01678571428571429
power1,0.0025,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.3025,0.014404761904761905
power2,0.0025,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.5525000000000001,0.026309523809523814
power3,0.0025,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.8025000000000002,0.03821428571428572
our approach,0.0025,0.03166666666666667,0.035833333333333335,0.03166666666666667,0.03166666666666667,0.03166666666666667,0.03166666666666667,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.010833333333333334,0.014999999999999998,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.010833333333333334,0.3650000000000001,0.017380952380952386
