Physical Time: Physical Time (s),InletDoor Monitor: Surface Average of RH,InletRHa Monitor: Surface Average of RH,InletRHb Monitor: Surface Average of RH,InletRHc Monitor: Surface Average of RH,InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s),InletVela Monitor: Surface Average of Velocity: Magnitude (m/s),InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s),InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s),a Monitor: Sum of RH,b Monitor: Sum of RH,c Monitor: Sum of RH,ç‚?1RH Monitor: Sum of RH,ç‚?2RH Monitor: Sum of RH,ç‚?3RH Monitor: Sum of RH,ç‚?4RH Monitor: Sum of RH,ç‚?5RH Monitor: Sum of RH,ç‚?6RH Monitor: Sum of RH,ç‚?7RH Monitor: Sum of RH,ç‚?8RH Monitor: Sum of RH,ç‚?9RH Monitor: Sum of RH,ç‚?0RH Monitor: Sum of RH,ç‚?1RH Monitor: Sum of RH,ç‚?2RH Monitor: Sum of RH,ç‚?3RH Monitor: Sum of RH,ç‚?4RH Monitor: Sum of RH,ç‚?5RH Monitor: Sum of RH,ç‚?6RH Monitor: Sum of RH,ç‚?7RH Monitor: Sum of RH,ç‚?8RH Monitor: Sum of RH,ç‚?9RH Monitor: Sum of RH,ç‚?0RH Monitor: Sum of RH,ç‚?1RH Monitor: Sum of RH
30,50.47542455,50.47542455,50.47542455,50.47542455,0,0,0,0,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455
60,50.47414298,40.30644249,40.30643796,40.30643856,0,1,1,1,41.45303901,41.44415856,41.46347336,40.32389505,46.50804957,50.22981983,50.46839118,50.47536851,50.47541653,50.47541694,48.43175956,48.46800509,50.42014858,50.47530244,50.47540383,49.45367069,40.38177705,40.32391587,45.72001796,47.9494924,50.02841011,48.64172578,46.79049104,48.08024063
90,50.26995561,40.3064488,40.3064477,40.30644591,0,1,1,1,44.53185569,48.21451535,48.33174405,40.37520688,41.13606628,44.45397865,48.84566567,50.32928743,50.45560381,50.4754529,48.32475126,45.80214377,50.44958765,50.27807788,47.45227747,41.93249793,44.51580561,40.41047605,41.87635,43.25052075,46.82230591,46.40600611,45.93296401,49.1644032
120,47.91764407,40.30643278,40.30643942,40.30643873,0,1,1,1,43.79853846,48.54872773,49.23767932,40.33416825,40.91557928,41.17951846,42.66096485,46.04832391,48.01804487,50.3991674,47.6334124,47.69634837,47.27033692,45.48109456,43.09834788,42.82169767,43.81326402,40.34944555,42.0544984,42.10816538,42.72337805,46.47795876,46.59242582,48.4038437
150,44.50992841,40.30645628,40.30645094,40.30646215,0,1,1,1,45.30059706,47.08426156,48.51668286,40.33673444,41.30780491,41.45488495,41.54958558,42.07214571,43.05218453,48.68979469,46.95889418,44.30838628,43.50089817,42.98978566,42.78931011,42.76614186,42.34273276,40.34430578,42.15495985,42.2536513,42.50591488,46.7694286,46.97502776,47.7386917
180,43.59432017,40.30646041,40.30644956,40.30645039,0,1,1,1,45.30021038,44.43695405,43.72835407,40.34363046,41.62114065,41.81673593,41.81297891,41.82330069,41.9189625,43.12537042,44.5058787,43.32049199,43.39533389,43.70975101,43.882053,43.00608335,41.25659406,40.33592321,42.20998068,43.30602604,43.90373715,45.86828953,46.78360874,46.97907387
210,43.6328891,40.30644795,40.3064483,40.30643802,0,1,1,1,43.97931755,43.17338809,43.38479118,40.32796881,41.10839862,41.61241932,41.81687498,41.83286885,41.85954536,41.96305201,42.36952832,43.88556972,44.05023672,44.14316755,43.79079275,42.40916416,41.09342685,40.3195171,41.88158909,42.87140548,44.1967864,44.41318436,46.67204237,47.09965157
240,43.8312901,40.30646882,40.30646001,40.30644742,0,1,1,1,43.67666036,42.75110342,43.16913069,40.32914397,40.94924837,41.11961966,41.39839054,41.5297657,41.67156007,41.76508745,42.39544187,43.86180096,43.72043575,43.30189769,41.91991529,41.08515872,40.97481115,40.3211847,41.23497395,41.48195469,43.15409185,44.27769286,46.37922829,46.5387858
270,43.70939545,40.30646163,40.30645491,40.30644911,0,1,1,1,43.02038295,42.46243294,42.6453384,40.32361626,41.1685242,41.28221172,41.36522312,41.50459168,41.67701636,41.73920971,42.15106861,43.1951898,42.48506002,41.49065887,40.92827893,40.83223347,40.80158209,40.31861334,40.96634972,41.03243066,42.18181999,43.69918894,44.91594429,46.00960037
300,43.21391138,40.30645866,40.30645346,40.30645005,0,1,1,1,42.4583942,42.24861379,42.22078296,40.32054499,40.9121478,41.19673391,41.4999501,41.73337795,41.81192642,41.61914672,41.80972279,41.8209576,41.32194661,41.06709576,40.88138158,40.8075589,40.67043094,40.31562312,41.11619408,41.08017491,41.71382181,42.80812021,42.9986193,45.29894244
330,42.53540275,40.30646671,40.30645658,40.30645339,0,1,1,1,41.96639164,41.96823578,41.96990371,40.31843986,40.67814766,40.89988843,41.23604841,41.60912248,41.61605228,41.33454891,41.44047337,41.25738887,41.0738187,40.96272905,40.82790578,40.80432214,40.57411116,40.31475842,41.53225231,41.45096697,41.73639398,42.33323634,42.18775883,43.83682664
360,41.97265772,40.30646804,40.30645174,40.30645396,0,1,1,1,41.55778911,41.79045125,41.63550948,40.31450179,40.53135202,40.67515636,40.91594791,41.17220725,41.26247827,41.08832577,41.26837506,41.24001709,41.13242064,40.97417659,40.89898984,40.89586434,40.51631346,40.31395895,41.37326819,41.44545164,41.76437308,42.29709941,41.93754505,42.34204344
390,41.57964427,40.30646468,40.30644871,40.3064549,0,1,1,1,41.29885931,41.66268031,41.46640645,40.31346028,40.51845893,40.64255039,40.77487818,40.92302802,41.0577472,41.06261191,41.15500738,41.3018348,41.17135847,40.97348132,40.82687162,40.79310708,40.49434832,40.31441742,41.07891887,41.24556948,41.57941238,42.14789717,41.92448557,41.67663891
420,41.29912794,40.30645005,40.306444,40.30643895,0,1,1,1,41.10127589,41.34218255,41.28231927,40.31172279,40.50787891,40.68485949,40.86758092,40.89058358,40.95309133,41.00818401,41.0361256,41.20739166,41.04063633,40.84527351,40.66551492,40.61964872,40.5032457,40.31208023,40.80737762,40.94748901,41.37912418,41.92138692,41.82490692,41.4442974
450,41.14078766,40.30644283,40.30643832,40.30643077,0,1,1,1,40.99013254,41.06166319,41.08983684,40.31094849,40.47827181,40.63900901,40.87485591,40.87820376,40.89206813,40.94559928,40.88467087,40.99399047,40.84423803,40.67437696,40.55233895,40.5317781,40.49419565,40.31076791,40.72652958,40.80331836,41.15480698,41.69491241,41.64202589,41.29410107
480,55.60154506,40.30645858,40.30643883,40.30642071,1,1,1,1,45.76521564,43.8369694,49.56930892,40.35064679,42.0923386,45.03484299,54.42810716,54.20865763,52.64983823,50.96946366,44.63620479,43.63106179,44.04964319,44.8222565,46.11297847,46.31862806,42.71940377,40.33243442,42.2948683,43.00183609,43.89704121,44.65312878,44.77540124,44.98975502
510,47.5568281,40.30638019,40.30643831,40.30636961,0,1,1,1,44.72237232,42.66341533,49.25701822,40.33012952,41.74261031,42.21995755,44.47971048,48.44279311,49.99207296,50.45989817,43.29811893,44.36060771,44.59703256,45.05455341,45.47051719,45.76947905,41.56493953,40.31662737,40.83523494,41.93831375,45.26255957,46.30751748,46.78313296,47.79863058
540,44.54276766,40.30644589,40.30641798,40.30635919,0,1,1,1,44.59656412,43.53727691,46.68057807,40.33139105,41.18175253,41.7662254,42.46775291,44.95508806,45.83098752,47.12766373,43.42251449,44.7578636,45.22711285,45.71822423,46.2731001,46.1004879,41.4472002,40.33169697,41.06887212,41.29888342,43.06277751,46.66040033,47.14707743,47.48615004
570,43.54453494,40.30643136,40.30644091,40.30639552,0,1,1,1,44.54618126,43.72705129,44.67696517,40.33448049,41.27687973,41.66878995,42.04025437,43.84453373,44.18231295,45.1118055,44.34846241,44.86505337,45.11644563,45.31759587,45.57098743,44.60850475,41.25164972,40.32750186,41.31645503,41.55327214,41.96652461,46.41220893,46.44094791,45.92538098
