"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点01RH Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点07RH Monitor: Sum of RH","点08RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH"
30,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.4741429763337,40.3064424930146,40.3064379649804,40.3064385567051,0,1,1,1,41.4530390107393,41.4441585638974,41.4634733560919,40.3238950452511,46.5080495709924,50.2298198261066,50.4683911772491,50.4753685116382,50.4754165319859,50.475416940189,48.431759559341,48.4680050895393,50.4201485794443,50.4753024383622,50.4754038254658,49.4536706925696,40.3817770522843,40.3239158708613,45.7200179642646,47.9494923974372,50.0284101127166,48.6417257769693,46.7904910354,48.0802406275666
90,50.2699556074336,40.3064487959309,40.3064477024032,40.3064459136634,0,1,1,1,44.5318556902403,48.2145153458377,48.3317440470314,40.3752068796741,41.1360662826024,44.4539786474904,48.8456656671505,50.329287434302,50.4556038140607,50.4754529039317,48.3247512553013,45.8021437699417,50.4495876483402,50.2780778833179,47.4522774741143,41.9324979310793,44.5158056116106,40.4104760524094,41.8763500012225,43.2505207480929,46.8223059094411,46.4060061116675,45.9329640075163,49.1644032015239
120,47.9176440713677,40.3064327762037,40.3064394217014,40.3064387275586,0,1,1,1,43.7985384633551,48.548727733176,49.2376793193866,40.3341682456825,40.915579283805,41.1795184620685,42.660964847557,46.0483239071149,48.0180448661752,50.3991674022171,47.6334124007863,47.6963483705226,47.2703369171554,45.4810945614377,43.0983478815679,42.8216976655902,43.8132640242155,40.3494455472929,42.0544984011821,42.1081653840288,42.7233780478466,46.4779587579123,46.5924258161391,48.4038437033482
150,44.5099284114645,40.3064562761689,40.3064509350055,40.3064621483631,0,1,1,1,45.3005970611603,47.0842615554647,48.5166828617295,40.3367344378763,41.3078049073184,41.4548849506116,41.5495855812893,42.0721457138723,43.0521845281096,48.6897946874136,46.958894184737,44.3083862793915,43.500898167559,42.9897856570062,42.7893101117154,42.7661418567898,42.3427327606016,40.3443057847566,42.1549598460062,42.2536512985925,42.5059148805864,46.7694286008643,46.9750277595314,47.7386916970355
180,43.5943201652663,40.3064604116453,40.306449558748,40.3064503943361,0,1,1,1,45.3002103774182,44.4369540486147,43.7283540660813,40.3436304589103,41.6211406536105,41.8167359309057,41.8129789133206,41.8233006887331,41.918962503801,43.1253704249975,44.5058786956018,43.3204919887281,43.3953338914778,43.7097510127442,43.8820529950739,43.0060833500868,41.2565940643674,40.3359232140378,42.2099806786323,43.3060260386946,43.9037371472381,45.8682895341512,46.7836087421357,46.9790738725066
210,43.6328891013402,40.3064479542668,40.3064482994879,40.3064380180017,0,1,1,1,43.9793175478871,43.1733880922774,43.3847911823988,40.3279688145247,41.1083986237162,41.6124193225939,41.8168749815433,41.8328688521016,41.8595453575294,41.9630520086972,42.3695283215811,43.8855697209248,44.0502367190941,44.14316754977,43.7907927451885,42.4091641574112,41.0934268452609,40.3195170975965,41.8815890912733,42.8714054799025,44.1967864032788,44.4131843619692,46.6720423740342,47.0996515711164
240,43.8312901048293,40.3064688222834,40.3064600053036,40.3064474220091,0,1,1,1,43.6766603611071,42.7511034183717,43.169130692965,40.3291439671005,40.9492483713446,41.1196196575478,41.3983905404385,41.5297657016251,41.6715600739721,41.7650874477195,42.3954418655595,43.8618009596353,43.7204357495149,43.3018976915904,41.9199152924013,41.0851587223864,40.9748111494388,40.3211847049856,41.2349739530683,41.481954685669,43.1540918536473,44.2776928559885,46.3792282913977,46.5387857983291
270,43.7093954451297,40.3064616328077,40.3064549124461,40.3064491138109,0,1,1,1,43.0203829486275,42.4624329369448,42.645338395138,40.3236162585167,41.1685242002345,41.2822117229794,41.3652231220928,41.5045916786772,41.6770163550568,41.7392097050646,42.1510686091607,43.1951897968766,42.4850600241768,41.4906588732605,40.9282789257736,40.8322334679965,40.80158208736,40.3186133396449,40.9663497185946,41.0324306605447,42.1818199928279,43.6991889448744,44.9159442880741,46.0096003658941
300,43.2139113835821,40.3064586588626,40.3064534559197,40.3064500470987,0,1,1,1,42.4583941981692,42.2486137900977,42.2207829642244,40.3205449871843,40.9121478010494,41.1967339103611,41.4999501024183,41.7333779494866,41.8119264218471,41.6191467174882,41.809722793023,41.8209575963402,41.3219466137599,41.0670957552365,40.8813815777961,40.807558900697,40.670430942749,40.3156231152314,41.1161940778901,41.0801749069589,41.7138218112843,42.8081202122201,42.9986192959419,45.298942439859
330,42.5354027512156,40.3064667070553,40.30645657517,40.3064533895287,0,1,1,1,41.9663916380107,41.9682357839675,41.9699037115928,40.3184398633978,40.6781476588658,40.8998884258517,41.2360484118089,41.6091224828574,41.6160522831201,41.3345489083325,41.4404733732466,41.2573888677778,41.073818699894,40.9627290484677,40.8279057754485,40.804322143232,40.5741111644671,40.3147584227004,41.5322523132709,41.4509669742194,41.7363939766638,42.333236343286,42.1877588336732,43.8368266404997
360,41.9726577170895,40.3064680353253,40.3064517374132,40.3064539610553,0,1,1,1,41.5577891106133,41.7904512544904,41.6355094786217,40.314501788104,40.5313520210496,40.6751563596811,40.9159479083743,41.1722072544343,41.2624782709877,41.0883257686267,41.2683750626825,41.2400170883276,41.1324206442485,40.9741765926649,40.898989841295,40.8958643381399,40.5163134596277,40.3139589496301,41.3732681907335,41.4454516385471,41.7643730787121,42.2970994117072,41.9375450466826,42.3420434403994
390,41.5796442664044,40.3064646796955,40.3064487114249,40.306454901681,0,1,1,1,41.2988593051663,41.6626803117596,41.4664064522196,40.3134602776028,40.5184589282573,40.6425503916277,40.7748781790809,40.923028015892,41.0577471972253,41.0626119122216,41.1550073792531,41.3018347988502,41.1713584654898,40.9734813246246,40.8268716214708,40.7931070845952,40.4943483160394,40.3144174222262,41.0789188729125,41.2455694844849,41.5794123823038,42.147897167327,41.9244855749065,41.6766389135599
420,41.299127936345,40.3064500467287,40.3064439964941,40.3064389463836,0,1,1,1,41.1012758901081,41.3421825543623,41.2823192656418,40.3117227908929,40.5078789100008,40.6848594854247,40.8675809153999,40.890583583158,40.9530913270603,41.0081840141391,41.0361256005863,41.207391664153,41.0406363254631,40.8452735070627,40.6655149194261,40.619648719192,40.5032457022717,40.3120802326383,40.8073776192646,40.9474890143335,41.3791241818932,41.921386922681,41.8249069160385,41.4442974023536
450,41.2167786345596,40.3064268700749,40.3064255637307,40.3064175930269,0,0,0,0,41.1763730949281,41.4811144091269,41.2063972824637,41.1100060882971,40.9589337156554,41.1199649511485,41.3611312503037,41.2497772981843,41.1973772777718,41.2087689015104,41.4062876984147,41.6523416000447,41.5114087712681,41.3747522074345,41.2050730240539,41.0469206814867,41.1680981174953,41.2441110184724,41.214229901724,41.3035479222322,41.4784017923194,41.7727768040442,41.7495984217666,41.4976939803125
480,55.6015109958041,40.3064734485062,40.3064385586798,40.3064465022951,1,1,1,1,40.7718667987461,44.4673726971688,45.0699217883958,40.3074338340853,51.7322997616504,53.8342441914259,54.9682705504496,53.9696992997942,51.9474531108718,50.2629659860445,41.6111669190841,43.7845191310337,42.0304942713783,42.2979183562989,43.30485269548,47.6873985947146,40.3095447780664,40.3070228221264,46.2926449089796,45.7572733175086,44.7857679843688,44.4011124794813,43.992500778817,40.9966150257454
510,50.444110210726,40.3064493110925,40.3065030013962,40.3064686759635,0,1,1,1,43.1264532246602,44.7410764077346,47.5434553204817,40.3419378679444,44.0098798801204,47.7456662787667,51.4608069132902,51.4462090580204,51.3082709363049,51.1295720537476,45.3063151988782,43.9207108209839,43.2703511631419,43.6796852415968,43.8056186382325,44.1802814341489,42.4673324801081,40.3384812871851,42.7608993399753,43.5886369432693,44.8799944190758,44.7884835506605,44.9612603312957,44.4063869762567
540,47.8773937482564,40.3064393537511,40.306443477522,40.3064184464649,0,1,1,1,43.1993235930597,44.1724307057966,49.1410251593016,40.3236870093753,40.987020103304,43.0032542065858,49.1353541559737,50.4423485519413,50.6720560374926,50.8766223970801,44.3384691378793,43.2049248163075,43.8528129483705,43.7641717138398,43.0572845173845,42.0495611095225,43.2041698587048,40.3344549142668,41.7914678875671,42.2595637999627,44.6015011752785,45.7318906624147,45.5003249557044,45.8005584589253
570,44.162222636131,40.3064574876067,40.306450811872,40.3064369217153,0,1,1,1,42.7257315029537,43.7181542516261,49.0712668576956,40.3224762985952,41.2721557691175,41.46669962309,45.2099417706163,48.795492403128,48.8561043921873,49.3230156869194,43.6985452557274,43.5792247267044,43.4183727788858,43.0304360298136,42.7006825636958,42.6486957604483,42.3661557636582,40.3212597192508,41.3924097267167,41.6129820223384,43.5477368942335,45.9324324444724,46.205808931121,46.5808371519054
600,42.4709173891868,40.3064661216133,40.3064435811193,40.3064567987315,0,1,1,1,43.0721217859659,43.8349017904091,46.4541020066569,40.3170666734442,41.0647700047532,41.2902757146652,42.4366849343963,45.4683365431168,45.8175288157605,46.7298741417162,43.5666334929351,43.0672019653801,42.9122154255578,42.8251903386072,42.8405598309803,42.8510666046217,41.1781485918679,40.3218395487226,41.509004890894,41.6642367513049,42.3083509734739,45.9213512789375,46.5978207080724,46.812175565789
630,42.1229440915,40.3064441464606,40.3064489059814,40.3064365259421,0,1,1,1,43.3243685936076,43.6836894709101,44.1465620431291,40.3306969710695,41.0035906854567,41.3535623432957,41.4638128799148,42.6083267414413,43.4885329053918,44.0390074869102,43.1545182071127,42.9916788246247,42.9952843901225,43.007827008444,43.1018341245595,42.3651040119637,41.0646270347431,40.3206177047159,41.3238750638811,41.5999114452431,42.3192233133647,45.7686514737525,46.177733208325,45.8194006184064
660,42.0467630562354,40.3064591958348,40.3064579699212,40.3064447950322,0,1,1,1,43.2808229643958,42.7043719809161,42.9883871250485,40.3212156535311,40.8395242973864,41.0728274620688,41.3287725241055,41.5562358717596,42.1540140028471,42.6040907595061,42.1212718270158,43.3718490501383,43.4112327955049,43.4250891327732,43.0613417216286,41.8272570970986,40.8852246344697,40.3175789012814,41.1613256589425,41.4265462437595,42.5557962402856,44.5665764821426,45.0068440414027,44.4342471201549
690,42.2163618199683,40.3064642261928,40.3064552391927,40.306442888408,0,1,1,1,42.8630602239694,42.3756131249374,42.2601668110648,40.3172184210305,40.8287487523678,40.8832200150511,41.0989118947175,41.1942880137441,41.6026341251317,41.9581109372313,41.8368897877892,43.2826240408371,43.273115651034,43.14470992778,42.1807537323126,41.2662903501741,40.670745665693,40.3162616309214,40.8642420307739,41.0560360410245,42.429251888381,43.1783710155959,43.9020865704952,43.2813977713163
720,42.4176909630489,40.3064583384849,40.3064497905851,40.3064399468629,0,1,1,1,42.4542032271705,41.9947946316807,41.899613590017,40.3170067726284,40.7756228218206,40.8181496751248,40.9840642987376,41.0426607602826,41.2272682467453,41.526448786333,41.6709077952529,42.8808057250309,42.7234178135148,42.2627389535514,41.2847970828942,41.0668616691542,40.6117991204356,40.3142086042307,40.6944826416349,40.797796290097,41.8277314678826,42.5474976084767,43.1541237479202,42.4760041170758
750,42.4252260051705,40.3064541174153,40.3064532384566,40.3064372923399,0,1,1,1,41.9821094068087,41.6263371319625,41.7274705642921,40.3149860424404,40.7049804429245,40.8029209834587,40.9202508488448,40.9803296721425,41.0900185822789,41.2296030280474,41.375599571739,42.1398472857657,41.7362570675595,41.3111292817949,41.0535651236411,40.9994363201388,40.5836339712232,40.3129876029616,40.6642442355322,40.7652608517018,41.4146622914632,42.1464421569218,42.6029693275576,42.0291799546858
780,42.2397289544592,40.3064662885253,40.3064612725046,40.3064452238213,0,1,1,1,41.6696392615693,41.4267219540939,41.569956444057,40.3144925937364,40.6708740445704,40.7716952240575,40.8558436450458,40.94113644218,41.0301102882773,41.1201835824362,41.2544828848813,41.416425081809,41.18885282708,41.0535228519904,40.9667217702425,40.9074121650579,40.5675273314148,40.3118326858048,40.7035364637532,40.7685633802982,41.2889195102498,41.8084430179411,42.157983186395,41.7980611954332
