"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点01RH Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点07RH Monitor: Sum of RH","点08RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH"
30,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.3826554685973,40.3064702289267,40.3064381347516,40.3064616149214,0,3,1,3,40.6886712921964,42.0473408908959,40.6921842232231,40.3025467501286,43.3112209873331,48.412428839869,50.0888117391523,50.4381110652277,50.469991279883,50.4754299453976,44.8710364158307,44.9064793090936,50.2235949836008,50.4753930667748,50.457770140005,46.5981351385824,40.324231644541,40.3238211734076,45.3153214193754,46.7470946505797,49.0882719455128,45.0232038988413,43.3691678758312,45.1372621927344
90,46.1108786432519,40.3056543493364,40.3064805624456,40.3056349334156,0,3,2,3,42.2958094070639,45.1556892650259,47.8839462624405,40.3088616891509,40.5248219912253,40.9959020936811,42.5015333735057,44.9014376110929,46.3930075028914,49.8406089440243,46.1036940835686,44.5809103548794,48.9922079803801,46.8307639724609,42.5429481924781,41.1588653067336,40.4871430250966,40.379661405729,41.993549124967,42.7568087174992,45.3427473904312,44.7308364150547,44.7796959186937,45.913778657088
120,42.3140371184429,40.3065891542844,40.3065023096154,40.3065975917243,0,3,3,3,43.8018453062404,44.3947281578796,45.4145823058448,40.3370103320772,40.6604714536905,40.7800194369198,40.8841140542129,41.1400214610251,41.5130050198135,44.3173515032134,44.9227973890695,42.7528559131253,42.2891461058558,41.7455137930752,41.4249841537537,41.408452671888,42.0964322827136,40.3222483140014,41.2018021889016,41.4286324529867,41.6698021883672,44.7626988268785,44.446495261705,44.9530937916841
150,42.1723175487681,40.3068181163609,40.3064065827354,40.3065602549017,0,3,1,1,43.6270637477227,43.8719808397171,42.164175986172,40.336427028168,40.9137550190439,40.9344445217848,40.9537319763275,40.9932710282067,41.0536031258745,41.2523237847751,43.7828969898025,42.0957780060944,42.1872869731147,42.3092104989732,42.4301496216977,42.3458306942572,40.6415389727369,40.3310971320409,41.533464362306,41.6267207365528,41.9622598165341,43.0830821923657,42.8522672082662,43.1236374489924
180,41.763418104973,40.3064731026865,40.3064587947836,40.3063557070222,0,3,1,1,42.9082089983772,42.7594240959852,41.3313575773865,40.3301093212829,40.8734101050084,41.0678333488897,41.0714154615153,41.0807163915628,41.1252675143312,41.1444528426858,43.0132230636281,42.0766092946204,41.9777059975965,41.9155354719459,42.0278585948552,41.8192707894151,40.4637922399878,40.3181649468508,41.5912359478089,42.1265231133361,42.2662972663136,41.7805852392413,41.3609840562569,41.913125660674
210,41.8118844520515,40.3066706863133,40.3064289396134,40.3063309740442,0,3,1,1,42.0593334240634,42.1051607847079,41.0429487276346,40.3196727789066,40.6864494924231,40.8904444131097,40.9561436020945,40.9718096758119,41.0180984473282,41.0539707152236,42.2500641803854,41.6485988182342,41.6101124275764,41.6206219296053,41.6272615331312,41.4633153095666,40.4443063157558,40.317189581906,40.9450370691702,41.4352552337956,41.709823574036,41.1570659162415,41.0433562187356,41.5433979344718
240,41.5797501003525,40.3067600086225,40.3064421800535,40.3063681553526,0,3,0,2,41.6880834455425,41.5503991286789,41.0157084747273,40.3204447813321,40.5181015481779,40.5686578017871,40.6553609489706,40.7092387607129,40.7972485071254,40.8566653117814,41.7216918580824,41.3447002387653,41.3031703528845,41.2873973764503,41.0174533086942,40.5695919407526,40.428908859968,40.7430813075616,42.202539112908,41.5133769604681,41.3167627862961,40.8646245935394,40.8277235512508,41.2886172235906
270,41.3299931547791,40.3065460204423,40.3064420235214,40.3062765365925,0,2,1,1,41.231359725669,41.1215750023535,40.9481849491255,40.3145793404569,40.5361690632717,40.5851431230662,40.6779181679564,40.7331666582667,40.7921753023651,40.8150359747818,41.3639314774547,41.0915453839977,40.995814071968,40.9251944282333,40.6407034271675,40.5263818302221,40.4762431023854,40.3065227579223,41.0399148311404,41.5617453415118,41.4204915320876,40.9732503440446,40.9817229685566,41.0849872301368
300,41.0940805376198,40.3066600374726,40.3064922064759,40.3065491805189,0,0,2,0,41.067916470883,40.9560345036033,40.9156765287304,40.6957238049982,41.0026704491507,40.9719940604137,41.0310542401681,41.0401987507847,41.0154647281672,40.9696785998289,41.1070889032798,41.0608840617071,40.9839102312193,40.971544597975,40.9949896720978,40.8923490646781,40.6593469614521,40.3113946660229,40.383972454922,40.5367113367569,40.9491715238425,41.005540744429,40.9992314147753,40.9834260634555
330,41.045353585021,40.3066683632843,40.306625585202,40.3066870351738,0,0,3,0,41.0545494983192,40.9564889110622,40.8612015048445,40.8952840892018,41.0665434356894,41.0719639242277,41.0575731335991,41.0423656758569,40.9860387110011,40.9885876112908,41.0640118564022,40.9689068135573,41.0086934369806,41.0136300078089,41.0174402703969,40.8969010064707,40.8886847092422,40.3175505174244,40.4463395008658,40.4902642212108,40.513956127137,40.7528752022875,40.8534771288176,40.9132560126403
360,40.9429953902524,40.3062773181505,40.3064772994804,40.306306006768,0,0,3,0,41.017262420575,40.9486870106323,40.8130791910544,40.8458752004541,40.9931819213923,40.9905537501108,40.9422106052376,40.8982985952666,40.8525094423692,40.8623217129342,41.0557240410371,40.9169619882181,40.9195550779546,40.9013407709339,40.8597516613639,40.7775197418898,40.7652033423478,40.3111285860173,40.5812607450728,40.662402557783,40.6566169668512,40.6549149911518,40.7147994931021,40.8231340896742
390,40.823963486071,40.3064158834238,40.3065219157561,40.3063814277241,0,0,3,0,40.9208576132619,40.8964660466414,40.7031955336629,40.9074753760456,40.8756351595772,40.8461766502071,40.8238102617852,40.7775397166828,40.7456954203434,40.7540875067658,40.9623641192346,40.8522403311121,40.8415065738606,40.8328449165167,40.8200500655656,40.8074313448824,40.6709420490266,40.3162588155877,40.5218954350958,40.6537546656673,40.7089231187909,40.7117742123756,40.6779445569607,40.6851360889165
420,40.7487064719045,40.3065018417646,40.306606542073,40.3064854564655,0,0,3,0,40.8334028181964,40.8175984528087,40.6516991388664,40.8046743044536,40.7767251936271,40.7565448189659,40.7397353058026,40.716414131092,40.7063848137704,40.6905167126089,40.8496812253145,40.7680796651768,40.7540353053701,40.7352079115176,40.7086562959232,40.6940757607441,40.6217160206226,40.3139473210994,40.4767321402769,40.5245555393431,40.6395801466211,40.6971145496854,40.6768480783309,40.5988873841744
450,40.6795357540369,40.3064057855808,40.3063866568508,40.306543736968,0,0,0,1,40.7612022830832,40.7597804133403,40.5899089072306,40.7236369280403,40.7144441893045,40.6997948773205,40.6753964205535,40.6488355990532,40.6201593332627,40.6554395413622,40.7749473881974,40.7214137727764,40.7053760483136,40.691815493588,40.6858576238234,40.6875465433881,40.3075872324031,40.6603481641324,40.7011806072264,40.6669403787201,40.7505849722913,40.7437897089723,40.7358322092298,40.6927213371574
480,55.6016692784846,40.3066015353633,40.3064441895097,40.3063674761413,1,1,0,0,42.7664898215304,44.8670457294869,44.8108817855491,40.3071905509903,52.5600199171732,54.1731325081225,55.0123564044126,53.9106112588145,51.9778660541657,43.7264415701846,41.2247696422225,42.4434878794785,43.0353740213305,43.0877906386614,43.0203778573729,47.7414381039172,43.5008755466808,42.7471370721327,45.0956939812394,44.6636721979075,42.8942191098288,41.6858094808922,42.5113523113312,41.7869203512205
510,48.2425667489475,40.3062511499564,40.3065265451651,40.3064330309746,0,3,1,2,40.4826057629827,43.1564199627333,40.6036235466904,40.3117953375277,45.9561192145415,49.9566242980288,51.0772280864687,46.2592037302932,45.1006876875865,43.1146454717989,41.8596178291176,43.0832137997564,42.9731471882971,42.8874336138316,42.8034346493655,43.7312079212533,40.3063661346795,40.3008868340921,43.4762197086182,43.3308366771497,43.3330317202083,42.7606104105895,42.7547172987031,42.2333769756895
540,45.5395750615308,40.305641207963,40.3064697879874,40.3062821779116,0,3,1,1,40.4716011857281,43.7047418810117,42.1790436154791,40.3053080314007,40.522184742066,42.0950434089609,45.5650440094704,47.7644321416195,47.06245899464,45.528911918087,42.3157372199889,43.3666135822916,43.0934580801435,42.8931997238225,42.8100797069113,43.3536325360559,40.9354429068696,40.3430408506904,42.6044963117922,43.0308717024464,43.2199578313016,43.1718420933472,42.8796045765099,42.3800427494765
570,41.5857118795138,40.3064979949664,40.3064141677318,40.3065008726253,0,3,0,3,41.83769212241,42.9719496385236,44.2892754491749,40.3225714209651,40.4804991143371,40.5467304353566,41.0186874939815,42.2453104080675,43.1609999028903,44.4151397312712,42.8490546595129,42.6896074696441,41.9024703761584,41.6394481512833,41.6852327174056,41.1291071107566,41.1053136790416,40.5387482314132,42.8606555335264,43.1137152587708,42.5795021362356,42.5426590954157,42.3736727263747,42.6753002190673
600,41.2280990775576,40.3067631720761,40.3064465287747,40.3061882428395,0,3,1,1,42.2209624533726,40.7949929902894,41.7357321822119,40.3220962132557,40.6237313551122,40.6832724640949,40.6919490199371,40.7802102327217,40.9365701794045,42.2023436823292,42.1112294123339,41.5078589537425,41.4456256241368,41.4997764391033,41.7064886641841,41.3428355284414,40.8197162755947,40.2985158630694,41.4580420096626,42.7377689272719,42.3896568562968,42.3407074760135,42.3392073626873,42.2682185684348
630,41.4553991177111,40.3065474918723,40.3064392784631,40.306558686753,0,3,1,1,41.6810173127677,42.0523556840013,40.7324246899433,40.314725612815,40.6255622356029,40.7443967358881,40.8257581931991,40.8644797308622,40.9124560807931,40.8925212973266,41.5564153534567,41.8082534283177,41.8552503030721,41.4797114428851,41.9085003168017,41.6656008500539,40.3677443728613,40.3239237250441,40.6219072165556,41.9682561364816,41.6469047628375,41.5013265113934,41.2789590720425,40.9402307862358
660,41.4657108484783,40.3064449239214,40.30649110861,40.3064209286159,0,0,3,0,41.572345229117,41.1467845126414,41.3673811041743,41.2189138800271,41.3485874388136,41.5081703378041,41.4730765930045,41.4031945119732,41.3477886190393,41.2604882175172,41.1626182024548,41.6309425778907,41.698921786982,41.5369921383533,41.7223786878336,41.7638919735695,41.1560522664014,40.3143721800805,40.3954240587748,40.6429201478684,41.2025191815341,41.3853303118208,41.2903936951387,41.1023254332253
690,41.4956933324536,40.3064872093649,40.3064298233821,40.3066419026152,0,0,0,1,41.42828522494,41.1058429812133,40.3991570227316,41.0537745327074,41.4389232443078,41.5532867282213,41.5157887752717,41.5084956110581,41.4538703655636,41.4429517288951,41.2315170589106,41.4962403553224,41.3774298956825,41.5102921995922,41.5589299959731,41.5932813764204,40.3099166976241,40.570740915804,40.9608333861056,41.0857060638761,41.2097615713382,41.1554303198211,40.9813944672496,41.1848235011999
720,41.0529635842942,40.3069385176205,40.3064533224994,40.3063203781819,0,3,0,2,40.4593132127471,40.9036795133093,41.0534450112192,40.3356233548979,40.4425556936728,40.9807001795386,41.2780454561321,41.3481140211565,41.3571769725513,41.4198879610637,40.8207980297264,41.2182314478224,41.2464467146187,41.2289170531113,41.2722515811923,41.3370148922917,40.3216129902397,40.6525224136316,41.087078859399,41.075847236048,41.2282546308763,40.9409703312476,40.6484545150506,41.0569495997161
