"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点1RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH","点2RH Monitor: Sum of RH","点3RH Monitor: Sum of RH","点4RH Monitor: Sum of RH","点5RH Monitor: Sum of RH","点6RH Monitor: Sum of RH","点7RH Monitor: Sum of RH","点8RH Monitor: Sum of RH","点9RH Monitor: Sum of RH"
30,40.306437503891,50.4754245548396,50.4754245549663,50.4754245549108,0,0,0,0,50.4754245549054,50.4754245549071,50.4754245549086,50.4754245549063,50.4754245549074,50.4754245549651,50.4754245549895,50.4754245550405,50.4754245550807,50.4754245550561,50.475424554838,50.4754245550016,50.4754245549757,50.4754245548085,50.4754235360918,50.4726343509158,50.4754235359672,50.4754245548137,50.4754245548438,50.4754245549005,50.4754245549005
60,40.3064311946382,40.3064598548126,40.3064385105097,40.3064396257795,0,3,2,2,48.6724737779974,50.1841152110972,50.4546974715846,49.4985639893358,40.3417184980449,40.3111060666364,43.8820624965031,45.5550869351162,48.2368226855355,46.6371678642269,40.3025831654351,44.7139706456054,45.630361804523,43.034885321113,47.3825502765698,49.4018596296111,50.2075771746753,50.3596773405605,50.4737977420261,45.1887576878696,44.5709964933698
90,40.3070607328758,40.3061079291081,40.3065287254722,40.3065895986344,0,3,3,2,48.2772788323736,47.6209273718778,43.8165283261353,41.5366193933311,44.1338482221395,40.3933090899378,41.1315271878824,41.4247214909254,42.2908399225908,45.7317154847193,40.3173402275409,45.7917658911786,47.8045899106331,40.5251074763496,40.9157482416948,42.2098015682346,44.6881774374655,46.3616895581145,49.9913355066413,45.2521820607415,44.2187467441676
120,40.3067687724059,40.3066288822091,40.3064321497978,40.3067062509255,0,3,2,2,42.8254638373783,42.0317678198478,41.4759218906742,41.3836622746268,41.3748888779617,40.3154770180121,41.2928128268672,41.4454032517917,41.6237624842188,45.3363232918902,40.3172658764145,45.2560872268595,46.6048790924553,40.5940299912073,40.810836070072,40.8929480125756,41.1093555824477,41.5212251474021,45.2254029922385,45.4484397096216,43.2570392124198
150,40.3063456432513,40.3066930216232,40.3064666130789,40.3064375575016,0,3,2,2,41.90172544532,41.9566012997868,42.0718537151177,41.9333049997585,40.6340250003486,40.3209917280386,41.0192947065343,41.1682866245424,41.4295636328464,43.5265881432856,40.3253329818994,43.0073514539041,43.1669941655416,41.0047731598802,41.0494741466064,41.0709212076216,41.1009680727026,41.1144409007895,41.3491982262531,43.8499702329391,41.9716217077413
180,40.3063904328321,40.3064645789999,40.3065268065919,40.306378868131,0,3,2,2,41.3300479953845,41.382575370197,41.4420901502406,41.04422923186,40.6157504618639,40.3127542782373,41.002334723893,41.3301508347403,41.7004724970371,42.2566930106468,40.3277122038952,41.6948622003866,41.9830764031773,40.7720434758571,41.0182663798871,41.0273159415904,41.0375401673417,41.0571662157101,41.0734422434983,41.8795408899761,41.3380352793167
210,40.3065741009421,40.3067585545312,40.3065784416162,40.3065053668731,0,3,2,2,40.9584702032576,40.9348953675196,40.7561868837392,40.5398619671225,40.4922170217013,40.3099555844917,40.7746651406819,40.9237869823676,41.4728277659002,41.6696762900314,40.312404615358,41.2741464562674,42.0259023285522,40.4907512076335,40.6855952769189,40.8422719350018,40.86050560685,40.8853265127632,40.8993138061587,40.8489082002902,41.020368042188
240,40.3063304464058,40.3065805226067,40.306365371839,40.3063386220395,0,2,0,1,40.879696669721,40.8039403271466,40.578097811216,40.4706166121311,40.4281484416055,41.0003724473814,41.1129962955294,41.1533989198634,41.6001105385751,41.455718661365,40.310768899072,41.0917776879795,41.2458527861004,40.5001132446807,40.537960392668,40.6674065419771,40.7182204584669,40.7800206904987,40.8010276774811,41.0110543863817,40.9371874708107
270,40.3064860012034,40.3065599300137,40.3064517757077,40.3064760897385,0,2,0,1,40.9009410140107,40.8222147758507,40.5668322873808,40.4543267096189,40.324150330499,40.9355969769788,41.1047348063436,41.1474365793054,41.3836555119865,41.1973068882876,40.3131472901154,40.9378050717635,40.7384960787938,40.4366905400153,40.4697517964724,40.4847770716914,40.5790427602785,40.651417940078,40.6725028348727,41.014925612611,40.9246217163994
300,40.3063942449587,40.3063737287165,40.30652705426,40.3063379322434,0,1,1,0,40.8898699597698,40.8754160796928,40.7888256868357,40.7621005865026,40.6487687802886,40.3054865186818,40.9374726126499,41.0207807860907,41.2366295155307,41.0390514167272,40.3106781038113,40.8903828005541,41.0696273251291,40.5645609296571,40.6592324236846,40.7594266492475,40.8192892669628,40.8059260489849,40.7790803347132,40.9113820988194,40.9029378676883
