"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点1RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH","点2RH Monitor: Sum of RH","点3RH Monitor: Sum of RH","点4RH Monitor: Sum of RH","点5RH Monitor: Sum of RH","点6RH Monitor: Sum of RH","点7RH Monitor: Sum of RH","点8RH Monitor: Sum of RH","点9RH Monitor: Sum of RH"
30,40.306437503891,50.4754245548396,50.4754245549663,50.4754245549108,0,0,0,0,50.4754245549054,50.4754245549071,50.4754245549086,50.4754245549063,50.4754245549074,50.4754245549651,50.4754245549895,50.4754245550405,50.4754245550807,50.4754245550561,50.475424554838,50.4754245550016,50.4754245549757,50.4754245548085,50.4754235360918,50.4726343509158,50.4754235359672,50.4754245548137,50.4754245548438,50.4754245549005,50.4754245549005
60,40.3064286754671,40.3064475358407,40.3064384489827,40.3064396496438,0,2,2,2,49.8056513031377,50.4458367369896,50.4751730288127,48.5497582622638,40.341716856337,40.3110996112762,43.8538416091113,45.7690210912426,48.888798781997,46.4987107177782,40.3111392531098,44.5550060991717,45.9893445434168,44.1727408094346,48.9418051090083,50.2105259669473,50.4267611619626,50.4551748289756,50.4753568374745,46.3469175785109,45.9899861292526
90,40.306938387205,40.3064845012095,40.3064810046219,40.3064733122105,0,2,2,2,48.928899926817,47.1973222992771,43.6870082224698,41.3841550144068,43.8185547802734,40.4047137075581,41.3972577935294,41.791187565537,43.2886277388516,45.816016828895,40.3401494308984,45.9369075827471,47.9405331680435,40.6618626096207,41.5948903731503,44.2523697822558,47.4084155517288,48.7948266399946,50.2942625225171,46.027836640854,44.5301838434862
120,40.3064864372605,40.306434275739,40.3064728295328,40.3064715161528,0,2,2,2,43.2583527381415,42.5229325189412,42.0295300993924,41.988046668112,41.8317573500965,40.3170698600142,41.6258266047577,41.6239801095306,41.7244633625088,45.8678838877284,40.3178331475212,45.9532544748294,46.8625420767843,40.6884240048428,40.8385581537727,41.0248775248679,41.7925548038108,42.8102438833449,48.7799146591396,45.9750008529513,44.0583809658479
150,40.3063714588797,40.3065473952823,40.3065133985408,40.3065541998532,0,2,2,2,41.9695360874774,41.9382795568651,41.9255866007952,41.8217854783409,40.7927453924768,40.3265817038878,41.3634170351552,41.5494827211293,41.869363709224,45.6256111646058,40.3340574663095,45.590688334572,45.2659646634086,41.2400883619649,41.3296054321757,41.3437025890502,41.371922387822,41.4327268106589,42.2521053072762,44.1547679041914,42.0998095261994
180,40.3064390827126,40.3065430184325,40.3065097523336,40.3064906813558,0,2,2,2,41.7710304040966,41.841024230259,41.8472122356628,41.4793494366307,40.7824353238222,40.3136593428124,41.3722586621897,41.9212981415085,42.5024295355083,42.7204472096009,40.3194649656275,45.3551233037255,44.6725774924761,40.7150268147877,40.9942126539394,41.0627413463201,41.1041610761587,41.1256408404592,41.1680899281588,41.5240335230243,41.6990732762019
210,40.3064744316868,40.3064908069984,40.3065175017442,40.3064562462264,0,2,2,2,41.564205231524,41.4721309271161,41.1781962701766,40.7982547887663,40.6583732133919,40.3154388754281,40.7829857938887,40.8961062435409,41.9055940277573,42.2003583024673,40.3166805711326,43.6243800950201,44.4991094258468,40.5874500903317,40.7255856655992,40.9912550519522,41.0762645676517,41.1148724614603,41.1291014346122,41.2967456646104,41.6311247582301
240,40.3064504975669,40.3065187785031,40.3065182688776,40.3064995923388,0,2,2,2,40.9289221337235,40.7430331719709,40.5689317636579,40.5231998520157,40.4938673890476,40.3141113924347,40.6324949432788,40.6591432543153,41.4292548178475,41.7001756987639,40.3159766803535,42.7161900486569,43.7572841358437,40.6865370833997,40.7138105210764,40.807444862975,40.8976878276678,40.9760819726905,40.9988723035307,41.1681207792996,41.1612340955747
270,40.3064341677308,40.3064980257707,40.3064790112083,40.3064645785393,0,2,2,2,40.5503547736132,40.5122714595223,40.47618848908,40.4504199483336,40.4204073691258,40.3142089942294,40.6116770929132,40.6292222565277,40.978686644115,41.2479694515161,40.3115745892742,41.2967823530493,42.7073297107527,40.6096167634259,40.7489504983405,40.8678891534335,41.0243441484498,41.0555856738189,41.0012473827223,40.8719326846393,40.6191137747818
300,40.3064658682941,40.3065485035997,40.3065107382145,40.3064737351411,0,2,2,2,40.5804817502531,40.5101348340232,40.4640351593416,40.4591315786566,40.3908050034474,40.3121737209525,40.7304841400459,40.705375405474,40.8280708007574,41.0505442537553,40.3112355872025,40.9218296307747,42.2524230251139,40.4301697039277,40.5539341831616,40.7393092300573,40.8506212423185,40.8313293022811,40.6672394130108,40.6578722387071,40.6155747197992
