"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,50.475424554968,50.475424554968,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.2748571413297,50.4584880835825,50.4740189320023,50.4741487686596,0,1,1,1,40.3477094014165,43.216473370262,40.4047815753453,50.3334947279176,49.6640366631107,47.7455230425778,50.1462958167753,50.4627630292778,50.3830218953218,49.6378356161203,47.1187061678524,49.9461721241012,50.4433247918797,50.4655576723393,49.9140249836937,46.4369467166982,50.4187382312794,50.4754254022123
90,50.1428341866779,50.4604850356562,50.4711447871102,50.4575415981628,0,0,1,0,41.6560451663286,47.0663454127215,40.7761384285547,50.305684095309,49.2188127222853,47.6384004681227,50.1023993764142,50.4630923977024,49.455127483682,46.3988442555158,43.0615059601488,46.8626657688785,49.7383604584409,50.4641920607921,49.9624115269124,48.8068678006424,50.4048356421853,50.4745816259382
120,49.5257289761262,50.3888794383165,50.3937392840429,50.2732989487536,0,1,1,0,40.3084514343116,47.0678172202582,40.6194190496433,49.5888254856296,47.2301733672106,46.17544940336,49.0690270256479,50.3607834826758,47.5568367302963,46.2653081917398,43.4447739474238,46.5224088785164,47.8049120113123,50.3574698124489,50.0494471947532,48.5222618148889,50.432028984456,50.4094315261673
150,49.3499591242564,50.3714498689448,50.1969038625076,49.6947177187482,0,0,1,0,41.0040698947201,47.1832914767603,40.6255960518272,49.3768202596192,46.9868197753933,46.9746595738867,49.2430708140467,50.3685842604888,46.005617315104,45.3304788467009,44.3004764204349,45.5498320779367,46.1620241856309,50.3042038282394,50.0342702409655,47.9937895479935,50.4408780447621,50.3515633578954
180,48.8897161624639,50.0609890571669,49.4072594326284,48.3977770943466,0,1,1,0,40.3126940441668,47.1444194116385,40.579114381069,48.0308271227154,46.0316689229864,45.8263438662055,48.5610735579426,50.1717872405971,45.0651794049771,44.9924256549186,44.2059169717386,45.1462285554461,45.1436930228974,50.0660247943461,50.0570824344566,47.7613737841709,50.4369652561698,50.0079202158942
210,48.9702075991108,49.5695636885899,48.3021875540328,46.7043274375857,0,0,1,0,41.0535304417979,47.2394361034206,40.7398745943536,47.9340746728069,46.397990670859,46.6527863159229,48.7520383401087,50.197675011632,44.496480455712,44.6111682931921,43.937901575383,44.886170485198,44.6194170306316,49.9624906634569,50.0060505439464,48.0466671819306,50.4235397283599,49.8802968763142
240,48.5989541037444,48.7455960846814,47.2738099232111,45.4151416685873,0,1,1,0,40.3092842968526,47.3267537640682,40.7330138087453,47.2089747001699,46.2406170915135,45.9994681115913,48.2997227039166,49.9311640374189,44.1397182317277,44.2998646621719,43.6639340947375,44.6308756890133,44.2882737337672,49.538746211532,50.0055263097791,48.1502608166349,50.3448707981338,49.2564199087819
270,48.7619304378596,47.630982137766,46.827777776508,44.6951629784961,0,0,1,0,41.665748996825,47.7539393250739,40.735135310587,47.2595709023864,46.0717947945253,46.1648343751592,48.3025125340569,49.9694140959847,44.0305179011399,44.3520198212081,43.4753574286259,44.9458160644432,44.3792902514278,49.1017777704147,49.9227228821106,48.465852725982,50.2967297086358,48.9503776117422
300,48.4148207767367,47.3513951630257,46.8924555151509,44.6900571594581,0,1,1,0,40.3141896910225,48.1537097318684,40.6603027806434,46.4406492505572,45.8525255138116,45.2227267994699,47.5922515297185,49.5993871295485,44.1181184725012,44.2761511547016,43.3207165543063,45.0694659611507,44.7675897840916,48.2192062094034,49.8117637406054,48.7008222167008,50.0435826901229,48.0282972073669
