"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,50.475424554968,50.475424554968,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,49.1461048285453,49.5978917210805,50.1196289384645,50.1783558412767,0,3,3,3,40.3197149522441,41.3886764856422,40.3298456395158,48.1970097526183,46.2377480140132,43.9898138442804,47.5283969379419,49.6587522679207,48.4910864130764,46.1882372567894,43.5323534894197,46.8695667202993,49.1583536285777,49.6153533120978,46.7915191477575,43.0709694341817,49.4865737051307,50.4686251674343
90,48.7778845539809,49.2938964174757,49.1874300166055,48.1898800418091,0,0,3,0,43.5145343912736,47.067989381744,40.4702863051268,46.5158853083003,44.6126467053227,46.4030571125505,46.3396328003175,49.7343508117246,46.0104846177253,44.5556408303217,41.9743575369349,44.1705661178937,45.8498805311972,49.1124279754739,46.1564632815931,47.8477239607909,47.9259336001153,50.2089781694067
120,46.7175884185372,47.1942062662591,46.9525424884054,46.7398591802465,0,3,3,0,40.3058649357173,47.6843001531872,40.4071107055634,43.6003596767098,42.9065347337827,44.0752772181016,43.3658866575557,46.8789476915571,43.9987061846727,44.8934401073301,41.5497278510204,44.847605016831,43.3838084764473,47.7977258316702,45.9327089649957,47.9873377845648,47.931486468913,48.7559307976867
150,45.730438102143,46.5021084753009,45.9441816838859,43.9089152494067,0,0,3,0,41.142703030287,48.0625186443053,40.4372490852105,43.6206479539333,44.6949455001323,44.190197780843,44.2982216390388,47.1598804376288,42.657314334993,42.8359077266455,42.1215515095058,42.9439398627486,42.7911167781846,46.8237017433942,45.9821709118402,48.3725389452919,47.7428246675336,47.6501995907934
180,43.9625319405984,45.0225248760468,44.8671294123935,44.0599865411772,0,3,3,0,40.2924241274519,47.4719190137297,40.3781326074956,42.8710627154267,43.143973554255,41.5883256475709,42.4860907544085,44.682258027303,42.1662049188818,42.3775898144543,41.7699490974259,42.2018531653673,41.8851565878299,45.6216507725366,46.0710285662447,48.203593075997,48.0168289313836,46.1424540778788
210,44.8373550988598,43.9886082175883,44.3287598455551,42.2884715390042,0,0,3,0,41.2635769621374,47.306197160957,40.5017147002483,43.5342723653832,43.3469294588832,41.7864896119723,43.4625594201401,46.4087671913905,42.1053000982027,42.1498813257538,41.7932472942725,42.3072024842325,42.0594822816903,45.1476025832813,46.3974406070438,48.0386985397,47.1969640234286,44.6690279393876
240,44.1612171493957,43.1243320742667,43.4123563322003,42.0973705738569,0,3,3,0,40.3122296236436,46.9321264597125,40.379153393559,43.5482669626218,42.2345674058751,40.9598231500717,41.4349878413066,44.7488582363331,41.9020704649293,42.0356089679286,41.4296007405678,42.2895881521912,42.104184360616,44.2248089053586,46.2654991955803,47.3883474281213,44.8541800143151,43.6885637526869
270,43.7098163305735,42.1078677858068,42.6766176081564,42.1199568628835,0,0,3,0,41.1068852758617,46.5778834560159,40.4512327284264,43.5492731285711,42.1549118358092,41.7148634205199,42.1733934303875,45.4600828005489,42.0918706062815,42.5707307384514,41.3930935582885,42.1889952464674,42.1476901798234,43.878016473668,46.5601521267916,46.4914693789288,43.7908183837159,43.2347024579227
300,42.9156739182615,42.1242899126865,42.4286052037891,42.1240369045634,0,3,3,0,40.3080795061718,45.911901724327,40.3958297908921,42.361577680318,41.0546919688456,40.883827605935,41.7422526064109,43.5695484127598,41.8855688894883,41.9564384420882,41.2353101455776,42.1056593536569,42.1074623994392,43.7931293181165,46.3522609321341,45.3205954301128,43.2193644630668,42.9316339219725
330,42.1882741773255,41.6617007831203,42.3684913172051,41.8986354361753,0,0,3,0,41.3650048590248,44.8689821284426,40.4041131390597,41.8230465714616,41.1670078851602,41.3821346058594,41.7286418978335,42.8740151952537,41.6406964394937,41.7466694343769,41.1057966408458,41.9730276452678,41.8658945787113,44.0606464162441,45.2103095198727,44.4357664620024,43.1505048033193,42.9255275346217
360,41.5388352909739,41.389408610495,42.1435681289432,41.6432557653781,0,3,3,0,40.3143538388411,43.9710596714465,40.3857050971234,41.3536863186785,40.9197890983907,40.8152325725454,41.1539125140281,42.0911024205268,41.401684760057,41.5528764283039,40.9861628882195,41.7051494676879,41.5994525590004,43.8388476189327,44.1804907307839,43.9467170793998,43.0020455269536,42.7183462809754
390,41.1497492842466,41.1416972059107,41.7177236080466,41.3595679959669,0,0,3,0,40.8703105179919,43.0883045935475,40.3842365015279,41.2119730427257,40.9723518933097,40.9878996360994,41.2574494983863,41.9204949457893,41.1779220354986,41.3124565356138,40.9147149817188,41.4537472495016,41.2707836404473,43.4090464936937,43.6413880594352,43.3752854185808,42.8428574595899,42.8017309344366
420,41.156473113038,41.0821659606621,41.5098956262875,41.2032965158654,0,0,3,0,40.9530090150295,42.6399265552428,40.3604698918382,41.231715656627,41.0692849837179,41.1436063369885,41.785394141005,41.5993875509041,41.0916258690678,41.1460675078889,40.8572679065535,41.4001682117558,41.2987154560832,43.115592997286,43.1252444939891,42.9937845353083,42.7965552829447,42.750716699174
450,41.102423931444,41.0442384371089,41.6192686493572,41.2150802901092,0,3,3,0,40.3137133565202,42.6510785832067,40.3631598139454,41.1569021201212,40.9720900085636,40.8628723164238,41.5276133612964,41.4234331283826,40.9681328150138,40.9769520114856,40.7885880060286,41.3064515444385,41.2125440988736,42.9298073775512,42.8109686747316,42.8564322476181,42.5172730230178,42.2442087093487
480,41.0213620782104,40.9579192250594,41.7797338177445,41.0945251404305,0,0,3,0,40.6448855525864,42.5813043066707,40.3585472755546,41.0882839716916,40.9999418863157,40.8359856131362,41.12813022785,41.342528346946,40.9810574481536,40.9702666115075,40.7119008675297,41.1772339446292,41.1252943527447,42.6845253635204,42.6004290571882,42.6531197304891,42.3687189800136,41.8037462856649
510,40.9734771926103,40.9366521015692,41.610507750583,41.0080946888272,0,0,3,0,40.6714337548331,42.4546536831219,40.3484245717299,40.9823042568062,40.9765338604224,40.9060398996962,41.0459574611762,41.218587227992,40.9457368464326,40.9738242187231,40.6577159462015,41.0377665096339,40.9897079580509,42.464687193032,42.4160868203307,42.4273738649315,42.2129737274239,41.5967076874566
540,40.9669137995087,40.8922156108419,41.3536632307414,40.9316211529313,0,0,3,0,40.6004224597687,42.3164743439302,40.3394212689373,40.8995611839917,40.9303441314363,40.9279083618114,41.0542691683458,41.1434417846572,40.746760031768,40.8165460735564,40.6382338759991,40.918269965573,40.9621616660463,42.1984221167838,42.2442633422275,42.1904387769594,42.0601676193454,41.5736695220648
570,40.9899730632844,40.827716588238,41.0802646756038,40.7829034647321,0,0,3,0,40.5538663512684,42.1125623774316,40.3288871178853,40.8700753159418,40.9162261626335,40.950792097957,41.0753618841403,41.1120187393288,40.7136691041067,40.7653155214002,40.602674564348,40.7885783669667,40.7587406497465,41.9402269579773,42.0533827261232,41.9547539895501,41.9364751838692,41.6518665181462
600,41.0123207798046,40.7887521056301,40.9501403265999,40.6787906820839,0,0,3,0,40.4656930968172,41.8787938710327,40.3247332896453,40.863097212872,40.9280676660588,40.9784856504063,41.0418215216377,41.0673963668214,40.696668113527,40.7119702098508,40.5824350725146,40.7551912254263,40.7277251470871,41.8099216448103,41.8283458545987,41.7530502058738,41.7651619547377,41.6048878259039
630,41.0228898148417,40.8203849637974,40.9347751659061,40.7276392515868,0,0,3,0,40.4532669953755,41.6398934649928,40.3247291483708,40.8487809884118,40.9088250564857,40.9652783080569,40.9626350913924,41.0004510518387,40.6551515676519,40.6602409159824,40.5637354239688,40.9168925061594,40.8253436076049,41.6818081828354,41.6086291384015,41.5535750663631,41.6380970675369,41.4609034010361
660,41.0191296895717,40.8227416900093,40.8631595520237,40.7697085550697,0,0,3,0,40.4334473230298,41.4365732681955,40.3214058138841,40.7964540580524,40.8489691182111,40.9304702179996,40.9115988819202,40.9534898211359,40.6111247483249,40.6364209775688,40.5281841568739,40.9052928544984,40.8630618210843,41.5305782482697,41.4484334233148,41.3911869361493,41.5407476111323,41.2816198953326
690,41.0082682985255,40.7773712570348,40.7554767742315,40.7392772410681,0,0,3,0,40.4196835310596,41.3277119912344,40.3202015957875,40.7482669003738,40.8044897170182,40.8890772279273,40.8892522282159,40.9173041214162,40.5544353107725,40.5639466596567,40.5020477927089,40.7943935954214,40.7532873974296,41.3648470309729,41.3236022608068,41.2942265268289,41.4410824571579,41.0769160034013
720,40.9953848018389,40.6944971950088,40.7361970417793,40.6587864520927,0,0,3,0,40.4219162705358,41.2942385694231,40.3190491272301,40.7210838844749,40.7812539370488,40.8752357158424,40.8752172430926,40.8735988724415,40.5607332369581,40.5553912069648,40.4838957756149,40.6996720755997,40.6437679994731,41.2474410957979,41.2184004188941,41.2502329653235,41.2795954848434,40.9269989907442
750,40.9778620303687,40.6732972084519,40.8116179368663,40.5779369115966,0,0,3,0,40.4253134794001,41.2218482217686,40.3208301868966,40.7084596740051,40.7584025316477,40.8954782059084,40.8564590285023,40.8421003483105,40.5377992389724,40.5347511965653,40.4772480846777,40.6136807933952,40.5688055150332,41.1759602046745,41.1586765285525,41.1794604416638,41.0901917554857,40.8460633865166
780,40.9527937008083,40.6653638932314,40.8402865473897,40.5446446325991,0,0,3,0,40.4230776896905,41.1351486601579,40.3193950773893,40.7061652673499,40.7365354619188,40.8943482543249,40.8315176723073,40.7922828154812,40.5021901610497,40.5194663685986,40.45375415272,40.5714906584767,40.5490794293727,41.1199394756265,41.1165772964395,41.0957035584944,40.9848792891465,40.7952390905804
810,40.9279228090692,40.6441742010766,40.8071617159474,40.5426455836547,0,0,3,0,40.4192603576706,41.0717754532679,40.318095707443,40.6999896112822,40.7197404046627,40.8616866608292,40.8065831723407,40.7374895558482,40.477384938947,40.4958235844193,40.4293212375989,40.5466676930157,40.5377999728941,41.0419062898277,41.0745138424979,41.0397629993241,40.9309445006446,40.7364203481252
840,40.9008813068933,40.6039638266224,40.7300289777605,40.5322621068072,0,0,3,0,40.4170530198381,41.0296914709165,40.3164168310521,40.6917577691895,40.7090791534425,40.8274082948399,40.7818689341103,40.6978438850113,40.4584217752865,40.4707613545165,40.4145144945808,40.5294220718042,40.5197598001044,40.9244697778799,41.0140493831418,41.0049874553192,40.886577120085,40.6938328719206
870,40.8655498266874,40.5697884381218,40.6401761651672,40.5080332314059,0,0,3,0,40.4168005178212,40.9900044039113,40.3144737709889,40.6868515478854,40.7015891041811,40.7998892401228,40.7521526390575,40.6691796913447,40.4491169782669,40.4538956104618,40.4087688393192,40.5086752947026,40.4928498046345,40.8138425680603,40.9354019032381,40.9682130962555,40.8382897782193,40.6711288814153
900,40.8218016534239,40.5629361748582,40.5659085297198,40.4816314911745,0,0,3,0,40.4172708715477,40.9414917786887,40.3133646104951,40.6757329413763,40.7033942994778,40.7726250193359,40.7152282267791,40.6437585218557,40.4403747268952,40.4422989719191,40.4022150857168,40.4854433651789,40.4678284638838,40.7362300239731,40.850987214571,40.9206275190967,40.7935225207854,40.6554081939485
930,40.7787593074002,40.5766611809161,40.561242240199,40.5038591209503,0,0,0,0,40.4180515548582,40.8861752600478,40.4695646626535,40.6409167836835,40.7005229094381,40.7483520335539,40.6877316511451,40.6204140164385,40.4807943063837,40.4742660896996,40.4799738912983,40.5009609122935,40.4939739936972,40.7106492092644,40.7834983943945,40.8708906251501,40.784521101323,40.6739715255099
960,40.7412236132876,40.5847296458595,40.5595176696571,40.524759495437,0,0,0,0,40.4290124171495,40.8395074119359,40.5049990271771,40.6287581252293,40.6959175221284,40.7252456637505,40.6736815120262,40.6083926912224,40.5032221256749,40.4962740525984,40.5055784640703,40.5183449544127,40.516361637212,40.6941017104259,40.7360275793656,40.8285236572499,40.7753931114701,40.6933606125166
990,40.7133809443197,40.5884765324014,40.5614802655644,40.5429053137435,0,0,0,0,40.4468983384869,40.8035376208005,40.519981682501,40.6261085893995,40.6904990201361,40.7059210134278,40.6677044220189,40.6079399073656,40.5161723034383,40.5116408625392,40.5193745068097,40.5346207149132,40.5311242559788,40.6748868087691,40.7057672506148,40.7956675151227,40.7664444441624,40.7072342743534
1020,40.6946422801146,40.5916579504886,40.563190217325,40.5518692728673,0,0,0,0,40.4709784533195,40.7806374666863,40.5121267179076,40.6263724131067,40.6858918463622,40.6914748201086,40.662377549703,40.6142944196006,40.5253866296481,40.5229437691804,40.5287719949665,40.5461164630273,40.542098848105,40.6596046403059,40.6870507432241,40.7725639035727,40.7564431895473,40.7108883995869
1050,40.6828000482881,40.593704250536,40.5646277545749,40.5582457192175,0,0,0,0,40.4926800524552,40.7656488260542,40.5320450602707,40.6255213195613,40.6820392135919,40.6817260552771,40.6583162312441,40.6202944387125,40.532355992975,40.5310290842842,40.5353780699026,40.5537745209008,40.5494927564098,40.6494001984158,40.6758071726116,40.75607194815,40.7475086821659,40.7101072550127
1080,40.6754768506041,40.5953560914753,40.5658662841108,40.5625648702704,0,0,0,0,40.5065588880221,40.7559400442544,40.5356428998778,40.6243214901356,40.6783794944098,40.6753463921688,40.6556066702289,40.6241014381952,40.5378229484541,40.5372230508859,40.5407279838957,40.5596627854888,40.555451335745,40.6425609614236,40.6697095340366,40.7443836946674,40.7390351208208,40.7065991970885
1110,40.6710986209862,40.5963361761187,40.5669813543287,40.5654997195373,0,0,0,0,40.5164020077417,40.7485090539857,40.5132063231005,40.6229480458707,40.6750770091663,40.6713427585185,40.6541828784977,40.6262934136257,40.542215332734,40.541968939969,40.5451312549538,40.5639881502245,40.5600947601004,40.6383097934337,40.6668076398678,40.7353479264264,40.7322117483673,40.7028626016059
1140,40.6682111644608,40.5969090518016,40.5678972667301,40.5676415646751,0,0,0,0,40.5242523605526,40.7425995613145,40.5039154671961,40.6215549240239,40.6722271109703,40.6687861272164,40.6532003362045,40.6273073356923,40.5456454387641,40.545575737006,40.5480222693777,40.567223825462,40.5638026915037,40.6357135873503,40.6659871514465,40.7283055053247,40.7264950762429,40.6997775817996
1170,40.6664150086072,40.5972068447143,40.5685912700573,40.5692335932708,0,0,0,0,40.5317728406595,40.7374140969216,40.5086226470068,40.620284779974,40.669823134745,40.6670712986283,40.6524755552017,40.6275031793955,40.5483424439229,40.5483459845656,40.5501877119255,40.5698013558861,40.5668760047918,40.6342682192418,40.666605026303,40.7221658821911,40.7219337919062,40.6972871193603
1200,40.6651962830198,40.5973301061556,40.5690966909232,40.5705778479929,0,0,0,0,40.538487406564,40.7326774714824,40.5089109245705,40.6191627935999,40.6678343986245,40.6658505807802,40.6519086527962,40.6270951970821,40.5504341329962,40.5505244359067,40.5520204275071,40.5719014496704,40.5692875058314,40.6337462441014,40.6680360586868,40.7167892730633,40.7183207004769,40.6952241231069
1230,40.6643285432884,40.5973950593293,40.5694021369855,40.5716477119882,0,0,0,0,40.5450121110168,40.7283349116955,40.5107645398836,40.6182749575917,40.666167620254,40.6649681087482,40.6514418024161,40.6263500769408,40.552081995608,40.5522848463046,40.553684789107,40.5737045205437,40.5713785352523,40.6338839038055,40.670005533565,40.7120965916948,40.7153484566583,40.6934335728428
1260,40.6637034661126,40.5974174067304,40.5695311654584,40.5724769363939,0,0,0,0,40.5519276134365,40.7243238790656,40.5162553186929,40.6175231831817,40.664791481328,40.6642907737204,40.6510776532632,40.6253440600846,40.5534147870186,40.5537215898456,40.5552989582912,40.5752742954899,40.5731221700055,40.6344807841471,40.6722966077253,40.7080129444536,40.7128131392685,40.6917080327849
1290,40.6632018367948,40.5974220400542,40.5695163191391,40.5731624263512,0,0,0,0,40.5582043784481,40.7204811928165,40.5215160862235,40.6169082646123,40.6636883614745,40.663736884589,40.6507989675476,40.6241902591291,40.5545320050121,40.5549274798489,40.5568234880506,40.576660229824,40.574624255191,40.6354190919892,40.674814956032,40.7043625646905,40.7106872627398,40.6898653311708
1320,40.6627977476927,40.5974511401699,40.5694033346613,40.5737550373993,0,0,0,0,40.5601577132092,40.7167982018701,40.5240811117893,40.6163888027815,40.662780809482,40.6632554916925,40.6505831826107,40.6228905538614,40.5554989774242,40.5559344626972,40.5582447787474,40.5779049352471,40.575958083261,40.6366677489538,40.6775351708816,40.7010776027575,40.7088146916947,40.6878262468139
1350,40.6625116507919,40.5974952553004,40.5692154353099,40.574232959859,0,0,0,0,40.5557351004687,40.7132715785037,40.5260138870467,40.6160310092869,40.6620221324724,40.6628187897013,40.6504475366001,40.621460419616,40.5563915384734,40.556778932727,40.559554374236,40.5790393693695,40.5769616693029,40.6381574191991,40.6802546428532,40.6981402237884,40.707106769631,40.6856775519571
1380,40.6623335389993,40.5975602134335,40.568990826356,40.5746158296103,0,0,0,0,40.5517675765516,40.7099190980049,40.5293623852107,40.6157819613115,40.6613798908279,40.6624125758126,40.6504034145595,40.6199473839058,40.5572233410336,40.5574856399242,40.5608095317183,40.5800911619108,40.5777102470499,40.6398585456309,40.6829054581895,40.6955452438404,40.7054649158877,40.6833508675955
