"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,50.475424554968,50.475424554968,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,49.1461048285453,49.5978917210805,50.1196289384645,50.1783558412767,0,3,3,3,40.3197149522441,41.3886764856422,40.3298456395158,48.1970097526183,46.2377480140132,43.9898138442804,47.5283969379419,49.6587522679207,48.4910864130764,46.1882372567894,43.5323534894197,46.8695667202993,49.1583536285777,49.6153533120978,46.7915191477575,43.0709694341817,49.4865737051307,50.4686251674343
90,47.394154766807,48.8350700481985,49.4309858364453,49.0052813684194,0,1,2,1,40.5231658764137,43.7461763771247,40.5551292204173,46.0720514496395,44.4005213482349,43.6173047811627,45.7473200717217,48.4819693571564,45.8113367456493,44.4762117915666,42.3021722868334,44.7268398870511,46.3167696080834,49.1886490925047,45.179241696451,43.9959149604952,47.1954681182419,50.4582480257047
120,46.0353545007394,48.3661943559121,48.3235649132645,47.5417450603138,0,0,2,0,43.9076586480118,45.9803563727177,40.4229375614754,44.9692830285835,44.1011860596257,43.866880937759,45.1833026582445,47.9526348899845,44.2647825039918,44.0705053746502,41.9543549629642,44.2267272976756,44.1238283606642,47.7367064927405,45.0262376168669,46.5221845840904,46.3863853534855,50.380185319459
150,44.7632075804386,46.729861610637,46.1160663648197,45.1417475590822,0,2,3,0,40.321056364616,47.5276517836877,40.4393418991271,44.5566434245696,43.1312796231022,41.7254431316511,44.2300211448819,45.8511924442356,43.1755114217351,43.0788531470383,42.4057550698372,42.9985358176535,43.1159186887697,46.9581268868404,45.4976723248423,48.1279694917017,47.6925067238416,49.2952146580542
180,44.2921485300951,44.8656479313178,44.9167463300018,43.4353721130692,0,1,3,0,40.4385149331301,47.4755048535489,40.3743224462745,44.3962862649109,43.0734685585293,44.394537643027,43.4852633215736,44.1688521162909,42.3039001207759,42.3651081290762,41.871514933511,42.3551124346362,42.2461770367527,46.7250968389125,45.6138536444244,48.3227423715889,47.8536096000678,48.1045074434647
210,44.3383001449321,43.6761472984059,43.8289819665177,42.5315024399458,0,0,3,0,42.5014946451302,47.4541142634213,40.4813362112626,44.46856816325,44.7149257096816,44.663659540131,44.4401163238948,44.6868389496467,42.4018903266216,42.4090663644956,41.7922653995857,42.5973587097809,42.4597761689503,46.5076867531907,46.2479599399221,48.2149396149757,47.7140557463755,46.7799345720108
240,44.2604210805332,42.7079503010949,43.8164990122661,42.4514441576458,0,1,3,0,40.3149012735056,47.5102960261016,40.4171517517443,44.4523859414965,44.9318530276643,43.5538569247483,44.6404693693048,45.9218102617171,42.2210933628129,42.0588771135863,41.6391233847365,42.5235652861637,42.5045156000782,45.6809941147542,46.3824462843832,47.8300453223318,46.630551029532,44.8987824703977
270,44.2192457023529,42.5209233056814,43.9389705224241,42.4751993105206,0,0,3,0,41.2546799682063,47.3255933035977,40.4727391328951,44.2397805261466,44.5254264589176,43.6332140291455,45.4586633295852,44.5684902116791,42.0797179644713,42.0768089690256,41.6388049858629,42.7473018871071,42.6991228208779,44.5040984690399,45.7074509094429,47.4332198845503,45.1754644150146,43.8775107450555
300,43.9844208631488,43.1087560642632,43.2225482759078,42.4666855183239,0,1,3,0,40.3154611902301,47.1192691566644,40.3932027428867,43.6721966431907,43.6679103039367,42.5015555568195,45.4492731559859,44.0467725634576,41.9839907838708,41.9979858915515,41.4491066937926,42.579254897064,42.5029012552743,43.1927330238439,44.3531810490743,47.1478543024479,44.040973748114,43.3638144868595
330,43.7197319032217,43.2191054855063,42.5196087022284,42.2149304225152,0,0,3,0,41.0839673122288,46.9127151046775,40.4111831845654,43.0441349816136,43.3127239663717,42.6046978186624,44.9521360551161,43.7623405372228,41.6425102596092,41.6856848282652,41.2782029246403,42.2626031802315,42.0837051480816,42.7455638690346,43.5614384805537,46.8521256291617,43.8287881994055,43.3114978985074
360,43.6566734089548,42.9680198170997,41.9246795387679,41.806955072056,0,0,3,0,41.5482272946727,46.0732286722447,40.3967282938682,42.6468785140031,42.8405456009348,43.4891446086141,44.122449301432,43.2283804572761,41.4047797387801,41.4298344858775,41.1493297543789,42.0881130832183,41.7049409795266,42.5983193700331,43.0420750467145,46.194992793254,43.6758272002956,43.2950660268518
390,43.647790762527,42.4098829671138,41.9794821007937,41.6603193631737,0,1,3,0,40.3161241755351,45.7077211955096,40.4219103412333,42.4005080249325,42.3969802276535,42.6933630435137,43.6589689864321,42.930172606947,41.3251345205244,41.3469858904272,41.172747969656,41.74845592759,41.6881974870542,42.4879881521836,42.682108618627,45.8275536564188,43.5517745827518,43.2998634641101
420,43.5401316569696,41.8843599684962,42.1559059866891,41.5421718587235,0,0,3,0,41.4504055720217,45.2156804385985,40.3783347846037,42.165387094495,42.2103451623585,42.4336217836674,43.3213337663295,42.9028307420344,41.2813008585027,41.2811476883887,41.0709079378066,41.6381215895222,41.5557565320651,42.5287036327875,42.5934796073286,45.0942636099631,43.3803539003109,42.9795520537477
450,43.3152732681623,41.9804300856606,42.1728374565918,41.5564735805909,0,1,3,0,40.310128939623,44.8598001396357,40.396032445752,42.0118535688862,42.0324644168254,42.0022947753505,42.7776241203353,42.797871284405,41.2432640934329,41.2433707010626,40.9691555041391,41.8891508201348,41.6837486349519,42.5728748827401,42.644926454195,44.6557809586349,43.11654804032,42.462751879297
480,43.0923716033485,41.9853008651042,41.8161044241148,41.5040267825587,0,0,2,0,40.731628165664,43.7317421467405,40.4065762824675,41.8876265981666,41.9749001837658,42.3611935308195,42.6736056807449,42.6912530387913,41.2015628102364,41.2414388720146,40.9452625529646,41.6567177655995,41.5636441982313,42.4469030517346,42.5516252285863,43.8206815226772,43.0804874124168,42.5543969836171
510,42.8883801923622,41.9725392038993,41.5319694443314,41.6248844864499,0,0,2,0,40.9544468147712,42.9481649655041,40.3816848373683,41.8393343028744,42.0584325462811,42.4355520531205,42.6610952708669,42.5256117792541,41.1406346182293,41.1576710978347,40.9264034472435,41.2842122395354,41.2270105728391,42.325519916592,42.3429276942169,43.1996076900757,43.1073862810316,42.8946531426549
540,42.7556170665235,41.9641605205985,41.3428581792844,41.3922154564766,0,0,2,0,40.7007546962625,42.6062019800502,40.389401574838,41.8524782053251,42.1623487176626,42.3678754738717,42.4836138199835,42.2843760004163,41.2938107152271,41.2834036995002,40.9596781905447,41.1867007698323,41.1809759004588,42.1153338327038,42.1726450093989,42.8470500196472,42.9447166223102,42.9512789141721
570,42.6610677296517,41.9407106987897,41.3774950677456,41.2903118480437,0,0,1,0,40.6867124793336,42.5397723859659,40.4503588871825,41.8696944364849,42.1433681286431,42.2327855895445,42.2614839749163,42.0366151170709,41.4046764350689,41.4467190055672,41.1470623105033,41.1992378513164,41.1281979582524,42.0545774023067,42.0990676891591,42.7372345437422,42.771519982479,42.8288113682146
600,42.5582393347799,41.9181461077233,41.3970387559867,41.2136932659818,0,0,1,0,40.6053998988302,42.5395462481984,40.3811769869916,41.8753709170328,42.0517116971394,42.1146976524362,42.0761129238293,41.9183078491175,41.377868636229,41.4552356184886,41.1657232370456,41.2900797958984,41.1494413059842,42.0437500597952,42.0403414779974,42.6866353324374,42.7046641830539,42.6421026259895
630,42.437102537152,41.8728962690624,41.4673686478101,41.1592123302948,0,0,1,0,40.5678839791312,42.5790568901798,40.3748009685749,41.8557544587411,41.9423786522826,42.0294011678731,41.9565809452235,41.7905294035232,41.3500550664133,41.409828730435,41.0732901961354,41.342411147584,41.2117024251438,42.0493713789086,42.0188109235787,42.6584761118935,42.6777959479756,42.2192218061547
660,42.3303926655368,41.7772607740505,41.501362232084,41.1521539717825,0,0,1,0,40.5580969436467,42.5695958573904,40.3639664660499,41.8077474105296,41.863228324363,41.9779883899223,41.843134895388,41.6953630065336,41.2671103014427,41.3467318406906,41.0362137284299,41.3067265826464,41.2333387878248,42.0262952859145,42.0174300555775,42.593990773593,42.6386287064038,41.8677012720575
690,42.2530576798952,41.6421370136079,41.4861463308751,41.1599142236167,0,0,1,0,40.5608710324777,42.5085512954506,40.3565477320291,41.7494987435712,41.8227520440616,41.9554512491737,41.7275168691894,41.6889468465698,41.1678015655007,41.2231152231497,40.9809311200298,41.261575744888,41.1889680379641,41.9845266090324,42.0327279183658,42.4965200941953,42.5841324126127,41.6847831781856
720,42.1965574491741,41.5367369842046,41.4308237325575,41.1489985608281,0,0,1,0,40.5700451671029,42.4306284290892,40.3685952970432,41.6925326425291,41.8150317327205,41.9384924573665,41.6234745490102,41.6952940769483,41.0966334188964,41.107820958333,40.9256689076257,41.2407946424829,41.127610876558,41.9408539815494,42.0573922046822,42.3998379770173,42.5030852605991,41.6403929552007
750,42.1499546127532,41.5077939658206,41.3730459316405,41.1218088996081,0,0,1,0,40.5980433221494,42.3678184902134,40.3724203540452,41.6378723969247,41.8229617764635,41.9087384225156,41.5555053687974,41.6569259761371,41.0270215942053,41.0072738840382,40.8890867305027,41.2031471134469,41.0760860283883,41.9124541856279,42.0779752816128,42.3283275321683,42.3959067548522,41.6640605656353
780,42.1011465773597,41.5085779989742,41.3651186792508,41.0982473165815,0,0,1,0,40.6220661009938,42.3180032607357,40.3674265607608,41.5817806533574,41.8311439535447,41.8746981333971,41.5282704473977,41.5976102955196,40.965308861023,41.0023978732656,40.8288402414677,41.1453647642765,41.0280182933764,41.8896282471824,42.0910224459201,42.2724570194511,42.2574997216277,41.6913009778908
810,42.0382550912202,41.513154045505,41.3642846784008,41.0745137355206,0,0,1,0,40.6596153103236,42.2733037703184,40.3656551858393,41.5316153313453,41.8343261094183,41.8417974636521,41.5377968677724,41.5554900630014,40.9459821023782,41.0262632209626,40.7822079980019,41.0858451106945,40.9972211012399,41.8778356879041,42.0921991509941,42.2213562527515,42.1349574244663,41.7003026786268
840,41.9645086166465,41.4986525064287,41.3468656904685,41.0512731806657,0,0,1,0,40.6978157529202,42.2272150034046,40.3617277386104,41.4927279430646,41.8342730307915,41.8136595006468,41.5603881724207,41.5413961458733,40.9298921687327,40.9760271250358,40.7516929306938,41.0252616756655,40.9723278672437,41.8768297899401,42.0795083304308,42.1688985884202,42.061937369379,41.6839976228505
870,41.8866063564955,41.4694407234528,41.3080010648552,41.0170519647959,0,0,1,0,40.7298923799638,42.1793736942769,40.3572511018595,41.4669070351295,41.8348891799648,41.776362088417,41.5750553405878,41.5269746705063,40.889707883424,40.913933148796,40.7227125610958,40.9805989509956,40.9209877651058,41.8778289170963,42.0515424338009,42.1156661563524,42.0153580067591,41.642703796908
900,41.8104672985077,41.4264469476901,41.2508011618536,40.9736191150032,0,0,1,0,40.7777592258455,42.1308806206096,40.3550414433641,41.4512732692751,41.8368929567101,41.7261936982025,41.5812368372078,41.5029219691498,40.8493629701918,40.8866644951313,40.6981186330921,40.9564438849455,40.8834181468312,41.8732557282848,42.0087226073214,42.0641489970428,41.9799235345986,41.5978929628093
930,41.7384575382015,41.3526808088875,41.17388833843,40.913741120626,0,0,1,0,40.809547105183,42.0830963876902,40.3537722893015,41.4398998332512,41.8376687092341,41.6700068122208,41.5830689221823,41.4620118720608,40.8223675597341,40.864841698153,40.6917847999387,40.9155220942632,40.855523297657,41.8637409170611,41.9600028464288,42.0151548942999,41.9446779398468,41.5520641235592
960,41.6741707336221,41.2691437604578,41.1009146701092,40.8572226868222,0,0,1,0,40.8188569151914,42.0355640560744,40.3499226767189,41.4264897874796,41.8324682338189,41.6202340212103,41.5809673547968,41.3922652433567,40.8156445317934,40.8609418717017,40.6939845142672,40.8661693383366,40.8273249155857,41.8495513509099,41.9061493719589,41.9668509636136,41.9102883042885,41.5018287754374
990,41.6225108881948,41.2375094245253,41.0612208255091,40.8141896141262,0,0,1,0,40.8161748962187,41.9883078885467,40.3452698225075,41.4071990740101,41.8179629989188,41.5866917688154,41.5755615616572,41.2982152842988,40.8117127228365,40.8487866784123,40.6883933480154,40.8406589889828,40.807080303791,41.8284304614934,41.848411110202,41.9183760727711,41.8781681703776,41.4569327338933
1020,41.5832331880794,41.2315915354714,41.0335402768332,40.7961322330983,0,0,1,0,40.808893728271,41.9409198307277,40.3427596110982,41.3787378148413,41.7902698361137,41.5669512132644,41.5667076362909,41.2196947234195,40.7867638259371,40.8361570025825,40.6694971675838,40.832219970252,40.7952764735695,41.7957985083532,41.7877254426228,41.8679778323258,41.8492210552098,41.4019711393851
1050,41.5529309097354,41.2099702310444,41.0128485936458,40.7923440286475,0,0,1,0,40.8148994546883,41.8923516453237,40.3399335218009,41.3420401704634,41.7435899539971,41.555688403464,41.5532279879229,41.1782661290284,40.7706865144647,40.8466805532573,40.6402696551025,40.8308468828645,40.7912284881606,41.7529064941394,41.7245180715329,41.8150987482333,41.8269366410328,41.3383945986464
1080,41.527809773381,41.1729171975704,41.0196593059412,40.7907329064762,0,0,1,0,40.8421418064634,41.8420009193883,40.3398310543531,41.3013484130532,41.6782172145388,41.5495970604316,41.531724973132,41.1608114309632,40.762397746942,40.8246255091879,40.6176094408341,40.8278533910196,40.7902164756044,41.7054783165011,41.6638665974426,41.7593090618356,41.8093145995362,41.2804370049127
1110,41.5053782038412,41.1223325954179,41.035132593006,40.7838540531133,0,0,1,0,40.8766225648555,41.7906780651348,40.34150267211,41.2675886993136,41.6039798018377,41.5479136279902,41.5008011994216,41.1494584683405,40.7477578640651,40.8079828681193,40.609622867699,40.8244035763665,40.7865545396194,41.6585918444837,41.6097220113733,41.7026700701802,41.783356115432,41.2382197676857
1140,41.4838923450664,41.0950212751557,41.0431963254967,40.7704968882646,0,0,1,0,40.907253412946,41.7379890333801,40.3403415689281,41.2472584200476,41.5330426830702,41.5498202277197,41.4639632180917,41.1368797878063,40.7360718371433,40.7939374676386,40.6031556165098,40.8142935994122,40.7766218238688,41.6071120798589,41.5652042052032,41.6474945971175,41.7501566169888,41.208702833085
1170,41.4626527895429,41.0778754592344,41.0395459437316,40.7540697783846,0,0,1,0,40.956491675141,41.6841095995728,40.3392301265839,41.2416002804,41.4700764697271,41.5525765905133,41.431728620987,41.1215938781738,40.7252755296024,40.7664634833778,40.5865380011824,40.793263756562,40.7597174559805,41.5528976402875,41.5290538364682,41.5954015509814,41.7110179097903,41.185181590016
1200,41.4406788517301,41.0914451821229,41.0212043846103,40.7407660610533,0,0,1,0,41.0060367552912,41.6305062835188,40.3395024547769,41.2517617321404,41.4176385503513,41.5524726533071,41.4145462613386,41.1048698658504,40.7075634586847,40.7384489388793,40.5709276078443,40.7679951558014,40.7355053209797,41.4937695519399,41.499421961627,41.5473225933498,41.6741766195322,41.1638655553472
1230,41.4167068428302,41.0939344653738,40.9922213476702,40.7303342058163,0,0,1,0,41.0269875221191,41.5799816787438,40.3390894639416,41.2707621907661,41.3766590872569,41.5477177836158,41.410756314274,41.0874354941237,40.6828457113002,40.7140640319515,40.5643869386672,40.750417935343,40.7109842697595,41.4340951815078,41.4716939856827,41.5042756829176,41.6348951578449,41.1434898325109
1260,41.3898651954401,41.0842216158029,40.959467805848,40.7240135318269,0,0,1,0,41.0304688807926,41.5347922885783,40.336906156432,41.2908529405485,41.3465345023434,41.5371734565018,41.4109098490759,41.0685188261486,40.6608627135372,40.6908856987231,40.565546619525,40.7382552412209,40.6956324410442,41.3754889001894,41.4400919104931,41.4669133456983,41.5927901970709,41.1222348228141
1290,41.3604382550941,41.0597087680791,40.920553277214,40.715414676752,0,0,1,0,41.0252636003495,41.4960698967141,40.3349002211184,41.3062539138961,41.3269066724914,41.5210982253039,41.4018112214934,41.0470667400892,40.6467201171672,40.672007765561,40.5673196281477,40.7239556769557,40.6841382914557,41.3222116030372,41.4012265868453,41.4352011863609,41.5430624828448,41.1028767517254
1320,41.330431521475,41.0294860410608,40.87794911639,40.7032489935986,0,0,1,0,41.0164464541775,41.4635130495934,40.333546422542,41.3111176275388,41.3147527477814,41.5004891734951,41.374464586062,41.0236693543224,40.6386581603286,40.6621898530198,40.566385890707,40.7038605650452,40.670342723695,41.2723858164479,41.3582537558308,41.4086219849557,41.4853161339865,41.0829263994207
1350,41.3029715316049,41.0066235476882,40.8404502178507,40.6864663421453,0,0,1,0,41.0065069339749,41.4360279499564,40.3306882209536,41.3059405840325,41.3072661076262,41.4771995155089,41.3286159053745,40.9994848311604,40.6325055006399,40.6609389256228,40.5615242591494,40.6814586936985,40.6537532149487,41.2242185399602,41.316751718862,41.3863033870253,41.4166426783458,41.0604939562775
1380,41.2800119496205,40.9943194300052,40.8141083831241,40.6692754493697,0,0,1,0,40.9977142978279,41.4126424697798,40.3286416811188,41.2932497280466,41.3023671292233,41.4528766666117,41.2694692043266,40.9759525348686,40.6237467267506,40.6615613051244,40.5522975115295,40.6637005023668,40.6395974556117,41.1783508137664,41.2817898844799,41.3671209853578,41.3395025338024,41.0359597671772
