,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,sum,mean
baseline,10.47542455,7.285623939,6.494535291,5.193698897,4.925677292,3.948534647,4.026924348,3.273930372,3.293337584,2.701288105,2.472645709,2.084366418,1.903340122,1.827008509,1.636951296,1.498077512,1.390133565,1.286963841,1.206010519,1.140948378,1.083356492,1.011842185,0.927811682,0.866167927,0.816235796,0.777944597,0.742402321,0.708316943,0.676656332,0.647045006,0.643429163,0.639945561,0.637407059,0.635485309,0.633921529,0.632728807,0.631918817,0.631308313,0.630864766,0.630542398,0.630340354,0.630211364,0.63013596,0.630090769,0.630056159,0.630024679,0.630015874,0.63004298,0.630107995,0.630201445,0.630310688,89.60229017,1.75690765
baselinepoints,10.47542455,9.572791125,7.451558091,6.587819724,5.728080353,5.170434426,4.934263923,4.744491781,4.640927021,4.46529311,4.13415927,3.833313208,3.572955545,3.356175338,3.147912126,2.964275178,2.76966504,2.555002052,2.33971758,2.151950013,1.985239461,1.826761691,1.677105487,1.541613434,1.424164301,1.32079917,1.225584651,1.140739927,1.066839642,1.002596953,0.945193603,0.971804694,0.980787489,0.984488643,0.894897591,0.899585514,0.903911318,0.909402326,0.913371413,0.916115787,0.917972671,0.919349363,0.920456223,0.921351794,0.922125704,0.922736169,0.923158191,0.9234089,0.923498108,0.923431933,0.923235918,128.2679375,2.515057599
power1,10.47542455,9.572791125,7.451558091,6.587819724,5.728080353,5.170434426,4.934263923,4.744491781,4.640927021,4.46529311,4.13415927,3.833313208,3.572955545,3.356175338,3.147912126,2.964275178,2.76966504,2.555002052,2.33971758,2.151950013,1.985239461,1.826761691,1.677105487,1.541613434,1.424164301,1.32079917,1.225584651,1.140739927,1.066839642,1.002596953,0.945193603,0.893352041,0.844997801,0.799999512,0.758289686,0.720418659,0.685868985,0.6546115,0.625975398,0.599756161,0.575285011,0.552610084,0.53161693,0.51241761,0.494689604,0.478475987,0.463610636,0.450007766,0.437458806,0.426056711,0.415619511,121.6739662,2.385764043
power2,10.47542455,8.323031555,5.958429909,4.783498606,3.941928006,3.690314377,3.429327084,3.068475526,2.81244807,2.47743623,2.1522369,1.850615326,1.65005879,1.448724118,1.267406082,1.121585834,0.979963511,0.865704963,0.786136892,0.706529566,0.6347681,0.584326538,0.536191736,0.491575448,0.457118691,0.431565973,0.409591538,0.391194312,0.376212494,0.36356815,0.353338044,0.345110187,0.338364629,0.3326762,0.327891569,0.323851693,0.320434616,0.31752121,0.315044826,0.312926572,0.311121135,0.309593147,0.308318394,0.307249998,0.306350207,0.305588335,0.304942514,0.304396889,0.303936978,0.303545385,0.303210311,73.12080172,1.43374121
power3,10.47542455,7.285623939,5.21345279,3.68411597,2.804717223,2.63005531,2.226455129,1.914485061,1.64855137,1.371328415,1.123592502,0.969931038,0.834688276,0.723782701,0.637252114,0.552073063,0.492757509,0.453833545,0.421141964,0.39272251,0.371506402,0.355528568,0.341348638,0.330860685,0.322433257,0.315602155,0.311194697,0.307675745,0.304835631,0.302665877,0.301009374,0.299726983,0.298740882,0.298009533,0.297440692,0.296964808,0.29659016,0.296299286,0.296069879,0.295887287,0.295745666,0.295641965,0.295558153,0.29548391,0.295416791,0.295358894,0.295317345,0.295288083,0.295264594,0.295244805,0.295233381,55.34592911,1.085214296
dqn,10.47542455,7.285623939,5.21345279,3.68411597,2.804717223,2.63005531,2.226455129,1.914485061,1.64855137,1.371328415,1.123592502,0.969931038,0.834688276,0.723782701,0.637252114,0.552073063,0.492757509,0.453833545,0.421141964,0.39272251,0.371506402,0.355528568,0.341348638,0.330860685,0.322433257,0.315602155,0.311194697,0.307675745,0.304835631,0.302665877,0.301009374,0.299726983,0.298740882,0.298009533,0.297440692,0.296964808,0.29659016,0.296299286,0.296069879,0.295887287,0.295745666,0.295641965,0.295558153,0.29548391,0.295416791,0.295358894,0.295317345,0.295288083,0.295264594,0.295244805,0.295233381,55.34592911,1.085214296
our approach,10.47542455,7.953283541,5.718625551,4.441670103,3.527443251,3.32405145,3.010185886,2.834176195,2.485490351,2.250577384,2.002335582,1.849831154,1.678087437,1.546750289,1.414654591,1.26530509,1.176885789,1.089873501,1.02480558,0.962422143,0.906621546,0.856564923,0.810453586,0.757680756,0.708486453,0.673265477,0.672652223,0.640997873,0.653370004,0.602056965,0.594610674,0.540523293,0.537196813,0.506155292,0.489265755,0.485349301,0.480177684,0.474273569,0.471622782,0.471613791,0.469929647,0.466330643,0.461228569,0.455409725,0.448472374,0.442009169,0.437001733,0.433632385,0.431066531,0.414764961,0.407949855,77.23261377,1.514364976
baseline,0.0025,0.04,0.015,0.0275,0.015,0.0275,0.015,0.0275,0.015,0.0275,0.015,0.0275,0.015,0.015,0.0275,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.59,0.011568627
baselinepoints,0.0025,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0025,0.0025,0.0025,0.015,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.515,0.010098039
power1,0.0025,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.7525,0.014754902
power2,0.0025,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,1.3775,0.027009804
power3,0.0025,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,2.0025,0.039264706
dqn,0.0025,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,2.0025,0.039264706
our approach,0.0025,0.031666667,0.031666667,0.031666667,0.031666667,0.031666667,0.031666667,0.023333333,0.023333333,0.023333333,0.023333333,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.006666667,0.015,0.006666667,0.015,0.006666667,0.015,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.7025,0.01377451
baseline,2.02E-28,5.154475553,4.597168379,4.580689162,4.366724376,4.968619414,4.278726182,3.378211209,2.626916424,2.238941035,1.48471552,1.258967661,0.946641858,0.690382808,0.593458347,0.481985179,0.394280933,0.326653974,0.267526012,0.205109837,0.143532639,0.107869747,0.087964854,0.068882126,0.056799404,0.049478022,0.043594779,0.036861911,0.03025072,0.024877108,0.015860104,0.011269492,0.008559018,0.006810768,0.005682531,0.004877384,0.004301005,0.003889132,0.003580043,0.003343694,0.003156251,0.003004145,0.002878006,0.002771394,0.002681425,0.002603707,0.002535836,0.002476601,0.002424532,0.002377246,0.002333438,43.58772092,0.854661195
baselinepoints,2.02E-28,1.660313989,5.414539318,2.101426517,0.735497941,0.475550974,0.602259273,0.625337737,0.632146949,0.484499573,0.418938704,0.442669163,0.385477012,0.293528626,0.240730567,0.234426898,0.213019141,0.172777051,0.132235775,0.102892694,0.086424003,0.075106515,0.064237976,0.055841124,0.048441136,0.040071968,0.033120574,0.027697177,0.02347722,0.020099159,0.017463216,0.006523687,0.006417427,0.006406283,0.023432855,0.017046945,0.011978967,0.008516977,0.006818039,0.006035219,0.005643215,0.005424289,0.005291885,0.005211664,0.005154413,0.005121218,0.005093993,0.005062851,0.005032152,0.005007855,0.004991028,16.01045893,0.313930567
power1,2.02E-28,1.660313989,5.414539318,2.101426517,0.735497941,0.475550974,0.602259273,0.625337737,0.632146949,0.484499573,0.418938704,0.442669163,0.385477012,0.293528626,0.240730567,0.234426898,0.213019141,0.172777051,0.132235775,0.102892694,0.086424003,0.075106515,0.064237976,0.055841124,0.048441136,0.040071968,0.033120574,0.027697177,0.02347722,0.020099159,0.017463216,0.015104813,0.012915249,0.0109235,0.009226082,0.007861762,0.006731626,0.005825667,0.005061842,0.004412148,0.003846386,0.003346713,0.00291927,0.002559988,0.002247244,0.001969574,0.001711571,0.001479808,0.001272377,0.001092553,0.000931399,15.96168754,0.312974266
power2,2.02E-28,4.080686553,3.787763539,1.24493179,0.437572784,0.427361391,0.392421949,0.451305822,0.352312305,0.301723287,0.177628369,0.092379558,0.061448657,0.045375941,0.035699368,0.027756593,0.018752264,0.009918027,0.006967501,0.005348325,0.004471637,0.002975399,0.00183528,0.001179766,0.000936604,0.000689202,0.000452217,0.000292733,0.000192717,0.00014229,0.000108266,7.98E-05,5.92E-05,4.50E-05,3.48E-05,2.67E-05,2.01E-05,1.48E-05,1.09E-05,7.94E-06,5.79E-06,4.21E-06,3.05E-06,2.22E-06,1.62E-06,1.17E-06,8.46E-07,6.13E-07,4.51E-07,3.37E-07,2.57E-07,11.97094991,0.234724508
power3,2.02E-28,5.154475553,3.091729662,0.947483934,0.181777017,0.273115446,0.146829249,0.144925044,0.106733513,0.069908027,0.020993962,0.013294874,0.008590165,0.006823726,0.005022562,0.002537848,0.000948863,0.000713885,0.000549281,0.000398863,0.000229572,0.000110168,6.72E-05,3.25E-05,1.84E-05,1.19E-05,5.90E-06,2.58E-06,1.21E-06,5.65E-07,2.56E-07,1.57E-07,1.74E-07,2.49E-07,3.69E-07,4.16E-07,4.74E-07,5.23E-07,5.53E-07,5.85E-07,6.18E-07,6.55E-07,6.99E-07,7.22E-07,7.38E-07,7.28E-07,7.20E-07,7.24E-07,7.36E-07,7.40E-07,7.42E-07,10.17734314,0.199555748
dqn,2.02E-28,5.154475553,3.091729662,0.947483934,0.181777017,0.273115446,0.146829249,0.144925044,0.106733513,0.069908027,0.020993962,0.013294874,0.008590165,0.006823726,0.005022562,0.002537848,0.000948863,0.000713885,0.000549281,0.000398863,0.000229572,0.000110168,6.72E-05,3.25E-05,1.84E-05,1.19E-05,5.90E-06,2.58E-06,1.21E-06,5.65E-07,2.56E-07,1.57E-07,1.74E-07,2.49E-07,3.69E-07,4.16E-07,4.74E-07,5.23E-07,5.53E-07,5.85E-07,6.18E-07,6.55E-07,6.99E-07,7.22E-07,7.38E-07,7.28E-07,7.20E-07,7.24E-07,7.36E-07,7.40E-07,7.42E-07,10.17734314,0.199555748
our approach,2.02E-28,4.397197464,3.05850227,1.306347594,0.593305383,0.490051541,0.339994193,0.129688597,0.181273667,0.255358348,0.336358759,0.341383606,0.33371489,0.337842941,0.354094157,0.34780589,0.294783205,0.251996004,0.237245726,0.222822822,0.179112687,0.146539508,0.117944987,0.097025822,0.081836726,0.074179747,0.054758094,0.060285135,0.058609952,0.051936138,0.042684762,0.033306806,0.029406589,0.023429789,0.016892688,0.012996319,0.010955074,0.010153556,0.009734462,0.009214551,0.008745037,0.008383009,0.008054588,0.007657543,0.007055392,0.006481944,0.006150264,0.006014312,0.005666789,0.006624493,0.00218052,15.00378434,0.29419185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75690765,2.515057599,2.385764043,1.43374121,1.085214296,1.085214296,1.514364976,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.515,0.7525,1.3775,2.0025,2.0025,0.7025,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.854661195,0.313930567,0.312974266,0.234724508,0.199555748,0.199555748,0.29419185,
