,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,sum,mean
baseline,10.475424554968004,7.285623939435935,6.494535290644554,5.193698897455919,4.9256772921671335,3.9485346471309333,4.026924348317493,3.273930371900228,3.2933375844117205,2.7012881046614807,2.472645708688274,2.0843664176322387,1.903340121655114,1.8270085086195873,1.636951296193007,1.498077512492028,6.3856290382374254,4.641085060935666,4.4082420523641925,3.883847324454106,3.672899258398466,3.074832543433193,2.863913077658853,2.649036669269215,2.221880700491187,2.1042749057384076,1.8044864731046668,1.662055595504125,1.5586058609370794,1.4557296943546385,1.3607227734256937,1.271887719117899,1.1927782766821275,1.1151933815317463,1.0418002122128924,0.9780316156852521,0.9218086792286878,0.8705864577038795,0.823868497534041,0.781541898817467,0.7432669558325268,0.7066712741731147,0.701324323019026,0.705970703343605,0.7120409960544062,0.7118184036917332,0.7079526569505461,0.7050037213485728,0.7040646308511398,0.7041240981888587,0.7043476915443458,123.59268781819242,2.423386035650832
power1,10.475424554968004,9.5727911254105,7.451558090627132,6.587819724245913,5.7280803529587745,5.170434425915628,4.9342639225981735,4.744491781033782,4.64092702065522,4.465293109648894,4.1341592703219785,3.8333132078340344,3.5729555454210806,3.356175337765313,3.147912126355752,2.9642751781036734,6.831256175181374,5.7696169656048095,5.764018362973742,5.1985278678800535,4.67052627233616,4.280881164063999,4.040285282639885,3.801182155902714,3.577124108996787,3.310292423662828,3.0756760820285733,2.8849523467831326,2.70806118779214,2.5493942128783478,2.391882175894913,2.237075145882287,2.0682034250791257,1.9183512106620981,1.7975116575568724,1.689138111054927,1.5830393413155468,1.4760708839863719,1.3676279126668731,1.2700743737716251,1.1813022093508332,1.101341140969907,1.0280904360914813,0.9618626322000732,0.9039332011428594,0.8533064765662729,0.8072354247710536,0.7647902886991598,0.7256328104997674,0.6897524660086527,0.6570426750810924,170.7149333818402,3.347351634938043
power2,10.475424554968004,8.323031555188358,5.958429909378574,4.783498606478093,3.9419280060098276,3.690314377384267,3.429327084334393,3.0684755256184664,2.812448070102766,2.477436230240833,2.1522369003699735,1.8506153255074078,1.650058789619294,1.4487241178039654,1.2674060816223394,1.1215858344531406,5.6265604131360245,4.296255898953901,3.936385839386119,3.5599202802993215,3.2070388865249653,2.7488751144370336,2.3701615166985737,2.062414861250419,1.823189062663665,1.6031373736350276,1.4182020949866323,1.2701805327462394,1.125695219949374,0.9931955718446062,0.8805306426101462,0.7846340249930468,0.7040437070993733,0.6391582139758649,0.585212299873461,0.5410330804871667,0.5044781699175739,0.4733839056396737,0.4468664219741882,0.4243173769968616,0.4054177123390673,0.3894924104982593,0.37603308228802634,0.3646473751738938,0.3550732639273851,0.3470657668759538,0.34035718090822703,0.3346554275597261,0.32976225304900597,0.32553828695551534,0.3218674442658269,104.36572168299986,2.0463866996666638
power3,10.475424554968004,7.285623939435935,5.213452790319921,3.684115969849533,2.8047172228363384,2.6300553102368265,2.2264551286535,1.9144850607951018,1.6485513702826002,1.37132841521646,1.1235925020098187,0.969931037954207,0.8346882762430667,0.723782701423481,0.6372521138927728,0.5520730633368871,5.423741552666512,4.126223438140214,3.329425138158706,2.828153194509361,2.405379386053866,1.9384883883718862,1.5990706365342413,1.3466681439473736,1.136842372000894,0.9521411335050071,0.8104890287483144,0.7025870491366802,0.6153762726004468,0.5483953252811077,0.49432260385567306,0.45047189156735307,0.4179193941661344,0.39249750738344746,0.3711586591657465,0.3543038637506337,0.341535190446938,0.3317459009614401,0.32398340464621356,0.31777157446388743,0.3128509705030339,0.309019588444374,0.3060561321036346,0.30374613300851316,0.30194298992152635,0.3005260607607321,0.2993988460101216,0.2984833787131862,0.29775320839711317,0.2971770709112017,0.29672854448143415,78.9779034307714,1.5485863417798316
our approach,10.475424554968004,7.953283540962831,5.718625550517181,4.441670102695896,3.5274432506711335,3.3240514499059395,3.0101858855185597,2.834176195394435,2.48549035075592,2.2505773839041066,2.0023355815525137,1.8498311543612327,1.6780874372136532,1.5467502893187188,1.4146545911940531,1.265305089949174,6.317436468341301,4.701321108260453,4.566646395035021,3.4875696418957194,2.6765733560563323,2.2229862030826855,2.3854660520478603,2.5245751339738804,2.27426489225688,1.7753160154207939,1.7073047735510665,1.6527266029437546,1.5715707130969192,1.3727018368530726,1.3110734510268334,1.22368469870394,1.1455771826759602,1.0592912931753464,0.9767563418972335,0.9068294553945871,0.8522273095982413,0.8077075675252791,0.7661895847696594,0.7257079850270937,0.6868011518196663,0.6496713569246869,0.61597428868378,0.596934523230793,0.5664274380345532,0.5594966695623659,0.5428107603940546,0.5328639000809194,0.5278583515950388,0.5222762797563196,0.5187323302358062,111.10924352181127,2.1786126180747307
baseline,0.0025,0.04,0.015,0.0275,0.015,0.0275,0.015,0.0275,0.015,0.0275,0.015,0.0275,0.015,0.015,0.0275,0.015,0.015,0.0275,0.015,0.0275,0.015,0.0275,0.015,0.015,0.0275,0.015,0.0275,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.8024999999999999,0.015735294117647056
power1,0.0025,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.7524999999999998,0.01475490196078431
power2,0.0025,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,0.0275,1.3775000000000002,0.02700980392156863
power3,0.0025,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,2.0025000000000004,0.03926470588235295
our approach,0.0025,0.03166666666666667,0.03166666666666667,0.03166666666666667,0.03166666666666667,0.03166666666666667,0.03166666666666667,0.023333333333333334,0.023333333333333334,0.023333333333333334,0.023333333333333334,0.015,0.015,0.015,0.015,0.015,0.015,0.03166666666666667,0.015,0.03166666666666667,0.03166666666666667,0.03166666666666667,0.006666666666666667,0.006666666666666667,0.023333333333333334,0.023333333333333334,0.015,0.015,0.015,0.019166666666666665,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.8900000000000002,0.017450980392156867
