"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,50.475424554968,50.475424554968,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,49.1461048285453,49.5978917210805,50.1196289384645,50.1783558412767,0,3,3,3,40.3197149522441,41.3886764856422,40.3298456395158,48.1970097526183,46.2377480140132,43.9898138442804,47.5283969379419,49.6587522679207,48.4910864130764,46.1882372567894,43.5323534894197,46.8695667202993,49.1583536285777,49.6153533120978,46.7915191477575,43.0709694341817,49.4865737051307,50.4686251674343
90,45.0888408445286,47.1869137615693,48.121494376168,48.0668297911064,0,3,3,3,40.3407779197002,41.4299943312959,40.4839099220635,45.2649279196916,44.3269170484807,43.8153546382973,45.8148902672179,46.6137159966852,45.6427235052174,44.7421726350555,42.253796277786,45.6490364413136,46.3837683803921,46.8510705508711,44.9171928743379,41.4768264693564,45.5272415897805,48.9221572603156
120,42.2499698207047,45.2893582396212,45.9907136106033,46.3753653245347,0,3,3,3,40.3566003599203,41.5559791078358,40.4399260987572,43.6917461092938,43.0366122507185,42.8824718533451,45.1821170366611,45.0020395151073,43.7897079385965,43.9672984627663,41.9798678107007,44.2485117899873,43.9620990232145,43.5595515786089,43.9476071584184,41.5576343491639,43.688291068156,44.7661836030047
150,42.4904603970893,43.6741767842274,44.6953968041634,44.5712626864479,0,2,2,2,40.3119020715142,42.3648337555692,40.5689202563825,43.3954171755204,43.0692245447926,43.292819103828,43.4842688957975,44.1625759164206,43.0193607590268,43.0682561235241,42.6942170009584,43.1645680090494,43.2377836484479,43.1693030833998,42.5201674276955,42.5819459283716,42.6237997165569,44.1081587300382
180,42.4438142140682,42.7222920176649,43.629162501863,43.5157878412579,0,2,2,2,40.3190633832134,41.661735638811,40.3158216156211,43.0474455389325,43.0702011504866,43.5263215511057,43.9627993049945,44.3093593196814,42.6380358364526,42.694201622902,42.033319602941,42.7993344017385,42.5812935334171,42.612608887759,42.7489000335266,41.8748478835689,43.496003467515,43.2129328069555
210,41.8942848311808,42.405441545486,42.9610221783846,42.7472940889704,0,2,2,2,40.3259721093335,41.8453118503605,40.3872299408084,42.6016169554951,42.7370763151917,43.0296518857868,42.9863612631795,43.1853548542197,42.2697434590078,42.4852562536637,41.6777517410087,42.450145564211,42.35618666379,42.7390759431199,42.9249580513205,41.8478163691484,43.608938265323,43.0304207452692
240,41.9630350303912,42.1500490060052,42.7232515451406,42.4268962065945,0,1,1,1,40.4039790922735,41.9697257327348,40.5773787199318,42.4232245715688,42.5491209589422,42.2035340037554,43.102336762687,42.8306416636183,42.2651910904508,42.345592968821,41.8089322996422,42.2693305798494,42.1967863401737,42.794002001363,42.6923704793243,42.0114930942344,43.5412385298177,43.3175201326334
270,41.4962233190794,42.1123602840698,42.6258241635877,42.2840615619852,0,1,1,1,40.3627565517599,41.5950905641959,40.4373864548746,42.3344907036794,42.3812456814152,41.9106737172427,42.9408338128075,42.9441319174491,42.123573663084,42.2647743005838,41.6534966756388,42.4839020592925,42.1489490525331,42.6801039273034,42.6317804331101,41.7665346992949,43.4359382996156,43.4642123566934
300,41.3324454625386,41.9911999498043,42.4216652738727,42.1560788873772,0,1,1,1,40.3258721125078,41.3897421264576,40.3628134732491,42.1601344002428,42.2163176978265,41.8301340301332,42.6856514588223,42.8382622311519,42.0885548417945,42.2860622038788,41.4202358416245,42.6602330757494,42.0932793439274,42.5153922552357,42.5423046826775,41.5412627214038,43.3136687691337,43.1914105329908
330,41.4421327597908,41.8800772355207,42.1279091789849,41.93748702058,0,1,1,1,40.3182249115865,41.123319455329,40.389335608577,42.0478697534203,41.9977154768005,41.7237214411937,42.5112557180013,42.6855157583684,42.0788865929018,42.1678723817183,41.5162713006656,42.5395619989355,42.0916338103597,42.2886879248898,42.4085884133948,41.16493424361,43.1934343867602,43.0728235567412
360,41.1254333194588,41.7339229867235,41.8743042806025,41.9363728526623,0,1,1,1,40.3131174003722,41.091583925217,40.4003534285666,41.8970086525479,41.6236517365872,41.5850467569337,42.3460938048944,42.4768234262784,41.9877752616608,42.0647193505003,41.5471797630901,42.1769726023235,42.0308569026841,41.9763489731545,42.1495931676121,41.1021396286933,42.3442589818267,42.5782470490493
390,41.0008326911924,41.4755211173127,41.7698433976825,41.918160412688,0,1,1,1,40.3135390250897,41.2192938836429,40.3818171787738,41.7712346998777,41.5805084478293,41.5174250905561,42.044021317303,42.2611356711321,41.916368245459,41.9367646628926,41.4372544167638,42.0433956556154,41.8151857708496,41.7958389364378,41.9486530947149,41.2492793740008,41.8234196770905,41.9752387767925
420,40.9669395498035,41.3151796489554,41.6968617459217,41.8111863692342,0,1,1,1,40.3121597819469,41.0939877544075,40.3691385463077,41.7352366489219,41.6046532446761,41.4899047531294,41.971028408262,42.0608622660535,41.7653141648131,41.6745448972492,41.2855452062767,41.8452301829996,41.7247103416335,41.7327927821749,41.8073470429354,41.1576685129095,41.8771931373605,41.8237131581952
450,40.8262641715936,41.2661667465191,41.6422696143831,41.6899779102917,0,1,1,1,40.3126076778741,40.9016272907839,40.3672859052465,41.6068399159848,41.6100449884077,41.4494442192278,41.9243303603832,41.8703909338283,41.5246170683534,41.4094926348056,41.1966643185175,41.7683834256495,41.693874357754,41.6559252252306,41.7412972707583,40.9337459370391,41.8727197833179,41.9192148217236
480,40.8269911291313,41.232065047696,41.5645057413064,41.5749245848892,0,1,1,1,40.31088004635,40.9457273845546,40.3650731158472,41.5336889828989,41.5463708020134,41.2680745526964,41.7508958466844,41.675293209197,41.348364498526,41.4113440364091,41.0885965708559,41.676893610053,41.5967109012747,41.664370963045,41.711774168258,40.958279135554,41.9309472231631,42.0077506151202
510,55.6020799772437,50.10302139175,43.2563816143738,47.2297970239571,1,1,1,1,40.4139963053046,41.5421045554782,40.3946497796328,51.2661981084343,53.4293405116939,54.9252524977796,53.5217452080923,52.3045122246574,41.6074999628181,41.8088113913937,41.6205223701681,43.3894111804961,45.5217749717077,42.1025430434562,42.5802637687387,41.6360800195573,42.8374765975657,43.1257351320899
540,45.7002661815005,48.3440746403162,43.2874388223241,45.361788704968,0,3,3,3,40.3046313020786,40.8907298544749,40.3998601151576,49.3076150315676,48.7691492632712,42.1826416167037,50.7454500341667,50.6036365592126,41.847760689107,42.151988240093,41.5598664137773,41.8599276727556,43.153241191153,41.8782529326633,41.9061244885468,40.9043374068289,42.6475907197211,42.8674299270435
570,44.6312779312648,46.5370455117692,42.3259264548212,44.1456382861141,0,2,2,2,40.3155362827656,41.8150494660961,40.7442828785386,47.384701413448,44.0562501498807,44.5604489123065,45.1261865262094,48.5051563641543,42.3241185559983,42.6301986559292,42.4121305799196,42.1348229347727,42.0552582433112,42.0888802653413,42.1737745698924,41.8106440905449,41.7641864998535,42.0041767845921
600,44.2786475448009,45.2154152356396,42.2404193276394,43.4218120410567,0,2,2,2,40.3043203234146,41.4953069746712,40.4174635501377,45.2530834812262,43.3338221561607,44.7871517784961,44.7190059256772,46.161045443398,42.6151054815073,42.8744623232683,42.2875433171003,42.6311538031485,42.4171695126362,42.451307186336,42.4020850313778,41.5314706168716,41.551795215186,41.6354654887928
630,43.8103525091539,44.0677620666022,42.0599472012743,43.2130271644413,0,2,2,2,40.3382754589654,41.2256784840732,40.4778390950332,43.9944924702832,43.7989370713656,44.0720292440782,44.4858398599591,44.6058296668303,42.7036811875414,42.8720078715822,41.9978503189495,42.5930311202118,42.9036648176006,42.2132818853809,42.2971592004072,41.2672945534926,41.5611414772096,41.5327460025734
660,43.391782343856,43.7066636141864,41.8913790983802,42.8282961938602,0,1,1,1,40.3121589972001,41.3994208683249,40.6230505921376,43.6628427066758,43.8178924255739,43.8426980508739,44.1394539823516,44.1596470327697,42.6159394473045,42.8162728844854,42.0650038498311,42.7662466816637,42.9758339170699,42.1643444763178,42.2602177037815,41.4379714014256,41.629663055037,41.6124231456554
690,42.5609857020218,43.5202825231292,41.7868548812655,42.6920919160463,0,1,1,1,40.3290314745941,41.0118849394729,40.4716666526322,43.6898824041013,43.3869487833631,42.9019732839229,44.1979697176516,43.9678407932127,42.4982928776509,42.690884975825,41.8702561495298,42.8474255829972,42.9517764033911,42.0100262501924,42.1242875409337,41.0538369047554,41.6178123627544,41.6021050749502
720,42.017380204569,43.3061422260202,41.6357996312715,42.5438171899896,0,1,1,1,40.3351183045969,40.866060325339,40.4797964219545,43.5699097903474,42.897323921173,42.3526392355103,43.984359062358,43.838819905229,42.3275671284233,42.4993640710709,41.8033948313783,42.6519058087124,42.693439311808,41.8323209509761,41.9979619689567,40.8867522356345,41.6124353831959,41.5605897051537
750,41.7528549445395,42.9982887307185,41.5063203082546,42.2112105379662,0,1,1,1,40.3195452244847,40.8885125423504,40.4712893258446,43.3180047746095,42.8977941320171,41.847970140435,43.6286065852561,43.7668795840702,42.2962877972058,42.3323097230317,41.9287494144956,42.4338512787085,42.3878671077134,41.7348268188773,41.8318480282143,40.8933527252873,41.5789389731677,41.4763303095396
780,41.6239826547849,42.6771321748673,41.3991115405771,41.9824792816813,0,1,1,1,40.3269067341597,40.9099883815964,40.4556527869958,43.0286504741092,42.9295894660767,41.7278711641199,43.2238560157144,43.512299029094,42.3572951132203,42.3226354293151,41.9409966752343,42.3036112599667,42.1717112304033,41.6624064980003,41.7137162095793,40.9163579337512,41.5049606626673,41.3888533482225
810,41.6889803338677,42.3241012971622,41.3513736947923,41.8816881191641,0,1,1,1,40.319229428603,40.8065940905954,40.4391362114992,42.6868795223931,42.6043895328728,41.7890747830164,43.1416393216806,43.1440343760862,42.0458003486022,42.0900186186508,41.5952936321624,42.2263602527273,42.1127938367207,41.5913714344393,41.6580008539632,40.8318666981265,41.3609876487514,41.3174135212614
840,41.7249452357149,42.0696419742712,41.3240186986501,41.8246628062479,0,1,1,1,40.3225104026832,40.8071730966644,40.4626569480764,42.3153920744926,42.5125234779306,42.0536137523255,42.9130698737185,42.7727753976072,41.7044018316111,41.6826814360315,41.411153945685,41.9586460191507,41.945479271264,41.5727850154043,41.621303832481,40.8311960372666,41.176572277764,41.2269228884302
870,41.689812759405,41.9286273783082,41.2790738101142,41.7614207533438,0,1,1,1,40.3182679201382,40.8551984637691,40.4385793843571,42.1565743945387,42.4436782481679,42.378368319859,42.5586009639254,42.445634041291,41.5370128432827,41.6098164495054,41.330719424578,41.7130666654955,41.7708937621293,41.5716024975602,41.5829473049994,40.8798694408146,41.1768422612413,41.1654837189417
900,41.5090219931996,41.8564947687889,41.2499363609946,41.667503918449,0,1,1,1,40.3173300708612,40.9015281658771,40.4151525970535,42.1042617489226,42.3102843013213,42.3941163688886,42.402107510684,42.1864998206441,41.6108656463639,41.7081659336931,41.2254072305726,41.708643571671,41.6951161408932,41.5723148735092,41.5466249279283,40.9364625089213,41.2250662872872,41.1801827465585
930,41.3042871797528,41.7929533135617,41.2410031294131,41.5492408849881,0,1,1,1,40.316275813041,40.8590753999477,40.4123475041973,42.0262323793108,42.1464003825557,42.0902083167241,42.2011712757133,41.9381788111228,41.5126555525159,41.5524112216818,41.1678978734806,41.6478190775628,41.7737313842044,41.4894613942381,41.5036477389911,40.901989970323,41.2100115171466,41.1763674319649
960,41.1959920832741,41.6906741541866,41.2280552462886,41.4494630745095,0,1,1,1,40.3193183839894,40.8327814358598,40.3986723381007,41.9123772921398,41.9898497257279,41.7637892397783,42.0180537469576,41.8307011584392,41.4183123006828,41.4203083677013,41.1100151341336,41.5051992653951,41.7217358144751,41.3562004877394,41.4303693363058,40.8704431814608,41.1644723516537,41.1388775212484
990,41.1162342504743,41.5657379357165,41.1830734098828,41.3636757039165,0,1,1,1,40.3137694789463,40.8278935036802,40.3895878819325,41.7844848128169,41.8549570400831,41.6173963496541,41.8699541092482,41.7435682792368,41.3441602970016,41.40975016374,41.0133771125107,41.3672938400712,41.4613851470922,41.2420804340089,41.3391533895811,40.8665665450087,41.1076981897843,41.0670010561844
1020,41.0739619580676,41.4533747805738,41.1352758291915,41.2775036584931,0,1,1,1,40.3144118099541,40.7653998612952,40.3966786632048,41.6510156751868,41.7270991749246,41.5810891003629,41.7399653627991,41.6531125280401,41.3066770517791,41.3693484377068,40.9272954627443,41.3057222585373,41.2654089429466,41.150519444629,41.2360539053756,40.7906649521849,41.0333977058429,40.9741004336283
1050,41.0244753424292,41.370581466542,41.0841753379783,41.1933857756793,0,1,1,1,40.3135527048111,40.7683433404726,40.4041700657282,41.535297898336,41.6038051285689,41.567007911864,41.6341986631157,41.5392673477694,41.2472228739888,41.2781687456362,40.8853540707307,41.2363544228689,41.1776767225694,41.0701026218768,41.1374165526749,40.7992076703407,40.9744672787619,40.9031214780894
1080,40.968693335978,41.302052059454,41.0399437366669,41.1186810400211,0,1,1,1,40.3129127109324,40.6588703606806,40.3923981724065,41.4440029562365,41.4873826614004,41.5566143242771,41.5207789499509,41.4157427573135,41.132022674833,41.1927951368811,40.8670553550807,41.160012378492,41.1003398725894,40.9942815960651,41.0524288551144,40.6747396667356,40.9394871981429,40.8655206659204
1110,40.9157433298221,41.2334334093587,40.9836327180923,41.0443335073478,0,1,1,1,40.3122133174508,40.6657113521078,40.3782291184793,41.3654342162124,41.3744665393693,41.4799561983428,41.3969719906184,41.2950571144434,41.0700808317496,41.1288376197696,40.8508941736912,41.084321504,41.0289605851406,40.9303211652585,40.9924733009988,40.6714641094354,40.900720649178,40.8390177525638
1140,40.8464228632521,41.160838705316,40.9220753320638,40.9763848790102,0,1,1,1,40.3120596213114,40.5694969204053,40.3635407903105,41.2813215197894,41.2701025657606,41.3820074649158,41.2911754971401,41.187447265706,41.0374815148067,41.0694847923794,40.8311398932456,41.0236954445854,40.9722178695828,40.8711994240322,40.9298860952553,40.5753254923245,40.856567664578,40.8106058034147
1170,40.7778489164306,41.0910731284494,40.8539179283971,40.9237888819662,0,1,1,1,40.3109414849415,40.5729151008255,40.3554188842522,41.1974996491917,41.1818323197524,41.245899115937,41.1985557510558,41.1081593291352,40.9814206707079,41.0133145688017,40.779094662755,40.9831983468881,40.9337545587239,40.8181996891553,40.8775031527116,40.5731489464682,40.8138324986161,40.7758506394824
1200,40.9721016928374,41.0306967224157,40.8209592802034,40.9098322425466,0,0,0,0,40.5374906623468,40.8106556326824,40.8526278985367,41.1446076896236,41.1264028321939,41.1562336435038,41.1419369651678,41.0851257386986,40.9480791541761,40.9712701556606,40.9442778432357,40.9639596187785,40.9298030747876,40.8152526312858,40.8550903981447,40.7964583324416,40.8055699321119,40.7835295938779
1230,41.0728542629857,41.0324324861243,40.8223964819317,40.9213407270454,0,0,0,0,40.984797889675,40.8431834743392,40.9495762465486,41.109092734236,41.0989745759443,41.1233306960221,41.1226727996091,41.0853636804847,40.9462480787351,40.9589099705172,40.9595396273884,40.956880587252,40.938828212446,40.8291916761626,40.8590515433783,40.8342204014009,40.8146321652563,40.801823534348
1260,41.1025030487152,41.0431851098483,40.8349622805672,40.9317109499001,0,0,0,0,41.0069063421577,40.8530615030033,40.9434174354911,41.088538756023,41.0859062940668,41.1129710236995,41.1134937499466,41.0883202266611,40.9507605821559,40.9566110943994,40.9539768206707,40.9546847505798,40.9494863426783,40.8403071431522,40.8605128533284,40.8465932329697,40.8246927394119,40.8157139081982
1290,41.1075081232781,41.048628335633,40.8449473576358,40.9400103577208,0,0,0,0,40.858256389328,40.8577018359718,40.9132267571778,41.0780631185081,41.0803736375972,41.1046661644347,41.1095404386404,41.0903884065679,40.9527822575316,40.9532492734727,40.9481591011412,40.9536196029325,40.9566904168289,40.8481387119339,40.8615574871882,40.851688287178,40.8329271651949,40.8250173583004
1320,41.1075329355076,41.0509390266988,40.851626820461,40.9463839325078,0,0,0,0,40.8416531440046,40.850959301765,40.9257910819533,41.0724556400447,41.077875833519,41.0991774982456,41.1070731160869,41.0908769848627,40.9516905040494,40.9483675699084,40.9436071916749,40.9521367913022,40.9599809566233,40.8540440309341,40.8622178820992,40.8506978822048,40.8382962421733,40.8311056442013
1350,41.1062923096019,41.0515068879549,40.8552592046555,40.9508544664402,0,0,0,0,40.7446074457211,40.8485321995958,40.9273350321315,41.069281123361,41.0766228268464,41.0966667081386,41.105405211634,41.0905099868462,40.9490157217407,40.9440677076968,40.9405780100828,40.9505353170163,40.9607252708664,40.8584384838384,40.8623820236144,40.8494395497985,40.841392803894,40.8355334857243
1380,41.1049286868245,41.0516075208361,40.8574467247881,40.9540332288424,0,0,0,0,40.7182510288684,40.8475151943842,40.9264780341695,41.0672270483654,41.0758553685125,41.0951564583446,41.1043089258982,41.0899248987376,40.945811276166,40.940671222666,40.9385953369671,40.949191551702,40.9600297139056,40.8612421882943,40.8619370843157,40.8491474379864,40.8431208856106,40.8388114561028
