,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,sum,mean
baseline,10.47542455,7.285623939,6.494535291,5.193698897,4.925677292,3.948534647,4.026924348,3.273930372,3.293337584,2.701288105,2.472645709,2.084366418,1.903340122,1.827008509,1.636951296,1.498077512,6.385629038,4.641085061,4.408242052,3.883847324,3.672899258,3.074832543,2.863913078,2.649036669,2.2218807,2.104274906,1.804486473,1.662055596,1.558605861,1.455729694,1.360722773,1.271887719,1.192778277,1.115193382,1.041800212,0.978031616,0.921808679,0.870586458,0.823868498,0.781541899,0.743266956,0.706671274,0.701324323,0.705970703,0.712040996,0.711818404,0.707952657,0.705003721,0.704064631,0.704124098,0.704347692,123.5926878,2.423386036
baselinepoints,10.47542455,9.572791125,7.451558091,6.587819724,5.728080353,5.170434426,4.934263923,4.744491781,4.640927021,4.46529311,4.13415927,3.833313208,3.572955545,3.356175338,3.147912126,2.964275178,6.831256175,5.769616966,5.764018363,5.198527868,4.670526272,4.280881164,4.040285283,3.801182156,3.577124109,3.310292424,3.075676082,2.884952347,2.708061188,2.549394213,2.391882176,2.237075146,2.068203425,1.918351211,1.797511658,1.689138111,1.583039341,1.476070884,1.367627913,1.270074374,1.181302209,1.101341141,1.028090436,0.961862632,0.975548654,0.980069482,0.981199882,0.981048461,0.979931554,0.978783143,0.977889376,172.1677106,3.375837463
power1,10.47542455,9.572791125,7.451558091,6.587819724,5.728080353,5.170434426,4.934263923,4.744491781,4.640927021,4.46529311,4.13415927,3.833313208,3.572955545,3.356175338,3.147912126,2.964275178,6.831256175,5.769616966,5.764018363,5.198527868,4.670526272,4.280881164,4.040285283,3.801182156,3.577124109,3.310292424,3.075676082,2.884952347,2.708061188,2.549394213,2.391882176,2.237075146,2.068203425,1.918351211,1.797511658,1.689138111,1.583039341,1.476070884,1.367627913,1.270074374,1.181302209,1.101341141,1.028090436,0.961862632,0.903933201,0.853306477,0.807235425,0.764790289,0.72563281,0.689752466,0.657042675,170.7149334,3.347351635
power2,10.47542455,8.323031555,5.958429909,4.783498606,3.941928006,3.690314377,3.429327084,3.068475526,2.81244807,2.47743623,2.1522369,1.850615326,1.65005879,1.448724118,1.267406082,1.121585834,5.626560413,4.296255899,3.936385839,3.55992028,3.207038887,2.748875114,2.370161517,2.062414861,1.823189063,1.603137374,1.418202095,1.270180533,1.12569522,0.993195572,0.880530643,0.784634025,0.704043707,0.639158214,0.5852123,0.54103308,0.50447817,0.473383906,0.446866422,0.424317377,0.405417712,0.38949241,0.376033082,0.364647375,0.355073264,0.347065767,0.340357181,0.334655428,0.329762253,0.325538287,0.321867444,104.3657217,2.0463867
power3,10.47542455,7.285623939,5.21345279,3.68411597,2.804717223,2.63005531,2.226455129,1.914485061,1.64855137,1.371328415,1.123592502,0.969931038,0.834688276,0.723782701,0.637252114,0.552073063,5.423741553,4.126223438,3.329425138,2.828153195,2.405379386,1.938488388,1.599070637,1.346668144,1.136842372,0.952141134,0.810489029,0.702587049,0.615376273,0.548395325,0.494322604,0.450471892,0.417919394,0.392497507,0.371158659,0.354303864,0.34153519,0.331745901,0.323983405,0.317771574,0.312850971,0.309019588,0.306056132,0.303746133,0.30194299,0.300526061,0.299398846,0.298483379,0.297753208,0.297177071,0.296728544,78.97790343,1.548586342
dqn,10.47542455,7.285623939,5.21345279,3.68411597,2.804717223,2.63005531,2.226455129,1.914485061,1.64855137,1.371328415,1.123592502,0.969931038,0.834688276,0.723782701,0.637252114,0.552073063,5.423741553,4.126223438,3.329425138,2.828153195,2.405379386,1.938488388,1.599070637,1.346668144,1.136842372,0.952141134,0.810489029,0.702587049,0.615376273,0.548395325,0.494322604,0.450471892,0.417919394,0.392497507,0.371158659,0.354303864,0.34153519,0.331745901,0.323983405,0.317771574,0.312850971,0.309019588,0.306056132,0.303746133,0.30194299,0.300526061,0.299398846,0.298483379,0.297753208,0.297177071,0.296728544,78.97790343,1.548586342
our approach,10.47542455,7.953283541,5.718625551,4.441670103,3.527443251,3.32405145,3.010185886,2.834176195,2.485490351,2.250577384,2.002335582,1.849831154,1.678087437,1.546750289,1.414654591,1.26530509,6.317436468,4.701321108,4.566646395,3.487569642,2.676573356,2.222986203,2.385466052,2.524575134,2.274264892,1.775316015,1.707304774,1.652726603,1.571570713,1.372701837,1.311073451,1.223684699,1.145577183,1.059291293,0.976756342,0.906829455,0.85222731,0.807707568,0.766189585,0.725707985,0.686801152,0.649671357,0.615974289,0.596934523,0.566427438,0.55949667,0.54281076,0.5328639,0.527858352,0.52227628,0.51873233,111.1092435,2.178612618
baseline,0.0025,0.04,0.015,0.0275,0.015,0.0275,0.015,0.0275,0.015,0.0275,0.015,0.0275,0.015,0.015,0.0275,0.015,0.015,0.0275,0.015,0.0275,0.015,0.0275,0.015,0.015,0.0275,0.015,0.0275,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.8025,0.015735294
baselinepoints,0.0025,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.665,0.013039216
power1,0.0025,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.7525,0.014754902
