t(C)	RH(%)	d(g/kga)	h(kJ/kga)
-60	0	0	-60.36
-60	1	0	-60.36
-60	2	0	-60.36
-60	3	0	-60.36
-60	4	0	-60.36
-60	5	0	-60.36
-60	6	0	-60.36
-60	7	0	-60.36
-60	8	0	-60.36
-60	9	0	-60.36
-60	10	0	-60.36
-60	11	0	-60.36
-60	12	0	-60.36
-60	13	0	-60.36
-60	14	0	-60.36
-60	15	0	-60.36
-60	16	0	-60.36
-60	17	0	-60.36
-60	18	0	-60.36
-60	19	0	-60.36
-60	20	0	-60.36
-60	21	0	-60.36
-60	22	0	-60.36
-60	23	0	-60.36
-60	24	0	-60.36
-60	25	0	-60.36
-60	26	0	-60.36
-60	27	0	-60.36
-60	28	0	-60.36
-60	29	0	-60.36
-60	30	0	-60.36
-60	31	0	-60.36
-60	32	0	-60.35
-60	33	0	-60.35
-60	34	0	-60.35
-60	35	0	-60.35
-60	36	0	-60.35
-60	37	0	-60.35
-60	38	0	-60.35
-60	39	0	-60.35
-60	40	0	-60.35
-60	41	0	-60.35
-60	42	0	-60.35
-60	43	0	-60.35
-60	44	0	-60.35
-60	45	0	-60.35
-60	46	0	-60.35
-60	47	0	-60.35
-60	48	0	-60.35
-60	49	0	-60.35
-60	50	0	-60.35
-60	51	0	-60.35
-60	52	0	-60.35
-60	53	0	-60.35
-60	54	0	-60.35
-60	55	0	-60.35
-60	56	0	-60.35
-60	57	0	-60.35
-60	58	0	-60.35
-60	59	0	-60.35
-60	60	0	-60.35
-60	61	0	-60.35
-60	62	0	-60.35
-60	63	0	-60.35
-60	64	0	-60.35
-60	65	0	-60.35
-60	66	0	-60.35
-60	67	0	-60.35
-60	68	0	-60.35
-60	69	0	-60.35
-60	70	0	-60.35
-60	71	0	-60.35
-60	72	0	-60.35
-60	73	0	-60.35
-60	74	0	-60.35
-60	75	0	-60.35
-60	76	0.01	-60.35
-60	77	0.01	-60.35
-60	78	0.01	-60.35
-60	79	0.01	-60.35
-60	80	0.01	-60.35
-60	81	0.01	-60.35
-60	82	0.01	-60.35
-60	83	0.01	-60.35
-60	84	0.01	-60.35
-60	85	0.01	-60.35
-60	86	0.01	-60.35
-60	87	0.01	-60.35
-60	88	0.01	-60.35
-60	89	0.01	-60.35
-60	90	0.01	-60.35
-60	91	0.01	-60.35
-60	92	0.01	-60.35
-60	93	0.01	-60.35
-60	94	0.01	-60.35
-60	95	0.01	-60.34
-60	96	0.01	-60.34
-60	97	0.01	-60.34
-60	98	0.01	-60.34
-60	99	0.01	-60.34
-60	100	0.01	-60.34
-59	0	0	-59.35
-59	1	0	-59.35
-59	2	0	-59.35
-59	3	0	-59.35
-59	4	0	-59.35
-59	5	0	-59.35
-59	6	0	-59.35
-59	7	0	-59.35
-59	8	0	-59.35
-59	9	0	-59.35
-59	10	0	-59.35
-59	11	0	-59.35
-59	12	0	-59.35
-59	13	0	-59.35
-59	14	0	-59.35
-59	15	0	-59.35
-59	16	0	-59.35
-59	17	0	-59.35
-59	18	0	-59.35
-59	19	0	-59.35
-59	20	0	-59.35
-59	21	0	-59.35
-59	22	0	-59.35
-59	23	0	-59.35
-59	24	0	-59.35
-59	25	0	-59.35
-59	26	0	-59.35
-59	27	0	-59.35
-59	28	0	-59.35
-59	29	0	-59.35
-59	30	0	-59.35
-59	31	0	-59.35
-59	32	0	-59.35
-59	33	0	-59.35
-59	34	0	-59.35
-59	35	0	-59.35
-59	36	0	-59.35
-59	37	0	-59.35
-59	38	0	-59.35
-59	39	0	-59.35
-59	40	0	-59.35
-59	41	0	-59.35
-59	42	0	-59.35
-59	43	0	-59.35
-59	44	0	-59.35
-59	45	0	-59.35
-59	46	0	-59.35
-59	47	0	-59.35
-59	48	0	-59.35
-59	49	0	-59.35
-59	50	0	-59.34
-59	51	0	-59.34
-59	52	0	-59.34
-59	53	0	-59.34
-59	54	0	-59.34
-59	55	0	-59.34
-59	56	0	-59.34
-59	57	0	-59.34
-59	58	0	-59.34
-59	59	0	-59.34
-59	60	0	-59.34
-59	61	0	-59.34
-59	62	0	-59.34
-59	63	0	-59.34
-59	64	0	-59.34
-59	65	0	-59.34
-59	66	0.01	-59.34
-59	67	0.01	-59.34
-59	68	0.01	-59.34
-59	69	0.01	-59.34
-59	70	0.01	-59.34
-59	71	0.01	-59.34
-59	72	0.01	-59.34
-59	73	0.01	-59.34
-59	74	0.01	-59.34
-59	75	0.01	-59.34
-59	76	0.01	-59.34
-59	77	0.01	-59.34
-59	78	0.01	-59.34
-59	79	0.01	-59.34
-59	80	0.01	-59.34
-59	81	0.01	-59.34
-59	82	0.01	-59.34
-59	83	0.01	-59.34
-59	84	0.01	-59.34
-59	85	0.01	-59.34
-59	86	0.01	-59.34
-59	87	0.01	-59.34
-59	88	0.01	-59.34
-59	89	0.01	-59.34
-59	90	0.01	-59.34
-59	91	0.01	-59.34
-59	92	0.01	-59.34
-59	93	0.01	-59.34
-59	94	0.01	-59.34
-59	95	0.01	-59.34
-59	96	0.01	-59.34
-59	97	0.01	-59.34
-59	98	0.01	-59.34
-59	99	0.01	-59.34
-59	100	0.01	-59.34
-58	0	0	-58.35
-58	1	0	-58.35
-58	2	0	-58.35
-58	3	0	-58.35
-58	4	0	-58.35
-58	5	0	-58.35
-58	6	0	-58.35
-58	7	0	-58.35
-58	8	0	-58.35
-58	9	0	-58.35
-58	10	0	-58.35
-58	11	0	-58.35
-58	12	0	-58.35
-58	13	0	-58.35
-58	14	0	-58.35
-58	15	0	-58.34
-58	16	0	-58.34
-58	17	0	-58.34
-58	18	0	-58.34
-58	19	0	-58.34
-58	20	0	-58.34
-58	21	0	-58.34
-58	22	0	-58.34
-58	23	0	-58.34
-58	24	0	-58.34
-58	25	0	-58.34
-58	26	0	-58.34
-58	27	0	-58.34
-58	28	0	-58.34
-58	29	0	-58.34
-58	30	0	-58.34
-58	31	0	-58.34
-58	32	0	-58.34
-58	33	0	-58.34
-58	34	0	-58.34
-58	35	0	-58.34
-58	36	0	-58.34
-58	37	0	-58.34
-58	38	0	-58.34
-58	39	0	-58.34
-58	40	0	-58.34
-58	41	0	-58.34
-58	42	0	-58.34
-58	43	0	-58.34
-58	44	0	-58.34
-58	45	0	-58.34
-58	46	0	-58.34
-58	47	0	-58.34
-58	48	0	-58.34
-58	49	0	-58.34
-58	50	0	-58.34
-58	51	0	-58.34
-58	52	0	-58.34
-58	53	0	-58.34
-58	54	0	-58.34
-58	55	0	-58.34
-58	56	0	-58.34
-58	57	0	-58.34
-58	58	0.01	-58.34
-58	59	0.01	-58.34
-58	60	0.01	-58.34
-58	61	0.01	-58.34
-58	62	0.01	-58.34
-58	63	0.01	-58.33
-58	64	0.01	-58.33
-58	65	0.01	-58.33
-58	66	0.01	-58.33
-58	67	0.01	-58.33
-58	68	0.01	-58.33
-58	69	0.01	-58.33
-58	70	0.01	-58.33
-58	71	0.01	-58.33
-58	72	0.01	-58.33
-58	73	0.01	-58.33
-58	74	0.01	-58.33
-58	75	0.01	-58.33
-58	76	0.01	-58.33
-58	77	0.01	-58.33
-58	78	0.01	-58.33
-58	79	0.01	-58.33
-58	80	0.01	-58.33
-58	81	0.01	-58.33
-58	82	0.01	-58.33
-58	83	0.01	-58.33
-58	84	0.01	-58.33
-58	85	0.01	-58.33
-58	86	0.01	-58.33
-58	87	0.01	-58.33
-58	88	0.01	-58.33
-58	89	0.01	-58.33
-58	90	0.01	-58.33
-58	91	0.01	-58.33
-58	92	0.01	-58.33
-58	93	0.01	-58.33
-58	94	0.01	-58.33
-58	95	0.01	-58.33
-58	96	0.01	-58.33
-58	97	0.01	-58.33
-58	98	0.01	-58.33
-58	99	0.01	-58.33
-58	100	0.01	-58.33
-57	0	0	-57.34
-57	1	0	-57.34
-57	2	0	-57.34
-57	3	0	-57.34
-57	4	0	-57.34
-57	5	0	-57.34
-57	6	0	-57.34
-57	7	0	-57.34
-57	8	0	-57.34
-57	9	0	-57.34
-57	10	0	-57.34
-57	11	0	-57.34
-57	12	0	-57.34
-57	13	0	-57.34
-57	14	0	-57.34
-57	15	0	-57.34
-57	16	0	-57.34
-57	17	0	-57.34
-57	18	0	-57.34
-57	19	0	-57.34
-57	20	0	-57.34
-57	21	0	-57.34
-57	22	0	-57.34
-57	23	0	-57.34
-57	24	0	-57.34
-57	25	0	-57.34
-57	26	0	-57.34
-57	27	0	-57.34
-57	28	0	-57.34
-57	29	0	-57.34
-57	30	0	-57.33
-57	31	0	-57.33
-57	32	0	-57.33
-57	33	0	-57.33
-57	34	0	-57.33
-57	35	0	-57.33
-57	36	0	-57.33
-57	37	0	-57.33
-57	38	0	-57.33
-57	39	0	-57.33
-57	40	0	-57.33
-57	41	0	-57.33
-57	42	0	-57.33
-57	43	0	-57.33
-57	44	0	-57.33
-57	45	0	-57.33
-57	46	0	-57.33
-57	47	0	-57.33
-57	48	0	-57.33
-57	49	0	-57.33
-57	50	0	-57.33
-57	51	0.01	-57.33
-57	52	0.01	-57.33
-57	53	0.01	-57.33
-57	54	0.01	-57.33
-57	55	0.01	-57.33
-57	56	0.01	-57.33
-57	57	0.01	-57.33
-57	58	0.01	-57.33
-57	59	0.01	-57.33
-57	60	0.01	-57.33
-57	61	0.01	-57.33
-57	62	0.01	-57.33
-57	63	0.01	-57.33
-57	64	0.01	-57.33
-57	65	0.01	-57.33
-57	66	0.01	-57.33
-57	67	0.01	-57.33
-57	68	0.01	-57.33
-57	69	0.01	-57.33
-57	70	0.01	-57.33
-57	71	0.01	-57.33
-57	72	0.01	-57.32
-57	73	0.01	-57.32
-57	74	0.01	-57.32
-57	75	0.01	-57.32
-57	76	0.01	-57.32
-57	77	0.01	-57.32
-57	78	0.01	-57.32
-57	79	0.01	-57.32
-57	80	0.01	-57.32
-57	81	0.01	-57.32
-57	82	0.01	-57.32
-57	83	0.01	-57.32
-57	84	0.01	-57.32
-57	85	0.01	-57.32
-57	86	0.01	-57.32
-57	87	0.01	-57.32
-57	88	0.01	-57.32
-57	89	0.01	-57.32
-57	90	0.01	-57.32
-57	91	0.01	-57.32
-57	92	0.01	-57.32
-57	93	0.01	-57.32
-57	94	0.01	-57.32
-57	95	0.01	-57.32
-57	96	0.01	-57.32
-57	97	0.01	-57.32
-57	98	0.01	-57.32
-57	99	0.01	-57.32
-57	100	0.01	-57.32
-56	0	0	-56.34
-56	1	0	-56.34
-56	2	0	-56.34
-56	3	0	-56.34
-56	4	0	-56.33
-56	5	0	-56.33
-56	6	0	-56.33
-56	7	0	-56.33
-56	8	0	-56.33
-56	9	0	-56.33
-56	10	0	-56.33
-56	11	0	-56.33
-56	12	0	-56.33
-56	13	0	-56.33
-56	14	0	-56.33
-56	15	0	-56.33
-56	16	0	-56.33
-56	17	0	-56.33
-56	18	0	-56.33
-56	19	0	-56.33
-56	20	0	-56.33
-56	21	0	-56.33
-56	22	0	-56.33
-56	23	0	-56.33
-56	24	0	-56.33
-56	25	0	-56.33
-56	26	0	-56.33
-56	27	0	-56.33
-56	28	0	-56.33
-56	29	0	-56.33
-56	30	0	-56.33
-56	31	0	-56.33
-56	32	0	-56.33
-56	33	0	-56.33
-56	34	0	-56.33
-56	35	0	-56.33
-56	36	0	-56.33
-56	37	0	-56.33
-56	38	0	-56.33
-56	39	0	-56.33
-56	40	0	-56.33
-56	41	0	-56.32
-56	42	0	-56.32
-56	43	0	-56.32
-56	44	0	-56.32
-56	45	0.01	-56.32
-56	46	0.01	-56.32
-56	47	0.01	-56.32
-56	48	0.01	-56.32
-56	49	0.01	-56.32
-56	50	0.01	-56.32
-56	51	0.01	-56.32
-56	52	0.01	-56.32
-56	53	0.01	-56.32
-56	54	0.01	-56.32
-56	55	0.01	-56.32
-56	56	0.01	-56.32
-56	57	0.01	-56.32
-56	58	0.01	-56.32
-56	59	0.01	-56.32
-56	60	0.01	-56.32
-56	61	0.01	-56.32
-56	62	0.01	-56.32
-56	63	0.01	-56.32
-56	64	0.01	-56.32
-56	65	0.01	-56.32
-56	66	0.01	-56.32
-56	67	0.01	-56.32
-56	68	0.01	-56.32
-56	69	0.01	-56.32
-56	70	0.01	-56.32
-56	71	0.01	-56.32
-56	72	0.01	-56.32
-56	73	0.01	-56.32
-56	74	0.01	-56.32
-56	75	0.01	-56.32
-56	76	0.01	-56.32
-56	77	0.01	-56.32
-56	78	0.01	-56.31
-56	79	0.01	-56.31
-56	80	0.01	-56.31
-56	81	0.01	-56.31
-56	82	0.01	-56.31
-56	83	0.01	-56.31
-56	84	0.01	-56.31
-56	85	0.01	-56.31
-56	86	0.01	-56.31
-56	87	0.01	-56.31
-56	88	0.01	-56.31
-56	89	0.01	-56.31
-56	90	0.01	-56.31
-56	91	0.01	-56.31
-56	92	0.01	-56.31
-56	93	0.01	-56.31
-56	94	0.01	-56.31
-56	95	0.01	-56.31
-56	96	0.01	-56.31
-56	97	0.01	-56.31
-56	98	0.01	-56.31
-56	99	0.01	-56.31
-56	100	0.01	-56.31
-55	0	0	-55.33
-55	1	0	-55.33
-55	2	0	-55.33
-55	3	0	-55.33
-55	4	0	-55.33
-55	5	0	-55.33
-55	6	0	-55.33
-55	7	0	-55.33
-55	8	0	-55.33
-55	9	0	-55.33
-55	10	0	-55.33
-55	11	0	-55.33
-55	12	0	-55.33
-55	13	0	-55.33
-55	14	0	-55.33
-55	15	0	-55.33
-55	16	0	-55.33
-55	17	0	-55.32
-55	18	0	-55.32
-55	19	0	-55.32
-55	20	0	-55.32
-55	21	0	-55.32
-55	22	0	-55.32
-55	23	0	-55.32
-55	24	0	-55.32
-55	25	0	-55.32
-55	26	0	-55.32
-55	27	0	-55.32
-55	28	0	-55.32
-55	29	0	-55.32
-55	30	0	-55.32
-55	31	0	-55.32
-55	32	0	-55.32
-55	33	0	-55.32
-55	34	0	-55.32
-55	35	0	-55.32
-55	36	0	-55.32
-55	37	0	-55.32
-55	38	0	-55.32
-55	39	0.01	-55.32
-55	40	0.01	-55.32
-55	41	0.01	-55.32
-55	42	0.01	-55.32
-55	43	0.01	-55.32
-55	44	0.01	-55.32
-55	45	0.01	-55.32
-55	46	0.01	-55.32
-55	47	0.01	-55.32
-55	48	0.01	-55.32
-55	49	0.01	-55.31
-55	50	0.01	-55.31
-55	51	0.01	-55.31
-55	52	0.01	-55.31
-55	53	0.01	-55.31
-55	54	0.01	-55.31
-55	55	0.01	-55.31
-55	56	0.01	-55.31
-55	57	0.01	-55.31
-55	58	0.01	-55.31
-55	59	0.01	-55.31
-55	60	0.01	-55.31
-55	61	0.01	-55.31
-55	62	0.01	-55.31
-55	63	0.01	-55.31
-55	64	0.01	-55.31
-55	65	0.01	-55.31
-55	66	0.01	-55.31
-55	67	0.01	-55.31
-55	68	0.01	-55.31
-55	69	0.01	-55.31
-55	70	0.01	-55.31
-55	71	0.01	-55.31
-55	72	0.01	-55.31
-55	73	0.01	-55.31
-55	74	0.01	-55.31
-55	75	0.01	-55.31
-55	76	0.01	-55.31
-55	77	0.01	-55.31
-55	78	0.01	-55.31
-55	79	0.01	-55.31
-55	80	0.01	-55.31
-55	81	0.01	-55.31
-55	82	0.01	-55.3
-55	83	0.01	-55.3
-55	84	0.01	-55.3
-55	85	0.01	-55.3
-55	86	0.01	-55.3
-55	87	0.01	-55.3
-55	88	0.01	-55.3
-55	89	0.01	-55.3
-55	90	0.01	-55.3
-55	91	0.01	-55.3
-55	92	0.01	-55.3
-55	93	0.01	-55.3
-55	94	0.01	-55.3
-55	95	0.01	-55.3
-55	96	0.01	-55.3
-55	97	0.01	-55.3
-55	98	0.01	-55.3
-55	99	0.01	-55.3
-55	100	0.01	-55.3
-54	0	0	-54.32
-54	1	0	-54.32
-54	2	0	-54.32
-54	3	0	-54.32
-54	4	0	-54.32
-54	5	0	-54.32
-54	6	0	-54.32
-54	7	0	-54.32
-54	8	0	-54.32
-54	9	0	-54.32
-54	10	0	-54.32
-54	11	0	-54.32
-54	12	0	-54.32
-54	13	0	-54.32
-54	14	0	-54.32
-54	15	0	-54.32
-54	16	0	-54.32
-54	17	0	-54.32
-54	18	0	-54.32
-54	19	0	-54.32
-54	20	0	-54.32
-54	21	0	-54.32
-54	22	0	-54.32
-54	23	0	-54.32
-54	24	0	-54.32
-54	25	0	-54.32
-54	26	0	-54.31
-54	27	0	-54.31
-54	28	0	-54.31
-54	29	0	-54.31
-54	30	0	-54.31
-54	31	0	-54.31
-54	32	0	-54.31
-54	33	0	-54.31
-54	34	0	-54.31
-54	35	0.01	-54.31
-54	36	0.01	-54.31
-54	37	0.01	-54.31
-54	38	0.01	-54.31
-54	39	0.01	-54.31
-54	40	0.01	-54.31
-54	41	0.01	-54.31
-54	42	0.01	-54.31
-54	43	0.01	-54.31
-54	44	0.01	-54.31
-54	45	0.01	-54.31
-54	46	0.01	-54.31
-54	47	0.01	-54.31
-54	48	0.01	-54.31
-54	49	0.01	-54.31
-54	50	0.01	-54.31
-54	51	0.01	-54.31
-54	52	0.01	-54.31
-54	53	0.01	-54.31
-54	54	0.01	-54.31
-54	55	0.01	-54.3
-54	56	0.01	-54.3
-54	57	0.01	-54.3
-54	58	0.01	-54.3
-54	59	0.01	-54.3
-54	60	0.01	-54.3
-54	61	0.01	-54.3
-54	62	0.01	-54.3
-54	63	0.01	-54.3
-54	64	0.01	-54.3
-54	65	0.01	-54.3
-54	66	0.01	-54.3
-54	67	0.01	-54.3
-54	68	0.01	-54.3
-54	69	0.01	-54.3
-54	70	0.01	-54.3
-54	71	0.01	-54.3
-54	72	0.01	-54.3
-54	73	0.01	-54.3
-54	74	0.01	-54.3
-54	75	0.01	-54.3
-54	76	0.01	-54.3
-54	77	0.01	-54.3
-54	78	0.01	-54.3
-54	79	0.01	-54.3
-54	80	0.01	-54.3
-54	81	0.01	-54.3
-54	82	0.01	-54.3
-54	83	0.01	-54.29
-54	84	0.01	-54.29
-54	85	0.01	-54.29
-54	86	0.01	-54.29
-54	87	0.01	-54.29
-54	88	0.01	-54.29
-54	89	0.01	-54.29
-54	90	0.01	-54.29
-54	91	0.01	-54.29
-54	92	0.01	-54.29
-54	93	0.01	-54.29
-54	94	0.01	-54.29
-54	95	0.01	-54.29
-54	96	0.01	-54.29
-54	97	0.01	-54.29
-54	98	0.01	-54.29
-54	99	0.01	-54.29
-54	100	0.01	-54.29
-53	0	0	-53.32
-53	1	0	-53.32
-53	2	0	-53.32
-53	3	0	-53.32
-53	4	0	-53.32
-53	5	0	-53.32
-53	6	0	-53.32
-53	7	0	-53.32
-53	8	0	-53.31
-53	9	0	-53.31
-53	10	0	-53.31
-53	11	0	-53.31
-53	12	0	-53.31
-53	13	0	-53.31
-53	14	0	-53.31
-53	15	0	-53.31
-53	16	0	-53.31
-53	17	0	-53.31
-53	18	0	-53.31
-53	19	0	-53.31
-53	20	0	-53.31
-53	21	0	-53.31
-53	22	0	-53.31
-53	23	0	-53.31
-53	24	0	-53.31
-53	25	0	-53.31
-53	26	0	-53.31
-53	27	0	-53.31
-53	28	0	-53.31
-53	29	0	-53.31
-53	30	0	-53.31
-53	31	0.01	-53.31
-53	32	0.01	-53.31
-53	33	0.01	-53.3
-53	34	0.01	-53.3
-53	35	0.01	-53.3
-53	36	0.01	-53.3
-53	37	0.01	-53.3
-53	38	0.01	-53.3
-53	39	0.01	-53.3
-53	40	0.01	-53.3
-53	41	0.01	-53.3
-53	42	0.01	-53.3
-53	43	0.01	-53.3
-53	44	0.01	-53.3
-53	45	0.01	-53.3
-53	46	0.01	-53.3
-53	47	0.01	-53.3
-53	48	0.01	-53.3
-53	49	0.01	-53.3
-53	50	0.01	-53.3
-53	51	0.01	-53.3
-53	52	0.01	-53.3
-53	53	0.01	-53.3
-53	54	0.01	-53.3
-53	55	0.01	-53.3
-53	56	0.01	-53.3
-53	57	0.01	-53.3
-53	58	0.01	-53.29
-53	59	0.01	-53.29
-53	60	0.01	-53.29
-53	61	0.01	-53.29
-53	62	0.01	-53.29
-53	63	0.01	-53.29
-53	64	0.01	-53.29
-53	65	0.01	-53.29
-53	66	0.01	-53.29
-53	67	0.01	-53.29
-53	68	0.01	-53.29
-53	69	0.01	-53.29
-53	70	0.01	-53.29
-53	71	0.01	-53.29
-53	72	0.01	-53.29
-53	73	0.01	-53.29
-53	74	0.01	-53.29
-53	75	0.01	-53.29
-53	76	0.01	-53.29
-53	77	0.01	-53.29
-53	78	0.01	-53.29
-53	79	0.01	-53.29
-53	80	0.01	-53.29
-53	81	0.01	-53.29
-53	82	0.01	-53.29
-53	83	0.01	-53.28
-53	84	0.01	-53.28
-53	85	0.01	-53.28
-53	86	0.01	-53.28
-53	87	0.01	-53.28
-53	88	0.01	-53.28
-53	89	0.01	-53.28
-53	90	0.01	-53.28
-53	91	0.02	-53.28
-53	92	0.02	-53.28
-53	93	0.02	-53.28
-53	94	0.02	-53.28
-53	95	0.02	-53.28
-53	96	0.02	-53.28
-53	97	0.02	-53.28
-53	98	0.02	-53.28
-53	99	0.02	-53.28
-53	100	0.02	-53.28
-52	0	0	-52.31
-52	1	0	-52.31
-52	2	0	-52.31
-52	3	0	-52.31
-52	4	0	-52.31
-52	5	0	-52.31
-52	6	0	-52.31
-52	7	0	-52.31
-52	8	0	-52.31
-52	9	0	-52.31
-52	10	0	-52.31
-52	11	0	-52.31
-52	12	0	-52.31
-52	13	0	-52.31
-52	14	0	-52.31
-52	15	0	-52.31
-52	16	0	-52.3
-52	17	0	-52.3
-52	18	0	-52.3
-52	19	0	-52.3
-52	20	0	-52.3
-52	21	0	-52.3
-52	22	0	-52.3
-52	23	0	-52.3
-52	24	0	-52.3
-52	25	0	-52.3
-52	26	0	-52.3
-52	27	0.01	-52.3
